cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,target
1.0,2.0,0.0,0.0,-23.34,-101.65,11.77,-2.62,44.92,-140.59,-30.83,-32.39,-96.36,-15.69,-122.38,-5.71,459.38,11.29,1.0
1.0,1.0,1.0,1.0,-38.82,223.53,-161.7,-2.87,-134.7,125.48,38.69,-62.35,-36.36,26.54,195.84,-1.56,-0.46,165.31,0.0
1.0,1.0,1.0,0.0,27.76,-63.47,57.34,2.16,116.59,180.24,-19.04,-11.09,-4.0,2.2,-3.95,-4.12,8.09,-65.97,2.0
1.0,1.0,0.0,0.0,-14.06,57.91,-104.31,-4.88,-7.33,83.38,13.57,-46.92,-50.43,-34.74,128.51,3.76,480.42,-10.64,1.0
1.0,0.0,1.0,0.0,-58.66,127.68,-254.86,-5.7,-75.74,170.16,-7.96,-12.83,-53.59,33.91,15.66,-7.33,26.45,-179.56,0.0
1.0,1.0,1.0,1.0,0.28,-63.08,160.65,4.65,97.81,125.2,9.07,11.28,14.34,-87.79,111.43,-9.77,-11.79,-68.3,0.0
1.0,0.0,1.0,1.0,90.5,-42.33,-93.93,2.9,16.34,21.77,10.55,-55.71,-56.8,-30.82,139.44,-6.09,79.93,-66.11,2.0
1.0,1.0,0.0,2.0,49.96,-116.06,49.37,7.05,6.23,-195.49,26.2,-42.62,-74.14,4.37,13.76,6.75,300.96,88.75,2.0
1.0,1.0,1.0,0.0,-107.9,-215.0,-152.21,-5.58,52.14,-48.25,14.85,-25.87,-137.95,97.05,-101.35,-7.86,143.07,7.44,1.0
2.0,1.0,1.0,1.0,-38.22,87.49,-132.36,2.99,20.82,101.78,-37.84,68.02,51.82,47.16,86.25,-3.37,19.25,77.05,0.0
1.0,1.0,1.0,1.0,55.79,45.87,-37.49,4.36,3.22,252.99,16.37,-72.73,46.3,17.06,58.24,-0.56,-76.44,-124.76,1.0
0.0,0.0,1.0,1.0,-57.5,-233.95,68.03,1.92,-98.14,56.28,-15.87,-59.82,12.92,-24.18,88.95,-1.04,202.57,105.49,2.0
1.0,1.0,0.0,1.0,-11.82,99.99,159.01,1.05,93.29,-289.33,-14.92,0.26,59.82,8.17,5.83,0.69,277.3,-48.19,2.0
1.0,1.0,0.0,1.0,99.25,72.83,123.5,2.13,-106.19,-70.52,11.26,-6.86,117.7,-3.23,-32.79,2.15,216.22,34.3,1.0
1.0,1.0,1.0,1.0,10.68,115.1,-256.57,5.17,126.97,90.96,3.75,-36.74,-84.84,-34.83,-130.19,0.18,-84.52,84.36,1.0
1.0,1.0,1.0,1.0,-3.24,-131.31,91.06,3.99,-35.33,-12.97,22.09,-77.9,-87.15,-73.11,221.78,8.28,63.05,-225.83,2.0
1.0,1.0,0.0,1.0,2.55,44.2,0.14,4.7,114.51,152.31,5.28,208.15,53.58,10.79,-99.09,4.53,-110.09,36.24,1.0
1.0,1.0,1.0,0.0,28.27,143.12,-69.06,-1.41,-117.19,198.96,-13.01,59.17,-18.98,21.84,-147.4,-10.67,22.37,-28.15,0.0
1.0,2.0,2.0,1.0,-25.33,39.89,-147.3,-5.9,55.25,-54.88,-18.02,55.84,-24.4,50.26,201.13,-0.21,-178.6,-48.65,0.0
1.0,2.0,1.0,1.0,-42.57,34.0,64.52,5.31,-51.97,92.49,-34.82,-93.56,71.18,-61.61,-64.64,-6.09,-145.99,90.75,0.0
1.0,1.0,0.0,1.0,-35.23,-31.71,-141.33,-3.38,43.09,-25.51,-35.94,23.02,36.65,18.1,-47.61,-0.37,291.69,-90.17,1.0
1.0,1.0,0.0,0.0,-50.99,-339.13,167.08,-2.6,-63.02,0.25,13.12,12.99,-63.26,71.11,177.72,-0.55,391.66,-70.71,0.0
0.0,1.0,1.0,1.0,31.48,-34.72,-314.24,7.5,112.53,133.28,19.07,-11.68,103.11,20.36,150.85,-5.78,256.39,27.23,2.0
1.0,1.0,1.0,1.0,12.32,115.44,-107.69,1.47,68.18,95.84,35.71,-88.18,-14.58,-11.82,-15.47,-7.13,-87.65,-134.06,0.0
1.0,1.0,1.0,1.0,43.91,57.78,-34.73,7.68,-18.75,44.38,-44.46,92.85,-47.33,-28.45,-199.59,5.4,-212.38,8.2,1.0
1.0,2.0,2.0,1.0,-36.45,31.32,-156.22,1.85,-125.93,105.27,21.32,-38.21,-81.2,-65.4,101.01,-4.55,-256.38,11.12,0.0
1.0,1.0,1.0,1.0,-29.89,-35.63,183.13,2.77,-119.09,-13.96,19.07,56.39,81.8,4.47,145.94,3.96,46.02,-48.1,2.0
1.0,2.0,1.0,1.0,14.97,-40.65,-260.52,-2.67,87.22,117.69,30.44,-73.79,-25.71,-81.1,124.0,4.68,186.74,-55.61,1.0
1.0,1.0,1.0,1.0,-13.78,-152.51,232.73,1.95,75.87,91.48,13.82,-170.21,21.8,26.53,207.88,-4.93,247.7,-8.94,0.0
1.0,1.0,1.0,1.0,62.56,-37.12,14.34,3.46,-7.35,142.11,29.77,-40.3,-13.99,-6.96,-111.06,6.46,-242.55,28.45,1.0
1.0,1.0,1.0,1.0,34.63,50.46,-177.05,3.85,-36.28,78.91,5.2,4.32,-54.78,-46.46,-89.68,3.01,-178.49,14.91,1.0
