cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
2.0,2.0,1.0,2.0,237.15,-212.84,32.75,21.09,21.61,128.68,-63.15,-18.78,-38.01,-83.08,-73.19,20.9,28.57,-0.78,-19.35,4.87,36.14,-113.82,-2.19,-73.51,17.92,1.0
1.0,1.0,2.0,1.0,163.56,190.2,41.59,26.3,-177.07,116.72,11.94,18.74,59.06,-31.04,82.23,-8.45,14.97,-0.19,-36.94,0.92,-36.64,-142.04,75.36,70.36,-23.74,1.0
2.0,2.0,1.0,2.0,142.08,-217.96,-34.67,-40.85,-214.24,276.69,61.41,-49.83,-3.2,46.12,32.35,-22.34,-0.94,0.46,19.61,2.14,-38.88,-195.52,-35.43,-93.99,-101.99,1.0
1.0,2.0,3.0,1.0,8.87,-280.72,27.14,-32.74,135.79,298.7,-71.53,-73.95,-25.62,-65.19,-40.11,64.13,-15.2,0.74,-11.85,1.64,-60.84,197.59,-105.78,72.29,67.34,0.0
2.0,1.0,1.0,2.0,-112.72,104.26,-33.88,15.37,46.54,-71.96,-48.53,-44.85,245.37,68.32,8.55,-59.5,64.5,-2.2,-7.68,-5.52,-52.13,203.55,23.75,-2.98,-17.87,2.0
2.0,2.0,1.0,1.0,438.09,-67.35,3.02,9.09,141.76,-182.34,1.7,-35.48,25.42,-94.56,-16.02,-38.95,-24.73,-0.27,20.07,-0.36,13.62,-164.51,-12.16,-79.63,-86.48,2.0
1.0,2.0,1.0,2.0,-268.13,-65.76,-32.28,-21.03,-197.29,122.51,-49.59,1.84,50.92,189.16,6.25,105.94,26.2,0.27,-11.77,-2.24,-5.63,-35.39,-26.11,139.31,-29.9,2.0
2.0,2.0,2.0,2.0,200.89,-280.33,-71.9,-92.86,-137.34,147.94,-31.92,-111.57,-83.05,-124.64,56.59,22.4,79.5,0.91,66.65,5.84,-6.78,-185.68,87.85,-9.59,5.63,0.0
2.0,2.0,2.0,2.0,-42.0,-106.47,-34.56,34.63,19.78,112.72,14.9,-96.57,77.1,32.34,21.59,64.55,-24.3,0.85,3.69,2.98,-43.11,93.86,0.79,-125.89,98.48,0.0
1.0,1.0,2.0,2.0,212.87,221.67,40.65,29.17,-46.75,271.95,-68.58,102.44,197.9,-110.83,8.56,-20.75,78.55,0.45,-97.54,-0.05,-28.77,141.77,28.42,-31.05,-41.1,1.0
1.0,1.0,2.0,2.0,-82.83,5.74,-25.33,44.94,-40.2,71.31,13.31,81.56,147.97,100.38,-1.71,8.17,-62.99,-0.46,46.23,-2.0,37.63,188.38,-21.59,24.61,-0.08,2.0
1.0,1.0,2.0,2.0,234.44,28.21,-110.44,12.68,-51.92,-15.39,-14.58,18.34,59.99,-176.96,-17.87,100.65,-28.63,-0.64,-0.19,-3.88,-81.25,-2.29,-51.96,-20.38,67.98,0.0
1.0,2.0,1.0,0.0,376.1,124.68,-25.73,9.29,-3.34,136.14,-232.19,-2.76,88.67,177.28,31.97,20.28,4.77,0.9,1.52,-1.46,16.31,-419.01,48.88,-71.9,-10.71,0.0
2.0,2.0,1.0,1.0,-17.44,-68.78,19.99,100.53,59.04,-309.71,149.36,100.17,13.65,-96.76,22.61,4.47,24.37,0.64,25.69,-2.65,6.41,145.56,-64.81,-43.55,-0.93,0.0
1.0,1.0,2.0,2.0,162.41,155.06,-38.69,-22.97,-54.97,-174.99,42.37,38.21,24.88,-95.73,-50.54,-43.79,46.99,-0.99,4.57,2.45,14.39,-71.16,-73.18,-115.06,-33.05,0.0
