cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,target
1.0,1.0,1.0,12.3,-37.56,-63.08,26.95,-15.92,78.72,35.68,168.78,-113.07,-7.11,63.01,3.47,-72.56,105.16,2.0
1.0,2.0,1.0,-9.11,65.35,19.01,59.35,-64.87,80.09,5.29,176.23,22.68,-41.86,142.83,-3.39,-22.09,92.42,0.0
1.0,1.0,1.0,26.07,-82.87,-37.94,-23.98,22.57,1.18,13.17,-314.82,36.2,18.95,84.83,-0.74,-13.66,5.07,2.0
1.0,1.0,2.0,8.36,-24.8,47.59,-2.74,-15.66,-256.97,4.47,-282.17,-148.68,8.89,27.39,-8.26,187.77,-14.72,2.0
1.0,1.0,1.0,24.89,-86.54,-10.78,37.46,6.13,5.54,-24.98,-253.78,100.95,33.1,99.62,-0.55,-35.27,-34.22,1.0
1.0,1.0,1.0,3.77,244.42,23.34,-13.55,217.94,61.44,16.56,5.44,-27.26,16.45,2.59,-9.95,103.13,-54.22,2.0
1.0,1.0,0.0,12.43,-93.44,-2.23,-2.48,-1.84,-13.17,87.56,-90.18,-69.42,-16.84,77.11,-2.44,-41.55,125.99,1.0
1.0,1.0,1.0,7.68,-67.06,-30.06,-23.3,164.79,-174.86,107.14,-55.17,-167.98,25.05,-131.02,-4.71,-33.31,39.96,2.0
0.0,1.0,2.0,-45.07,19.97,-50.18,-22.2,-164.93,-286.38,-54.96,-373.49,-19.11,-33.69,45.64,-7.09,207.51,9.89,1.0
1.0,1.0,1.0,-18.28,-100.99,74.59,13.8,201.31,-106.59,-36.4,20.45,-180.76,8.81,-0.64,-1.27,-68.43,-42.51,1.0
1.0,2.0,1.0,12.77,10.48,-72.28,11.94,-85.21,-11.09,15.4,19.19,-230.0,-13.53,113.5,8.16,119.83,156.37,2.0
1.0,1.0,1.0,1.09,-5.14,93.51,-10.75,-7.65,-95.49,43.93,-55.01,-70.41,13.82,-56.01,3.7,63.44,-39.38,1.0
1.0,1.0,1.0,20.37,78.16,3.66,34.33,39.23,-264.07,-51.51,-329.16,-304.92,54.7,60.05,3.02,13.27,15.23,1.0
1.0,1.0,2.0,-14.27,-128.87,24.25,-5.39,-123.67,-181.06,24.88,-44.11,-83.69,-14.78,-52.98,4.93,-43.88,18.88,2.0
1.0,1.0,1.0,14.67,126.54,-51.3,-34.14,44.28,93.15,-89.35,32.11,41.67,19.29,-54.58,-0.93,176.85,-111.55,2.0
1.0,2.0,1.0,6.48,-50.8,-0.63,-7.59,-68.0,4.3,-39.89,112.35,-49.74,-45.37,52.84,-5.38,-16.08,21.2,1.0
1.0,1.0,1.0,-18.45,108.6,17.52,-16.15,14.74,80.87,-44.43,157.35,-127.35,-0.74,23.79,0.29,53.26,-86.75,2.0
2.0,1.0,1.0,-31.34,88.78,24.06,-19.8,-7.61,71.06,-22.52,405.7,-22.07,-12.39,-149.94,1.89,99.12,-60.58,2.0
2.0,1.0,1.0,-5.32,-26.62,-80.15,4.09,54.09,270.63,-121.12,330.21,99.46,-0.63,5.09,-5.12,-26.39,-98.11,1.0
1.0,2.0,1.0,-39.7,84.86,-75.28,-39.28,-65.15,11.68,25.51,-104.42,-13.67,-0.83,-5.99,-1.0,-17.31,71.23,0.0
2.0,2.0,1.0,34.64,-48.26,57.17,21.03,-183.92,111.99,-44.87,156.7,-50.44,30.05,-13.54,6.19,-25.48,60.09,0.0
1.0,1.0,0.0,22.9,-66.94,-71.7,-28.58,-144.21,100.38,-35.51,264.74,114.73,-68.36,-44.42,1.69,53.05,84.64,1.0
1.0,1.0,1.0,-3.31,52.42,-59.61,-31.97,30.87,-147.27,-61.78,359.39,-198.05,-78.34,-115.67,-3.06,-23.64,93.17,1.0
1.0,1.0,1.0,-18.31,73.48,120.91,-37.93,40.29,-4.96,66.18,94.83,-177.4,1.86,-61.85,2.64,164.52,43.9,1.0
0.0,2.0,1.0,26.41,-60.79,-38.55,18.81,123.24,16.58,79.46,-266.01,58.66,32.59,92.36,-5.7,25.78,-33.24,1.0
1.0,1.0,1.0,-30.47,64.57,13.32,-11.81,-76.61,20.5,23.85,-256.9,5.67,13.44,110.84,1.48,74.26,-40.95,0.0
1.0,1.0,1.0,-18.15,-19.64,-11.0,31.82,-38.07,-89.86,76.47,-71.54,-151.71,7.5,66.73,1.02,68.99,60.73,1.0
1.0,1.0,1.0,-56.65,106.08,3.21,4.78,-80.69,-66.44,207.81,-144.16,-29.07,31.91,-49.99,10.08,83.88,118.51,2.0
1.0,1.0,1.0,35.83,8.61,-128.36,5.3,15.72,-76.53,-28.11,-231.51,-154.18,9.03,103.5,2.91,34.45,137.42,1.0
1.0,1.0,1.0,9.32,-57.64,-5.55,-19.19,4.25,-26.94,-8.61,-134.93,-15.39,24.64,-34.33,-1.88,16.65,19.45,2.0
1.0,1.0,1.0,-27.4,-101.18,38.67,7.97,-79.5,-106.61,-87.5,-49.25,-115.32,1.88,2.53,3.81,95.65,36.11,1.0
0.0,2.0,1.0,8.21,-75.63,42.2,-51.29,-40.35,-172.27,41.13,-126.62,-12.16,-31.34,-112.49,-4.47,-116.11,107.28,1.0
2.0,1.0,1.0,23.98,106.28,29.39,25.94,13.55,89.33,-155.6,206.22,-79.87,-23.66,69.46,0.7,-25.88,122.89,0.0
0.0,2.0,1.0,9.05,78.76,1.65,22.82,-149.67,-141.75,-36.25,-257.6,82.33,27.29,-39.78,0.61,46.21,51.99,2.0
1.0,2.0,1.0,-8.5,128.67,-104.92,0.17,126.62,3.82,-45.45,-98.95,-117.9,-12.1,150.73,0.39,-32.31,-13.25,1.0
1.0,1.0,1.0,5.34,-30.58,7.11,-28.94,-18.37,-76.46,13.1,-230.16,-128.02,29.2,-6.18,-0.44,25.37,68.26,1.0
1.0,1.0,0.0,-31.6,103.18,-123.92,-2.48,-118.1,134.31,130.84,35.38,-12.73,-0.39,68.31,3.45,-98.99,70.47,0.0
0.0,1.0,0.0,26.41,-27.51,-13.24,5.99,11.82,65.41,-31.54,142.48,9.86,-26.81,7.33,-2.35,-29.67,81.78,1.0
1.0,1.0,1.0,19.86,-11.97,-79.72,20.04,23.7,-59.92,6.39,95.68,-25.85,-22.19,1.38,12.98,30.16,-22.42,0.0
1.0,1.0,1.0,0.63,52.04,-34.83,-4.15,116.71,-43.58,10.95,-166.65,1.91,1.73,60.78,11.42,-11.17,-56.94,1.0
2.0,1.0,2.0,-12.03,-69.09,57.64,-14.47,-29.24,-25.22,30.37,29.89,-41.27,-11.26,9.55,-0.39,42.98,-43.0,2.0
1.0,2.0,1.0,-4.3,-19.45,-41.29,-22.33,150.19,-0.38,108.86,-1.34,172.08,-40.24,-54.31,2.09,-44.05,146.77,0.0
1.0,1.0,0.0,-0.29,-62.63,-111.14,63.19,92.51,175.72,-7.39,-109.9,176.81,42.36,131.51,1.11,56.94,-28.44,1.0
1.0,2.0,1.0,14.02,-30.42,8.63,7.26,47.09,-94.57,61.81,78.21,-73.64,8.06,-105.07,-10.89,-4.78,58.96,1.0
0.0,1.0,1.0,14.44,-105.14,173.72,1.15,-188.62,13.86,-21.75,200.8,8.51,-2.22,-110.67,0.97,-144.86,-32.37,1.0
2.0,1.0,1.0,30.14,-16.85,-104.92,9.21,42.53,-2.69,-17.5,58.84,-115.18,9.75,6.12,-6.87,-24.84,60.98,0.0
1.0,1.0,1.0,15.63,-128.5,-79.14,24.38,71.77,34.05,103.49,55.51,-73.32,-33.06,124.08,1.31,-41.35,136.7,0.0
1.0,1.0,1.0,9.87,-53.64,-30.38,-15.14,100.4,49.42,32.0,38.68,74.73,8.01,-80.32,2.42,-52.97,66.3,2.0
1.0,1.0,1.0,-3.53,40.93,3.21,-10.43,-46.84,4.1,65.93,-89.66,-84.96,1.1,71.93,-2.83,38.93,42.59,2.0
1.0,1.0,1.0,7.91,52.25,15.96,-3.03,166.59,2.74,-32.99,331.97,-102.1,-8.82,-134.24,0.11,136.15,22.49,2.0
1.0,2.0,1.0,14.08,-69.96,-2.32,34.77,-3.77,110.55,-94.24,75.87,39.95,-6.91,95.78,4.76,19.66,57.3,0.0
1.0,1.0,1.0,7.21,-86.54,-69.36,-7.61,-57.07,-46.42,137.8,96.63,-79.82,-14.16,-31.81,1.6,-79.25,-22.29,0.0
1.0,1.0,0.0,-17.3,16.09,80.32,14.83,237.56,154.53,42.41,125.5,-0.5,-1.62,90.09,-8.62,43.59,-80.87,0.0
1.0,1.0,1.0,1.64,32.9,59.32,27.97,33.47,32.88,-36.74,25.66,54.33,-26.21,93.34,-2.53,-137.58,17.84,0.0
0.0,0.0,1.0,3.03,6.26,-0.77,-28.89,-3.67,-1.95,-147.01,-58.19,84.77,-45.28,17.36,-1.51,-43.35,87.95,1.0
1.0,1.0,1.0,-2.66,7.59,-6.95,-2.69,-35.87,-10.69,19.7,164.84,-166.34,-20.73,0.12,3.34,10.64,79.45,0.0
2.0,1.0,1.0,-5.65,-95.28,-34.42,32.49,147.59,29.18,-45.52,127.1,-7.06,4.84,7.6,-1.14,-22.36,21.74,0.0
1.0,2.0,1.0,-21.29,-126.86,108.39,-4.88,-230.53,32.61,-62.9,67.01,-88.6,-2.36,15.39,1.77,-14.2,43.81,0.0
1.0,1.0,1.0,8.14,46.08,-45.79,33.25,160.16,68.33,-47.98,-124.69,25.52,-13.15,185.38,0.73,-12.66,116.08,0.0
1.0,1.0,1.0,14.07,87.0,23.22,44.12,71.43,76.82,-16.16,77.45,129.59,-34.41,115.87,-1.69,18.3,6.86,0.0
1.0,1.0,1.0,6.8,-77.57,73.74,-13.21,139.29,-154.33,-20.03,-205.96,-38.53,6.51,-15.29,-1.01,29.17,-27.6,1.0
2.0,2.0,1.0,-13.6,-19.18,27.05,23.73,61.98,232.19,-92.14,760.28,166.74,-28.29,-216.31,8.81,74.37,-71.69,1.0
1.0,1.0,1.0,-7.61,-79.65,91.53,-60.52,-72.27,-6.89,131.88,82.25,147.02,-68.16,-112.61,-2.94,58.32,162.14,1.0
1.0,1.0,1.0,4.58,1.18,-4.37,18.07,-71.11,70.2,45.87,143.07,14.04,10.24,-35.13,-0.15,-49.01,28.47,2.0
1.0,1.0,1.0,5.68,35.89,-12.01,-7.22,163.28,62.73,-67.75,267.82,38.26,-34.43,-73.87,-0.68,-99.37,89.51,0.0
1.0,1.0,1.0,20.54,-112.44,-67.63,58.9,141.21,136.92,-37.46,29.32,65.56,-28.04,216.89,-4.96,-84.63,118.54,0.0
1.0,1.0,1.0,-35.72,-102.72,38.53,-30.76,69.79,-48.04,88.87,-83.95,35.64,-37.88,-1.73,-2.41,15.7,111.83,1.0
1.0,1.0,1.0,28.8,38.8,26.59,33.85,-77.89,-51.4,44.92,-329.58,63.53,49.95,56.44,-8.24,56.62,30.74,1.0
1.0,1.0,1.0,29.75,34.59,-157.97,28.98,32.06,17.95,11.75,328.77,-6.85,-13.51,-96.8,-6.34,-70.02,14.26,2.0
1.0,2.0,1.0,26.61,-3.79,71.34,26.94,17.69,-86.89,-112.97,-249.89,-22.42,74.0,-53.05,-3.87,222.99,48.37,1.0
1.0,1.0,2.0,-22.58,-133.8,-61.68,63.54,-37.48,-113.46,-153.53,-99.84,73.77,29.61,-31.9,7.01,65.42,74.01,1.0
1.0,1.0,1.0,20.28,-20.7,-93.58,14.33,-53.83,-107.36,37.68,-312.55,-24.35,41.93,12.75,4.23,21.81,115.12,1.0
1.0,1.0,1.0,30.18,9.48,-190.83,-33.64,-39.45,-116.3,-83.57,39.38,-169.93,-33.48,-31.21,-1.35,147.99,85.16,1.0
1.0,1.0,1.0,-1.26,-115.47,-100.27,-5.25,20.29,91.4,-86.47,193.58,12.21,4.53,-50.73,0.9,2.38,-97.44,2.0
2.0,1.0,0.0,44.63,-51.29,96.38,67.02,-147.3,393.65,1.96,974.52,94.25,-43.03,-43.74,7.76,-119.17,-151.95,1.0
1.0,1.0,1.0,49.91,77.59,98.42,13.2,148.08,54.05,33.07,264.94,-103.84,7.97,-78.51,0.95,108.6,82.35,1.0
1.0,1.0,1.0,-15.73,50.32,-98.13,-28.23,54.46,27.66,-56.47,98.74,17.87,-22.35,-46.89,-1.54,20.69,29.3,0.0
1.0,0.0,1.0,2.54,3.26,31.39,-36.91,26.13,-85.05,-46.65,193.89,-186.98,-16.06,-123.6,-4.57,-23.55,-5.58,0.0
1.0,1.0,1.0,10.18,-40.27,-14.26,5.03,30.31,-8.87,47.89,3.55,-128.45,-21.17,87.06,4.2,38.98,111.98,0.0
1.0,2.0,1.0,-47.47,81.7,-4.68,-22.19,23.77,-1.33,85.46,-144.15,-191.55,22.5,68.31,3.15,-9.39,76.0,2.0
1.0,2.0,1.0,-32.89,-34.04,-1.79,-11.12,0.98,-56.59,33.5,252.73,-179.81,-16.2,-95.34,-4.59,-93.28,20.81,0.0
1.0,1.0,0.0,-18.67,-11.81,-117.23,11.62,-51.16,156.59,53.07,250.82,87.38,-21.04,-14.59,-1.9,5.65,62.86,1.0
1.0,0.0,1.0,5.67,12.91,17.69,-19.55,-157.59,-282.48,1.61,-303.75,-211.66,9.76,-31.94,-2.63,121.67,145.01,2.0
1.0,1.0,1.0,5.26,3.78,-18.81,-10.42,139.81,-113.58,-198.04,-253.65,-30.03,36.48,-53.5,1.5,-184.26,111.16,2.0
1.0,1.0,1.0,-10.96,112.31,-113.64,5.91,-77.42,30.47,-92.9,186.73,-52.67,-7.21,-39.16,6.28,30.32,6.04,2.0
1.0,1.0,0.0,60.81,-100.82,64.16,39.57,-86.57,199.85,74.6,493.45,-35.65,-23.7,27.23,3.18,1.52,-98.32,1.0
2.0,2.0,1.0,9.3,-30.53,55.49,-39.04,115.8,35.43,46.62,135.82,-38.74,-7.95,-46.52,5.4,-12.08,-148.41,2.0
1.0,1.0,1.0,48.5,-50.28,-6.93,-4.73,95.27,-144.91,-106.95,189.72,-122.69,-42.77,-78.59,6.74,-75.36,42.71,1.0
1.0,1.0,1.0,-22.9,12.11,-28.05,-25.24,-91.44,-24.99,64.84,117.02,-215.05,-7.23,-32.61,-0.36,-26.64,90.52,1.0
2.0,1.0,1.0,17.63,54.17,-47.11,22.34,-77.55,193.63,-74.98,424.14,55.3,-39.57,6.83,-0.07,55.9,33.82,1.0
1.0,1.0,1.0,9.2,-48.4,-97.55,16.83,140.47,99.43,-21.95,-153.07,51.83,4.34,148.53,0.04,-14.83,63.54,0.0
1.0,0.0,2.0,-3.99,144.65,-65.57,10.93,-10.28,-143.65,-88.21,-11.56,-147.89,27.92,-65.91,-1.64,39.33,-46.0,1.0
1.0,2.0,1.0,35.74,-12.29,64.57,-31.32,25.66,114.48,2.34,-62.23,107.49,-9.24,49.64,3.95,-48.05,-21.36,0.0
1.0,0.0,1.0,3.34,16.5,22.3,2.35,-103.55,99.92,-85.33,193.24,-24.98,1.85,-14.27,0.47,-120.51,-41.8,2.0
1.0,2.0,1.0,0.25,63.72,-82.26,22.39,-3.9,103.81,37.32,143.48,-48.25,-9.15,92.15,2.36,-56.51,-32.3,2.0
1.0,2.0,1.0,24.95,-39.17,46.2,-16.3,143.25,-114.56,168.26,-102.79,-93.0,7.25,-27.16,-2.2,42.63,-39.97,1.0
2.0,1.0,1.0,16.58,-19.47,30.95,-19.41,-44.46,108.93,-22.04,34.41,50.9,-3.16,16.99,-13.8,3.84,13.13,0.0
1.0,1.0,1.0,-0.59,116.05,-34.13,41.31,96.89,-27.15,-153.54,-138.19,28.06,55.73,-27.24,-1.78,103.15,75.49,1.0
1.0,1.0,1.0,-18.42,73.08,94.15,-7.37,8.79,77.43,-109.49,206.35,-14.25,-20.82,-26.98,2.1,36.28,44.81,0.0
2.0,1.0,1.0,22.92,79.52,113.64,-3.9,42.76,117.77,-32.84,365.18,59.3,-43.63,-51.75,5.71,32.27,17.25,0.0
1.0,1.0,1.0,-40.59,54.53,74.9,-4.98,-117.88,130.8,-60.8,104.41,119.29,-30.86,29.63,-6.06,-53.57,97.68,0.0
1.0,1.0,1.0,-6.04,-115.06,-1.71,-31.18,-124.37,-1.71,-59.81,55.08,-24.69,7.76,-82.09,3.75,22.43,-83.81,2.0
1.0,1.0,1.0,-28.65,44.08,112.99,5.91,-14.96,37.36,-25.78,102.93,-98.01,6.74,6.82,-5.06,-193.84,20.76,2.0
1.0,1.0,2.0,21.7,17.92,-66.91,-5.31,-20.35,-293.24,75.28,-300.74,-230.03,2.08,20.48,0.47,-27.15,120.06,2.0
1.0,1.0,2.0,-6.02,97.77,72.24,33.14,-47.86,-121.18,-38.96,23.51,65.48,-39.19,33.81,-1.25,153.71,-67.58,1.0
1.0,1.0,2.0,-22.35,-114.27,24.91,-15.05,-116.19,-277.65,48.77,-46.87,-146.59,-17.61,-120.09,-0.91,-129.1,83.27,2.0
1.0,0.0,0.0,10.37,-136.54,10.27,-14.81,-40.18,87.52,-122.88,156.91,-146.56,11.86,-27.91,5.68,103.5,51.23,1.0
1.0,1.0,1.0,13.42,6.02,23.87,17.93,-108.78,-51.94,-29.39,69.76,-88.38,-29.82,47.41,-1.78,-32.38,69.11,0.0
1.0,1.0,0.0,-19.53,-75.81,-56.38,29.8,-20.85,79.34,-45.85,219.8,-130.02,-18.36,92.95,2.9,-156.77,-28.36,1.0
1.0,1.0,2.0,30.99,4.75,-121.61,1.62,-108.07,-139.67,-40.74,-100.6,-95.92,1.36,-6.21,-7.99,-78.05,32.74,2.0
1.0,1.0,1.0,30.5,22.61,0.49,-26.69,72.91,33.08,95.47,174.87,48.52,8.35,-139.26,3.13,-152.48,-146.88,2.0
1.0,1.0,1.0,-5.13,-25.26,37.8,-17.91,-92.81,-24.43,-72.58,-124.71,-30.32,-8.67,35.88,-8.49,-126.61,86.0,0.0
1.0,1.0,1.0,0.44,77.92,-50.25,20.54,67.47,2.01,75.86,230.23,-12.77,-0.08,-91.86,3.16,-105.19,-7.75,1.0
1.0,1.0,1.0,-8.26,106.93,21.13,-0.38,20.76,111.13,-29.57,342.68,116.8,-16.16,-98.59,-5.65,204.39,-150.58,2.0
1.0,1.0,1.0,-23.76,-60.39,18.24,-22.43,17.6,109.08,-10.47,-134.51,152.85,16.17,-5.15,-3.09,113.02,90.7,2.0
1.0,1.0,1.0,9.04,68.3,0.44,8.62,89.5,69.46,-11.15,-117.35,70.88,2.53,102.5,0.2,154.23,-33.72,1.0
1.0,1.0,1.0,3.68,18.72,-82.96,14.27,-94.82,-3.8,93.82,-66.16,63.29,-24.09,69.1,0.84,51.57,88.85,0.0
1.0,2.0,1.0,-5.94,13.44,14.64,5.85,83.54,172.47,69.94,208.91,138.68,-21.42,16.53,-0.39,34.13,-29.67,0.0
1.0,1.0,2.0,1.98,167.45,68.24,-28.16,-54.65,-198.68,68.73,-223.13,-151.94,25.2,-69.93,-3.48,126.43,67.23,2.0
1.0,1.0,1.0,-24.65,65.12,135.76,34.52,61.33,66.35,-140.62,342.02,-87.58,19.57,-110.65,4.2,145.47,95.1,1.0
1.0,1.0,1.0,6.62,6.98,-31.43,-20.81,-175.01,-144.77,83.6,-209.94,-31.47,-13.74,-11.03,-3.78,86.67,131.11,1.0
1.0,1.0,1.0,2.16,97.79,-37.19,-39.31,35.3,-50.83,108.56,-152.29,-11.35,-9.9,-14.41,0.94,-34.14,85.31,1.0
2.0,2.0,1.0,-4.36,29.22,72.56,30.37,119.43,168.32,-83.61,103.62,86.36,-7.08,103.67,3.55,84.19,43.78,0.0
1.0,1.0,1.0,-17.58,-51.9,84.7,-0.32,1.44,107.91,85.68,383.57,83.31,-41.39,-99.0,-3.29,55.44,52.1,1.0
1.0,1.0,1.0,19.98,-130.59,-32.88,-6.96,-70.32,-76.13,69.23,-95.77,-1.24,15.08,-45.38,0.96,-22.4,-9.06,2.0
1.0,1.0,1.0,2.79,69.59,-119.72,-8.42,-170.96,106.55,12.9,105.66,28.81,-1.13,15.36,-3.61,47.94,-81.54,0.0
1.0,1.0,1.0,14.12,56.72,112.54,-17.77,147.45,-162.4,67.89,-162.59,-43.17,-3.15,-70.7,3.46,-24.75,136.13,1.0
2.0,2.0,1.0,12.16,12.25,-38.11,-7.2,-74.02,69.2,44.13,133.86,-59.82,25.58,-59.5,-4.08,-76.05,-7.67,0.0
1.0,1.0,1.0,-13.96,9.45,17.2,-26.97,221.87,28.01,30.54,-46.56,-18.64,19.12,-37.18,3.41,-17.79,-4.32,2.0
1.0,1.0,1.0,-34.96,-122.67,-69.22,5.65,20.69,81.35,-13.88,108.33,9.86,-15.0,34.44,4.7,176.65,24.24,0.0
0.0,2.0,1.0,-14.21,-155.92,-27.27,-20.45,233.38,-59.25,-108.02,-18.92,-54.87,-4.08,-43.98,-0.29,-65.76,-20.4,0.0
1.0,2.0,2.0,27.55,-4.5,-18.95,5.99,14.56,-124.59,-78.48,-71.08,-157.41,-8.51,91.6,-1.65,-15.01,-139.72,2.0
1.0,1.0,1.0,8.64,-125.98,4.3,46.26,30.13,-81.84,-79.04,37.76,-193.78,28.62,36.51,-3.81,4.02,-44.02,0.0
1.0,1.0,0.0,-17.91,82.16,54.49,-34.13,28.32,-5.17,-73.9,-138.92,-98.14,6.75,33.1,0.61,-130.3,20.19,1.0
1.0,0.0,1.0,24.94,-31.64,-10.23,-4.38,36.48,1.48,-34.29,31.88,-3.35,-10.18,7.18,-2.23,-52.33,-2.5,2.0
0.0,2.0,1.0,-11.9,-16.35,-65.76,-11.08,199.01,-302.45,-103.43,-322.57,-243.83,28.04,-34.11,-3.9,26.58,54.29,1.0
1.0,1.0,1.0,9.76,13.24,-53.15,-10.51,-55.05,-55.36,26.88,123.93,-159.99,-21.81,-22.75,1.26,-68.97,49.99,0.0
1.0,1.0,1.0,37.79,105.33,105.54,26.82,-126.69,-55.72,-16.38,-217.72,30.84,41.86,18.4,2.78,8.23,-20.12,1.0
1.0,1.0,1.0,,-28.44,-20.15,-24.65,-172.73,-134.13,64.86,-219.35,-87.42,0.6,3.03,-1.08,-177.53,58.59,1.0
1.0,1.0,1.0,19.92,12.94,56.44,39.69,83.82,77.39,68.47,138.24,-7.68,11.21,5.32,-4.47,83.36,98.32,1.0
0.0,1.0,0.0,-6.36,-194.77,-95.58,9.76,-142.27,-4.29,122.21,132.58,-93.29,-32.92,35.78,-2.78,-75.23,63.29,0.0
1.0,1.0,2.0,-28.23,6.64,-40.17,-18.7,-104.0,-143.69,-1.51,-6.71,-117.66,19.09,-120.43,-3.79,29.29,-20.51,2.0
1.0,1.0,1.0,-23.59,14.6,-59.42,25.18,-57.09,-32.62,-234.66,-25.22,-82.4,26.72,-8.6,2.93,-11.29,100.61,2.0
1.0,1.0,1.0,29.91,140.84,31.06,22.04,-23.26,118.86,11.44,7.53,2.43,7.4,90.37,-3.69,-143.45,101.68,0.0
1.0,1.0,1.0,-16.0,104.95,-28.19,2.62,-38.84,12.96,-44.6,73.71,-36.33,-18.95,7.72,6.54,-36.35,98.58,1.0
1.0,1.0,1.0,-16.71,-53.01,101.21,-11.26,-10.05,81.01,-22.12,139.63,-46.85,16.39,-47.82,-2.46,-31.9,-36.65,2.0
2.0,1.0,1.0,-6.94,-44.79,64.64,-25.29,52.36,153.16,-73.9,279.42,79.23,-2.85,-141.72,0.83,-66.13,101.95,2.0
2.0,1.0,1.0,25.73,95.28,25.77,33.67,-124.08,-9.46,-58.09,257.81,-90.49,-6.46,-34.73,-6.92,-71.57,43.86,0.0
1.0,1.0,1.0,20.66,35.99,-22.34,-56.86,73.45,-125.2,27.64,-547.36,34.96,10.43,33.6,-7.37,-45.97,226.8,0.0
1.0,1.0,1.0,5.73,58.63,-12.42,-35.16,254.48,-3.92,-76.19,133.59,-191.66,-2.76,-57.48,-0.76,76.73,48.18,0.0
1.0,1.0,1.0,-9.98,195.98,-89.8,17.2,66.16,49.98,16.66,57.13,108.34,-14.37,26.24,7.7,84.43,-57.04,0.0
0.0,2.0,2.0,-30.5,101.29,6.62,33.44,194.3,-225.02,-9.65,-186.26,31.44,0.07,-26.87,0.84,-122.3,25.05,1.0
2.0,2.0,1.0,77.97,-176.39,-22.3,26.37,-146.14,77.8,-51.2,144.4,65.94,-0.25,8.91,4.54,-119.45,-25.01,0.0
