cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,target
1.0,2.0,2.0,1.0,-0.88,-2.1,30.28,-69.42,72.52,177.34,-15.61,277.48,7.84,-81.64,38.24,-23.03,10.13,-74.32,-160.34,0.0
2.0,1.0,1.0,2.0,3.09,-1.13,20.41,-60.66,110.24,8.77,33.62,-91.06,-8.91,-5.36,24.89,91.05,1.52,66.73,-42.41,1.0
2.0,2.0,2.0,2.0,-8.78,38.12,-11.22,-48.58,79.57,-64.03,-51.93,-310.19,-11.43,3.82,-20.53,112.68,-5.84,114.58,91.07,1.0
2.0,2.0,1.0,2.0,-4.61,-41.06,-11.52,-18.9,-98.79,20.34,80.98,-44.24,17.77,31.35,-10.88,45.69,0.7,162.84,-57.89,0.0
1.0,2.0,2.0,2.0,-2.36,98.0,92.51,-71.17,19.28,91.55,-118.68,289.88,0.69,-6.14,22.76,-264.06,19.19,-275.07,-129.7,0.0
1.0,1.0,2.0,1.0,7.54,68.76,1.2,78.31,54.66,206.32,-25.92,-94.2,4.76,-58.02,6.65,-120.79,10.77,-149.77,74.53,0.0
2.0,2.0,1.0,2.0,9.96,-25.53,12.06,98.02,-18.52,-70.9,-74.38,-201.23,-8.16,-1.52,-13.19,18.56,7.19,125.18,24.47,1.0
2.0,3.0,2.0,2.0,2.61,-4.38,29.12,58.62,-75.69,-79.22,-10.02,75.13,-10.53,-17.53,29.33,-117.33,-20.71,19.72,46.31,0.0
3.0,1.0,2.0,2.0,10.15,30.68,-5.63,73.38,-19.08,-97.74,33.87,-128.19,12.79,22.31,18.11,45.99,-20.56,14.83,-27.73,1.0
2.0,2.0,2.0,2.0,-15.27,-102.04,-18.81,62.95,-0.64,21.94,-111.83,83.4,8.02,25.9,-18.76,82.04,-28.97,-12.5,178.38,0.0
2.0,2.0,2.0,1.0,-0.04,124.43,-11.16,-22.64,-88.77,117.27,-57.12,-129.18,22.55,60.44,-12.59,-59.52,-8.93,-77.01,-103.41,0.0
2.0,1.0,2.0,1.0,1.99,35.94,9.55,20.61,-92.68,137.62,17.43,-48.46,18.49,-2.86,-8.69,-45.86,6.76,4.25,42.98,0.0
1.0,1.0,1.0,2.0,2.43,11.41,4.1,7.46,-50.88,-89.25,90.48,18.51,25.37,-7.2,21.49,-79.59,-7.21,6.73,-101.12,1.0
1.0,1.0,2.0,1.0,-0.81,5.47,4.27,-200.12,-111.61,156.94,-75.81,-132.05,4.39,-8.62,-21.0,26.2,-2.21,135.39,209.64,1.0
1.0,2.0,1.0,2.0,15.52,55.47,-17.36,34.26,-39.02,50.45,22.99,-66.45,19.36,3.92,4.96,-89.86,10.28,-177.47,0.28,0.0
2.0,1.0,2.0,2.0,-0.91,21.67,21.35,79.5,-61.7,-54.98,163.73,54.93,9.62,5.11,15.17,-129.25,-2.64,-145.13,26.5,0.0
