cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,target
1.0,1.0,0.0,-261.9,56.21,-1.0,-9.89,13.3,104.85,105.38,-16.88,13.84,-3.54,70.39,-0.43,133.98,6.23,71.96,28.79,-160.63,0.0
1.0,1.0,1.0,-1.4,190.32,-20.03,136.48,-82.86,70.35,6.08,98.6,1.07,4.45,77.78,-3.51,91.35,29.26,59.34,-197.44,-100.5,2.0
1.0,1.0,1.0,-232.97,-64.42,29.23,-50.72,-72.63,14.38,-31.27,-8.97,9.36,-9.49,56.18,-3.76,46.31,19.02,101.11,296.71,0.05,1.0
1.0,1.0,0.0,-16.06,107.37,-0.09,29.57,-94.01,-53.0,-56.09,81.44,-4.08,7.35,-19.61,11.26,-73.28,-1.06,72.23,125.53,-92.94,1.0
1.0,1.0,1.0,1.57,-63.53,-37.34,26.77,19.71,18.66,-62.74,138.08,-1.74,2.44,69.07,-37.39,-66.27,-15.61,-2.76,-179.09,146.03,0.0
1.0,0.0,1.0,-52.76,103.25,10.62,-40.59,-155.21,34.65,-72.6,-89.82,3.05,-3.5,67.98,6.46,-39.59,-4.62,-20.0,140.0,-6.92,1.0
1.0,1.0,1.0,-141.0,9.74,26.69,76.05,-94.6,32.19,-26.5,69.89,5.37,-5.41,-147.33,-3.38,166.92,-0.45,78.64,64.27,144.72,2.0
1.0,1.0,1.0,8.27,-83.39,26.38,112.12,-139.55,62.04,-34.07,1.89,-5.78,-15.81,-169.35,-53.49,136.59,18.49,-59.72,-92.55,4.01,2.0
1.0,1.0,0.0,-335.9,-65.8,41.53,-88.72,109.03,52.41,40.71,21.83,16.33,2.37,0.96,-16.62,11.67,28.69,56.56,-34.49,113.44,1.0
1.0,0.0,1.0,26.25,-91.62,-0.67,69.12,-118.18,57.1,73.43,-75.13,-10.08,5.27,-6.24,33.74,-27.28,17.66,-40.0,-37.22,61.23,0.0
1.0,1.0,0.0,-26.12,31.21,22.12,-86.8,113.82,-25.42,19.08,-11.81,2.05,3.93,-91.35,27.1,-19.23,-3.9,-61.67,20.09,-279.66,0.0
0.0,1.0,1.0,-93.12,-74.19,-20.97,46.54,128.85,-11.05,56.11,95.42,-1.86,6.69,-104.38,-11.65,-37.36,-16.62,140.16,-30.4,-20.01,1.0
1.0,0.0,1.0,166.46,68.87,70.99,179.65,-95.16,-28.0,-28.4,-193.13,-14.4,3.2,-142.24,19.6,123.65,3.91,60.32,52.21,16.58,1.0
1.0,1.0,1.0,-40.19,37.19,-63.5,86.71,-93.19,9.4,9.7,-57.12,-0.03,4.08,81.33,17.55,23.76,-14.82,90.15,-19.39,-176.83,2.0
1.0,1.0,1.0,-201.26,-21.4,-50.26,-78.08,-44.79,17.05,86.49,44.01,8.76,-10.14,78.02,-22.37,-120.02,8.3,81.21,123.5,-16.22,1.0
2.0,0.0,1.0,111.3,126.13,-43.8,109.91,-105.48,-14.48,-36.96,-64.43,-1.8,4.05,-67.01,28.3,38.54,22.08,6.17,-191.0,106.58,2.0
1.0,1.0,0.0,-215.99,-75.13,-8.83,-112.44,50.55,20.3,97.47,-106.25,9.4,1.52,34.18,29.03,-304.14,16.06,17.94,-236.45,37.21,0.0
1.0,1.0,1.0,109.97,113.69,-40.94,148.84,79.18,75.21,-12.34,-79.49,-2.83,3.18,-6.28,26.75,154.31,18.72,0.95,-340.82,-38.83,2.0
1.0,0.0,0.0,5.64,50.18,7.05,151.43,-43.43,-0.28,23.98,282.19,-10.41,10.4,84.92,-2.86,47.87,-11.74,52.72,-108.81,-25.87,2.0
1.0,1.0,0.0,38.89,91.93,23.37,-26.11,-8.43,-48.09,72.16,17.5,-3.75,-4.02,101.09,12.78,-158.4,0.26,37.05,58.13,-62.2,0.0
1.0,2.0,0.0,-66.72,76.08,-23.29,-28.81,101.04,-19.95,8.48,-42.39,5.68,5.3,-26.94,-1.35,-11.98,21.74,18.23,-95.38,48.1,0.0
0.0,1.0,1.0,-28.78,-9.56,-5.56,25.92,-115.57,9.49,-6.91,236.63,-0.45,-6.41,79.89,29.86,18.82,8.87,-15.87,15.22,102.55,1.0
1.0,1.0,1.0,-39.19,25.32,-9.41,-54.69,-41.8,-28.24,-53.26,81.02,4.28,0.1,183.1,14.96,23.8,-43.04,-53.2,71.15,-118.86,2.0
1.0,1.0,1.0,5.63,-64.7,44.65,-37.8,113.52,20.14,-73.7,-51.81,-3.8,8.17,65.09,-9.87,-145.48,-19.55,81.8,82.47,8.0,1.0
1.0,1.0,0.0,-353.55,83.85,-8.38,16.03,-2.82,22.62,53.63,-41.48,14.3,7.66,155.58,-28.53,256.67,-21.78,88.58,136.77,10.06,0.0
0.0,1.0,1.0,-187.97,-109.73,-50.31,-23.08,-20.19,-0.07,-62.08,-144.76,12.25,0.48,-10.65,-9.18,303.03,14.95,-105.99,9.36,-99.96,0.0
2.0,1.0,0.0,178.25,242.77,-46.6,120.99,-54.32,-44.76,-44.02,-30.05,-9.11,-3.09,-48.97,-16.34,63.43,34.42,-48.72,-177.89,98.82,1.0
1.0,1.0,1.0,7.66,-8.72,-26.88,-71.86,-11.76,-22.79,-67.79,-244.34,-2.13,-2.31,296.96,-42.32,-255.33,-33.42,70.79,121.96,88.98,1.0
1.0,1.0,0.0,-21.2,-44.01,-96.31,148.74,19.36,-33.19,-6.71,73.81,-9.58,-12.25,128.48,-4.17,118.89,-5.49,51.95,-89.76,-76.41,2.0
0.0,0.0,1.0,146.39,-11.27,-3.85,-84.64,26.79,17.83,-72.86,171.68,-3.87,-2.69,145.96,35.83,-48.73,-26.15,-139.5,36.46,-179.43,0.0
1.0,1.0,1.0,-3.65,-43.55,-30.62,-12.48,82.76,3.68,6.53,-29.91,-2.88,-12.21,-73.15,36.91,-215.62,19.8,104.08,-53.86,24.65,1.0
1.0,1.0,1.0,428.99,-52.37,33.81,91.11,129.01,6.0,7.15,-75.82,-24.94,-5.7,-62.81,67.47,289.03,33.32,-172.31,170.4,-24.64,0.0
2.0,0.0,1.0,84.84,-2.03,-11.29,47.47,-12.21,-12.19,-72.23,-63.15,-5.01,5.18,111.87,-14.58,26.81,8.82,-37.2,-85.69,-78.19,0.0
1.0,1.0,1.0,-96.56,-97.45,28.89,-13.58,99.22,-25.27,-1.32,21.29,3.08,-1.57,-113.92,-9.7,-9.25,12.83,-13.74,-164.97,21.34,0.0
1.0,0.0,1.0,218.4,110.07,-7.08,22.65,-102.75,-66.21,92.35,-59.1,-9.17,2.8,-227.29,27.69,46.81,-37.79,-86.68,128.97,31.27,1.0
2.0,2.0,1.0,19.91,-0.61,-21.34,-99.4,-145.4,14.71,-170.82,-42.29,-6.31,12.09,129.86,54.86,-528.14,-18.09,152.31,240.28,44.46,1.0
1.0,1.0,0.0,-244.73,8.21,16.09,39.11,39.8,-40.8,47.22,-53.62,9.81,9.33,-175.75,48.87,265.75,5.59,37.79,21.87,69.54,0.0
1.0,1.0,1.0,239.46,-18.83,-79.28,26.51,122.58,74.86,-12.42,-28.48,-12.66,4.1,-58.8,19.42,137.7,-24.44,-148.07,-26.8,8.07,0.0
1.0,1.0,1.0,84.16,-23.27,-12.25,-90.19,62.57,-2.68,-59.96,-69.4,-3.2,17.03,23.56,-18.95,-304.91,-0.91,-11.55,-87.35,113.25,0.0
0.0,1.0,1.0,91.1,94.77,-26.33,267.71,27.12,24.93,48.3,185.71,-13.8,6.22,-80.95,18.48,195.66,-6.37,134.23,-159.71,-83.17,2.0
1.0,1.0,0.0,82.36,160.92,95.66,95.41,-141.36,16.86,-65.55,-59.82,-2.89,-2.51,-6.1,18.92,-77.51,-3.22,-53.1,-353.66,-11.22,2.0
1.0,1.0,1.0,-18.4,11.51,-33.48,-29.81,9.32,-84.78,-16.67,175.44,-1.81,-7.91,15.88,59.57,-219.54,-8.99,108.14,62.13,-50.82,1.0
1.0,1.0,1.0,68.51,-59.06,-90.13,-71.51,90.72,31.9,43.16,-8.26,-3.47,8.84,88.97,-9.9,-201.98,12.17,-22.11,-61.57,76.47,0.0
1.0,1.0,0.0,7.69,65.36,2.82,-27.21,42.99,-38.49,106.55,-70.68,-0.98,-15.08,-97.63,45.22,-83.12,-9.17,12.45,0.11,-133.86,0.0
1.0,1.0,0.0,59.83,43.47,-23.78,194.56,-5.29,-27.61,-58.47,-17.32,-11.26,7.08,-197.82,-13.99,110.43,-13.06,57.79,-189.41,14.06,2.0
0.0,1.0,1.0,-197.95,-134.62,-89.88,-133.15,142.83,60.59,-4.88,-59.14,9.63,-14.98,74.45,19.72,-97.49,-9.17,29.35,49.32,-13.64,1.0
1.0,1.0,1.0,221.75,-35.31,-20.06,117.03,58.59,13.24,-19.49,-23.19,-16.14,-4.78,-22.68,39.37,-1.65,-33.38,-20.89,-160.05,36.29,0.0
