cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
1.0,2.0,-1.9,55.84,-11.92,72.86,-9.86,46.76,68.15,297.37,-145.6,-91.24,-85.48,8.7,35.69,-26.52,2.39,6.21,-63.68,-12.36,12.25,-9.26,-37.31,8.22,46.22,0.0
2.0,2.0,83.69,25.64,32.15,-30.24,-64.36,-88.42,-16.05,8.32,-270.91,60.68,58.76,92.3,-66.71,-19.43,2.25,81.81,-129.99,10.26,-6.26,7.31,-90.9,-8.81,-163.1,0.0
3.0,2.0,22.5,156.65,-198.62,45.12,-21.8,-1.65,-73.79,-160.42,-102.08,-89.62,113.88,-55.38,79.15,-17.86,6.68,65.67,-73.01,-20.63,12.94,-6.01,-125.46,-17.1,40.17,2.0
3.0,2.0,-34.94,107.55,-16.62,-29.63,76.86,38.58,45.44,2.59,9.25,62.21,17.1,-31.52,11.04,-6.52,2.17,81.19,85.32,-20.38,2.58,0.12,-12.49,2.18,90.62,1.0
2.0,3.0,-37.86,235.73,46.75,-23.36,-44.6,-93.49,43.08,-255.77,-148.46,-15.49,203.24,29.45,-83.66,12.13,3.78,-108.2,-90.72,29.43,0.15,2.45,138.57,-11.44,22.01,0.0
2.0,1.0,24.85,70.77,-87.55,7.5,-48.16,16.58,-96.46,-9.44,171.09,43.96,-39.78,-121.22,-15.29,23.45,2.91,-112.11,114.94,-22.32,-0.81,-0.15,-3.31,7.46,-93.85,0.0
1.0,3.0,85.11,54.23,-166.34,-27.33,26.34,-36.07,92.14,-232.06,-121.22,15.52,138.44,115.91,-66.49,8.96,4.24,-64.58,-158.72,26.93,-0.37,6.56,119.55,-16.04,-67.95,1.0
3.0,3.0,101.31,31.19,63.43,39.97,22.67,55.21,-1.69,-180.89,16.19,44.21,115.29,66.83,-27.4,-51.15,-0.08,99.4,-2.67,25.92,6.83,0.06,9.69,-11.08,45.38,1.0
1.0,2.0,35.21,10.9,-16.21,-33.3,34.28,14.68,-66.32,-122.17,-19.88,-8.88,-15.77,64.22,-46.0,36.96,1.54,46.98,38.72,-16.19,1.06,0.11,-96.58,23.45,16.8,2.0
2.0,2.0,34.84,-77.29,175.26,-109.16,34.04,-9.63,23.96,-281.39,157.09,-67.17,133.19,-53.29,28.01,11.77,3.26,-34.46,113.13,4.59,11.34,-8.2,-55.3,24.43,-130.07,2.0
2.0,2.0,38.07,89.73,-201.87,-41.48,72.4,-1.97,-4.17,92.33,-36.89,-52.16,-104.08,-153.14,42.51,57.02,2.19,-62.51,67.89,3.72,7.14,-6.95,-22.69,5.09,-30.79,0.0
2.0,2.0,10.14,6.7,-74.32,-9.86,125.13,-20.78,-76.5,1.29,-137.24,-25.88,-56.72,38.65,49.46,-5.16,-4.31,32.6,11.23,41.66,2.08,-1.25,14.44,24.64,49.54,2.0
2.0,2.0,71.18,147.02,-433.48,22.43,-31.39,44.96,-115.36,-126.54,153.74,-46.24,-67.59,18.21,59.78,-36.91,1.9,26.78,-175.61,19.41,-9.01,6.87,-27.01,0.89,95.99,0.0
