cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,target
1.0,2.0,0.92,-14.6,-17.64,28.38,-156.81,-42.47,5.23,19.54,159.75,41.95,-43.1,27.16,32.51,1.0
1.0,2.0,4.04,5.97,54.25,-13.74,-37.29,124.46,6.18,-50.79,-143.22,-24.4,40.55,48.01,-10.21,0.0
1.0,1.0,10.37,-26.07,-83.78,24.05,-243.81,96.52,23.96,-44.95,93.19,-128.03,32.7,-39.07,17.96,0.0
1.0,1.0,-1.41,-6.89,-40.48,18.1,147.66,-60.68,-9.84,45.5,-133.98,-108.1,7.06,-19.99,-5.38,1.0
1.0,1.0,-18.8,-56.61,-22.38,47.35,366.82,58.54,37.73,5.4,-367.56,9.87,-12.59,-62.18,-15.25,0.0
1.0,1.0,10.92,5.64,-40.28,4.64,-182.99,-112.83,-4.81,36.22,123.68,-64.08,57.28,-29.77,23.44,1.0
1.0,1.0,0.01,-22.71,-40.54,51.39,-223.72,40.02,43.47,-10.57,106.11,89.82,-69.64,-4.24,34.43,1.0
1.0,0.0,0.98,44.26,-93.84,-43.44,-17.93,131.1,24.05,-38.04,-8.96,16.48,38.5,-50.29,29.57,0.0
2.0,1.0,-15.14,-37.87,-71.32,45.0,36.05,-67.87,8.78,27.65,238.86,207.48,2.73,-31.79,43.58,0.0
1.0,2.0,16.51,-16.63,-137.48,-31.99,-159.49,-69.31,-21.28,4.47,-104.37,-13.97,2.42,-67.55,-14.2,1.0
1.0,2.0,-9.15,23.67,70.78,-34.16,148.12,-8.12,16.61,8.45,-154.28,-136.27,-116.21,5.3,-5.88,1.0
1.0,0.0,-8.54,-19.62,-1.8,-15.29,366.29,93.41,-24.95,40.06,224.8,172.97,23.08,26.49,4.52,1.0
1.0,2.0,5.57,16.38,-17.68,-34.33,-222.6,-8.81,24.53,2.14,4.35,-67.32,7.53,12.78,3.62,1.0
1.0,1.0,-6.63,-25.93,73.17,-10.4,-52.89,-45.9,53.87,16.5,-211.59,9.87,25.15,1.46,21.78,0.0
1.0,2.0,1.53,-16.24,-139.77,-31.51,113.1,94.83,-12.18,0.84,82.04,63.67,-6.29,-41.21,15.3,0.0
1.0,1.0,-10.18,11.03,129.7,20.94,549.09,104.21,-13.64,0.87,-76.02,17.92,33.76,-26.94,-47.9,1.0
1.0,0.0,9.89,-39.72,-81.54,6.76,-245.17,-117.53,12.71,-7.72,-107.82,15.91,19.8,-92.96,-7.41,1.0
1.0,0.0,0.16,7.29,-87.48,33.14,84.84,46.82,-32.16,-5.33,28.67,24.98,64.61,9.58,21.08,0.0
1.0,1.0,-0.74,-2.98,-104.4,17.0,-18.23,-79.31,-5.44,39.24,-157.06,-183.52,7.16,-3.64,7.66,1.0
1.0,1.0,7.11,-18.3,-172.56,-5.76,-72.25,64.21,-21.92,-1.72,231.86,11.71,-27.01,-25.22,5.07,0.0
1.0,1.0,-2.76,-6.01,-69.68,7.54,109.62,63.02,-0.6,-9.67,-3.31,41.55,-10.36,-36.54,34.81,0.0
1.0,1.0,-2.95,-29.86,-108.47,48.49,-3.45,64.67,10.35,39.19,-5.5,-31.19,32.91,58.59,-21.51,1.0
1.0,1.0,0.93,5.24,-211.99,-2.86,-11.62,-18.46,-4.99,-16.79,-249.8,-11.24,18.0,-98.33,21.13,1.0
1.0,1.0,10.6,-24.58,-177.15,49.03,-115.49,-13.11,-26.93,9.63,50.13,-56.69,5.8,-32.07,-10.4,1.0
1.0,2.0,11.87,41.3,-27.73,-78.84,-198.71,-129.63,8.74,-11.14,-370.36,29.63,-9.74,-69.17,11.7,1.0
