cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,target
1.0,3.0,2.0,242.26,27.77,46.09,-20.49,-123.53,111.64,-48.53,-926.2,-95.72,-14.27,-0.39,160.83,78.19,0.0
0.0,1.0,1.0,-71.42,67.02,9.59,24.97,24.46,-11.32,-60.14,68.52,301.35,11.85,148.33,49.36,70.42,1.0
0.0,3.0,1.0,65.32,-32.08,-99.7,18.64,-22.53,379.02,68.99,-790.06,-437.12,11.56,270.19,-270.19,151.29,0.0
2.0,1.0,1.0,-163.53,46.02,-14.69,24.37,4.1,-16.8,-93.83,162.6,342.1,28.64,138.93,4.54,59.28,1.0
2.0,1.0,0.0,-121.0,-22.59,39.95,-14.03,-31.0,57.62,-31.47,-88.01,-335.87,-20.44,136.8,-397.53,160.21,0.0
1.0,2.0,1.0,-108.2,18.32,-55.15,38.17,-33.31,93.54,-80.68,-289.59,154.93,-10.36,185.4,62.4,26.34,1.0
2.0,1.0,2.0,-13.73,-4.74,3.73,5.82,-2.25,60.02,-107.99,-92.66,-143.73,6.54,71.37,-136.31,85.98,0.0
1.0,2.0,1.0,69.95,-54.34,6.95,16.11,-63.82,-47.43,17.63,-372.43,-47.39,-14.67,99.71,169.08,67.59,0.0
2.0,1.0,2.0,67.68,51.02,34.26,-22.26,74.54,-53.46,116.5,246.45,-299.94,-5.38,97.07,-182.56,53.35,1.0
0.0,3.0,1.0,188.82,-2.06,9.75,23.42,6.75,184.67,77.62,-504.24,19.42,-22.65,12.05,212.07,-41.88,0.0
2.0,1.0,1.0,50.07,-17.69,85.36,30.32,-32.22,-78.78,133.17,29.85,223.35,-2.73,-82.51,397.63,-106.31,0.0
2.0,1.0,1.0,137.95,14.74,-36.68,3.82,-70.16,-51.28,-28.71,-235.34,-7.41,0.13,-58.48,296.97,-36.69,0.0
2.0,0.0,1.0,-17.11,-26.45,34.35,-24.37,33.72,-41.23,-7.39,353.28,114.22,6.68,-80.14,-229.52,156.35,1.0
2.0,1.0,2.0,65.73,-29.72,133.45,3.1,-48.37,-98.18,-109.06,100.63,148.0,-13.36,-37.75,339.64,-82.96,0.0
3.0,1.0,1.0,-192.31,41.5,66.58,9.33,56.47,138.2,20.16,352.07,298.74,0.54,26.1,-127.6,-71.89,1.0
3.0,2.0,2.0,167.6,-2.13,35.56,57.93,-27.0,202.32,-19.29,-594.21,-192.4,2.34,98.19,330.73,-83.59,0.0
1.0,2.0,1.0,-97.61,-0.56,-28.36,-8.84,17.86,-268.46,-122.52,-69.21,-53.86,-3.61,-20.73,-284.49,182.79,1.0
2.0,2.0,2.0,137.55,-28.62,-94.32,30.62,-98.69,62.29,28.77,-702.99,-259.1,16.48,77.58,250.68,3.05,0.0
1.0,1.0,1.0,-25.18,2.06,17.5,22.94,102.35,188.72,25.56,-7.49,-172.56,30.6,77.66,-288.67,61.53,1.0
2.0,1.0,1.0,-123.34,58.3,63.32,39.02,64.16,40.97,110.49,141.5,243.09,-25.84,120.24,-18.67,13.1,1.0
2.0,1.0,2.0,-74.22,-23.12,13.52,8.5,-4.65,61.27,136.74,11.73,65.04,-7.58,80.72,-97.11,73.92,1.0
2.0,2.0,2.0,-104.95,61.93,-1.47,8.9,-5.77,-147.62,-157.94,6.53,185.16,-6.92,122.3,-20.57,92.92,1.0
2.0,1.0,2.0,-26.23,12.99,-83.37,5.63,24.04,69.34,-11.34,11.84,87.06,17.65,75.63,-111.71,92.61,1.0
1.0,1.0,2.0,-57.22,-10.05,-21.3,-26.66,36.31,-151.52,62.91,497.19,-243.65,0.85,102.27,-219.6,81.35,1.0
1.0,1.0,1.0,-132.96,51.23,83.74,16.56,39.78,-129.31,-102.56,250.0,-224.63,-11.04,161.25,-213.45,99.32,1.0
2.0,2.0,2.0,176.02,-13.39,-42.37,21.19,-0.41,-9.76,2.63,-312.8,284.05,-0.69,11.2,321.31,31.56,0.0
2.0,1.0,1.0,124.47,-51.04,-40.7,4.3,-64.77,-100.73,63.33,-11.72,100.45,8.78,-175.22,330.49,-45.2,0.0
1.0,2.0,2.0,48.62,-6.9,62.28,26.27,-90.51,47.0,-14.17,-89.53,183.9,10.23,97.16,524.46,-171.8,0.0
2.0,1.0,1.0,-82.27,-24.88,-16.42,11.34,58.83,19.23,-132.27,256.81,-160.95,11.55,195.43,-219.8,102.99,1.0
1.0,1.0,1.0,20.11,-43.03,-10.96,1.61,-63.85,-181.36,-72.67,88.45,152.24,-6.33,-105.91,285.78,-54.37,0.0
2.0,2.0,1.0,66.88,-22.53,34.65,-35.88,-85.67,118.45,-53.0,-464.47,-3.13,-5.37,-50.73,,145.88,0.0
1.0,2.0,2.0,43.37,-30.4,57.86,30.83,-59.51,-52.17,34.59,-322.1,-4.27,6.7,212.11,197.18,109.42,0.0
1.0,1.0,1.0,-93.02,19.54,21.27,-18.75,-3.51,91.28,7.06,388.03,89.25,-15.98,10.54,0.83,-127.22,1.0
0.0,1.0,2.0,-39.63,-3.93,-13.73,-30.38,27.53,-2.71,-26.91,502.66,-203.04,-1.99,130.76,-149.24,-1.5,1.0
2.0,2.0,1.0,101.36,4.05,-16.7,-15.49,-115.93,65.95,-107.78,-512.28,-148.28,8.55,33.96,62.63,72.94,0.0
2.0,1.0,3.0,-150.95,-7.53,-78.74,-18.37,-0.27,52.08,-53.07,297.64,1.19,6.04,123.73,-241.72,61.89,1.0
1.0,1.0,1.0,172.44,-4.33,36.64,30.65,-59.65,-104.98,50.41,-260.09,135.33,6.71,-71.24,487.03,-51.97,0.0
