cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,target
1.0,2.0,2.0,156.41,-241.24,-82.59,-603.97,13.87,3.13,-116.24,1.25,-60.05,-16.52,177.21,-5.52,64.52,4.49,-68.18,52.23,29.61,-6.7,-20.92,1.0
1.0,0.0,2.0,211.52,-175.13,136.0,-172.43,-71.74,20.82,-2.43,1.15,-123.56,6.91,-66.83,-54.94,-13.46,-0.08,-35.14,-49.52,45.62,42.42,3.45,0.0
3.0,3.0,1.0,-89.54,-176.58,-15.26,-236.77,-59.55,-19.91,2.57,-4.2,37.33,-7.04,281.25,65.29,-3.39,-4.05,77.99,-69.03,-3.82,-152.6,-28.74,0.0
2.0,1.0,2.0,-258.97,44.55,-1.76,743.78,-82.74,17.09,36.35,13.79,-79.87,42.42,-375.63,25.11,-25.71,-3.43,-120.55,-86.39,-54.74,345.09,-212.76,2.0
1.0,1.0,1.0,56.16,163.68,32.57,299.57,-63.74,-30.31,-13.7,-3.18,52.76,-130.91,-242.7,-22.58,35.85,-0.74,66.92,-89.18,-93.18,29.4,35.46,1.0
4.0,2.0,2.0,-43.31,154.86,-72.47,370.71,70.1,18.5,98.22,-1.79,-64.06,23.94,-281.77,55.65,7.63,2.07,-17.26,-7.25,-50.51,181.54,-168.1,1.0
2.0,3.0,2.0,101.24,-15.6,-6.93,-146.59,59.4,-22.12,35.0,-1.63,29.43,-43.65,34.56,118.44,-31.79,-3.18,98.11,11.72,29.33,-97.98,-18.3,1.0
2.0,3.0,1.0,134.94,39.33,-42.09,-177.97,138.54,2.09,1.46,-2.24,34.53,35.65,-36.65,-83.23,23.88,-2.53,-31.79,-30.97,-31.8,27.62,-4.22,2.0
1.0,2.0,1.0,-163.0,-74.42,-12.75,5.87,-31.39,30.73,73.71,5.24,34.24,-33.4,79.78,-49.4,-3.5,2.89,-36.46,-39.83,2.39,153.61,12.36,1.0
1.0,3.0,2.0,40.78,-208.41,-24.94,-397.23,-144.85,-41.51,-1.64,0.82,218.99,12.66,165.73,16.6,-19.17,-0.73,-42.99,-86.17,-1.95,30.96,3.31,1.0
2.0,2.0,2.0,130.51,44.93,-21.57,-146.42,-105.82,6.64,-2.62,-11.18,109.22,91.3,-5.26,60.94,18.71,6.93,-135.98,-84.01,-30.8,2.31,-140.87,2.0
2.0,3.0,2.0,14.16,-13.99,102.58,94.02,-83.54,-1.75,50.45,-4.16,-66.51,64.35,41.41,90.38,24.32,10.07,-12.36,72.81,20.18,-155.58,-1.11,0.0
3.0,2.0,2.0,31.27,-343.96,34.42,-815.06,14.68,3.77,-0.79,0.14,95.14,98.52,596.63,24.44,-78.61,1.54,-7.42,0.11,31.17,-248.38,99.33,0.0
2.0,1.0,3.0,196.57,-45.95,-54.2,-307.06,-13.56,-0.78,-12.67,5.03,-16.87,-2.07,-107.83,21.26,-3.44,1.33,-93.03,167.32,15.7,152.51,113.06,2.0
2.0,2.0,1.0,-64.57,-104.18,45.4,-61.52,-28.91,-13.85,55.6,4.2,100.52,16.29,97.52,-49.08,-4.18,1.57,55.7,12.07,55.5,17.15,61.52,2.0
2.0,3.0,2.0,25.51,-108.8,63.18,-138.16,80.31,-7.71,36.63,2.75,39.08,-22.39,75.88,-8.61,14.72,-0.03,58.33,17.16,-26.49,-7.49,89.71,2.0
2.0,0.0,2.0,-169.6,-60.3,-50.48,-126.0,-45.83,30.32,20.03,4.28,19.83,0.63,304.68,94.3,26.0,0.86,-6.46,26.55,44.13,-118.62,-148.35,0.0
1.0,1.0,2.0,140.16,115.43,48.7,328.14,52.6,-6.7,-102.34,-1.29,-33.52,-79.54,-347.53,-70.03,2.08,-3.73,0.19,-47.12,2.38,98.22,-150.48,0.0
2.0,2.0,1.0,-15.16,-233.51,-14.21,-230.94,117.79,8.7,38.62,0.39,-21.68,-54.91,105.65,-15.74,-79.78,3.82,-103.35,3.9,34.13,77.69,-98.55,1.0
2.0,1.0,3.0,-12.41,9.2,28.06,95.19,19.65,-4.76,61.75,-1.57,23.01,15.39,-26.11,-69.03,-3.8,2.51,71.41,-92.69,-11.2,-9.74,-45.56,0.0
3.0,2.0,1.0,-31.48,-83.48,-38.25,255.26,-41.44,-19.72,-50.39,-10.05,-8.77,12.28,-203.94,0.6,32.51,-5.08,9.96,-146.54,32.05,136.13,-340.69,1.0
2.0,0.0,2.0,-65.22,43.3,6.87,22.08,31.09,-0.26,-115.42,-4.14,31.08,0.37,57.54,0.55,3.19,4.47,62.54,96.11,-32.09,-24.1,117.75,1.0
2.0,2.0,2.0,2.18,82.71,-9.93,155.66,-20.57,14.68,-114.17,3.78,24.35,44.79,-147.04,-50.84,38.06,-6.11,-57.75,-4.31,-7.41,133.63,-54.19,0.0
2.0,1.0,1.0,186.43,136.44,-14.01,240.05,-107.85,-34.39,-5.98,-4.93,13.65,-6.77,-345.9,-24.0,5.21,-4.07,15.6,-23.92,-18.04,49.7,-173.07,0.0
3.0,2.0,1.0,182.22,18.1,-61.6,-313.68,-161.48,7.6,-94.55,-3.7,-109.15,11.46,-65.83,-16.62,-62.83,-6.34,-67.59,-16.94,46.8,71.36,250.43,2.0
1.0,3.0,2.0,-168.17,149.29,16.01,353.13,38.04,9.76,-71.03,8.53,18.86,-4.69,-25.13,4.02,32.85,-5.12,-2.75,-22.45,7.25,-22.23,-9.74,2.0
3.0,2.0,2.0,207.51,-97.11,-36.49,-439.19,-46.41,20.78,-102.38,-6.92,-88.14,-46.24,-39.07,39.58,-29.27,5.37,118.08,0.26,-24.24,158.02,213.13,2.0
1.0,2.0,2.0,-106.87,-64.65,11.99,124.23,-110.2,-10.76,61.2,-1.06,-22.96,-58.34,-5.23,32.42,-21.63,11.12,-64.96,9.13,5.46,31.0,9.26,1.0
2.0,3.0,2.0,-208.0,-6.3,4.87,188.93,124.01,18.84,-6.21,1.34,-25.56,-70.31,129.08,-27.19,-25.84,2.12,36.22,53.63,18.45,-66.9,-108.01,0.0
2.0,1.0,2.0,122.88,26.2,74.24,58.37,-138.43,-14.05,-126.8,6.81,71.97,54.66,-63.47,53.43,42.74,-5.15,122.15,0.68,30.99,-77.08,-142.32,0.0
1.0,2.0,2.0,-29.94,-126.11,-35.01,-151.96,-24.53,-3.25,137.97,6.21,-33.37,19.11,59.19,-43.12,18.79,3.49,53.06,48.33,-29.11,54.26,43.98,1.0
3.0,2.0,1.0,53.85,-17.35,7.96,4.96,-66.94,-33.41,21.69,2.53,97.66,23.14,-68.52,-35.33,-37.24,5.24,-98.73,-164.72,17.94,20.17,-24.4,1.0
2.0,2.0,3.0,-196.8,95.26,-78.8,-110.33,-44.31,19.28,-6.25,-6.75,-3.37,63.07,223.35,19.25,42.77,-3.76,-76.21,-18.22,-21.49,-37.37,336.59,2.0
1.0,1.0,2.0,-44.13,12.99,-107.28,14.96,7.18,20.43,17.61,-6.36,12.68,-35.41,-70.17,23.5,37.88,5.35,-170.51,18.33,-50.69,169.04,-155.9,1.0
1.0,2.0,3.0,-268.92,-90.15,75.95,176.8,75.44,-6.14,-11.13,-5.1,-18.28,4.07,248.51,61.37,67.14,4.15,-175.17,116.85,15.19,-184.16,23.74,0.0
1.0,2.0,1.0,-86.57,119.16,-7.33,648.01,-91.74,-1.13,48.73,-13.7,-37.93,-23.89,-329.8,-1.79,-33.92,-6.66,-64.27,119.19,-11.27,97.35,-447.55,0.0
0.0,2.0,3.0,107.65,177.07,-9.17,408.82,-126.69,-17.28,-35.1,-3.19,18.41,-52.56,-443.23,-33.58,-69.88,-0.32,-3.78,-63.43,-61.52,202.36,-129.31,1.0
3.0,1.0,3.0,-16.51,98.73,148.42,467.14,5.2,-15.7,32.47,-3.65,-80.8,23.49,-239.91,-86.74,-2.51,-5.61,-32.24,-96.4,-5.33,5.17,141.43,0.0
