cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,target
2.0,0.0,-35.7,12.67,-106.19,17.72,0.45,-240.36,-0.72,34.12,0.21,134.2,1.71,40.7,16.57,-0.96,0.0
2.0,2.0,-4.94,35.03,-26.25,103.63,5.06,-26.8,12.77,-10.46,-2.16,123.81,-8.83,47.65,-9.19,-26.6,0.0
2.0,1.0,-12.37,-0.1,2.26,68.88,-4.64,70.97,-0.02,19.68,3.42,-206.76,-8.09,28.86,-163.39,23.75,0.0
2.0,2.0,-4.08,-40.09,91.83,-64.98,-0.67,18.38,0.56,4.84,2.8,-76.34,-1.16,-15.9,-55.61,15.08,1.0
2.0,1.0,16.02,-49.5,83.86,28.01,20.06,51.21,13.09,0.05,5.84,-96.01,-2.69,-49.34,-290.49,-21.02,1.0
2.0,2.0,-7.0,3.7,11.47,-8.63,-4.48,-26.81,18.27,-32.02,10.18,-16.86,2.88,12.03,-84.36,4.97,1.0
3.0,2.0,-25.37,50.7,-57.13,22.7,11.16,-273.26,-13.84,-4.93,13.62,62.36,4.62,-1.49,-382.24,-35.98,1.0
1.0,1.0,33.16,26.72,164.14,87.9,5.67,219.74,17.42,-34.1,-0.66,7.2,-7.38,-24.85,53.02,1.25,1.0
2.0,1.0,-2.01,-57.17,-17.07,53.45,7.83,-32.47,21.06,-29.29,1.0,-105.07,6.07,13.32,-109.34,-2.45,1.0
1.0,1.0,8.73,77.51,-54.83,71.84,4.72,44.56,-15.66,-17.79,10.63,-55.19,1.32,-25.1,-184.47,-2.44,1.0
2.0,1.0,-9.27,-155.37,72.3,-40.02,-1.98,61.68,3.35,-30.17,-6.03,47.19,1.7,40.72,213.78,18.48,2.0
2.0,1.0,-19.66,-35.54,-192.77,23.66,-6.5,-197.45,4.95,0.67,2.26,-17.7,-1.83,-23.73,-240.88,-13.74,1.0
1.0,2.0,-5.85,-19.11,-32.66,83.41,5.2,79.93,5.54,52.61,-3.39,74.23,10.88,14.28,113.63,17.38,2.0
0.0,2.0,5.01,74.67,-93.81,-44.19,-3.02,-140.12,16.03,-26.14,12.87,-32.55,2.8,9.82,-41.72,-12.54,1.0
2.0,2.0,11.4,7.19,-35.2,116.41,1.69,113.69,24.6,-14.97,-9.62,-34.88,-2.3,65.15,17.99,-29.45,0.0
