cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,target
2.0,2.0,2.0,86.74,-36.61,-27.45,-0.06,0.58,-9.81,37.07,8.73,-130.38,-14.63,-53.66,105.15,1.0
2.0,1.0,2.0,-71.8,-103.51,111.07,-1.93,-4.61,-22.8,-79.99,4.5,-169.18,-36.72,-9.97,133.84,0.0
0.0,2.0,1.0,131.18,-73.8,-82.75,2.62,-1.49,43.42,-66.0,-16.68,8.01,,-75.78,-102.25,1.0
2.0,1.0,2.0,-17.63,190.76,4.86,-2.94,-0.37,57.05,-82.29,18.5,292.0,-60.67,-13.77,-2.17,0.0
1.0,2.0,1.0,118.96,-237.38,-3.24,-1.65,-1.12,-118.77,3.58,-7.02,-193.53,-49.57,-38.89,154.57,1.0
2.0,2.0,2.0,54.14,12.87,-31.86,-5.23,3.33,-20.14,-67.87,-45.63,58.12,-71.16,12.34,-66.47,0.0
2.0,2.0,2.0,-41.61,95.6,30.78,3.35,3.91,-44.68,11.48,0.26,-139.76,-79.43,32.45,-3.08,1.0
3.0,2.0,3.0,-28.59,259.41,-40.71,0.46,3.21,-62.48,19.4,-8.85,-114.42,10.28,3.65,125.55,1.0
2.0,1.0,2.0,-59.75,92.85,0.28,2.04,-6.56,-58.92,48.72,-27.48,-33.56,-19.97,-15.79,95.14,0.0
2.0,2.0,1.0,33.64,-206.15,-30.14,-0.65,-3.55,49.24,49.62,-61.27,7.14,-15.11,-50.71,146.01,0.0
2.0,2.0,2.0,82.72,-239.52,-34.76,7.38,-0.73,91.07,12.65,-6.5,-28.57,-127.74,-55.04,17.54,0.0
2.0,4.0,2.0,-48.32,120.17,46.75,0.53,-7.91,-155.53,-108.76,-19.22,-192.96,-20.69,-47.28,422.03,1.0
3.0,2.0,3.0,21.75,75.59,-17.5,-2.52,1.96,1.81,90.03,-53.73,33.36,-16.62,3.5,0.01,1.0
1.0,4.0,1.0,0.3,-11.16,-57.82,4.25,-0.01,-23.94,-12.43,11.01,-154.23,7.14,-11.31,-44.64,1.0
4.0,1.0,3.0,24.04,-148.63,47.29,3.98,0.75,65.42,26.11,-23.52,-12.69,-35.95,-8.85,61.78,0.0
3.0,4.0,2.0,24.35,-60.06,53.5,-3.07,-2.83,-105.2,79.92,-8.63,-64.7,11.2,-18.36,288.47,1.0
3.0,1.0,3.0,-81.71,82.41,-4.46,3.06,-5.6,18.6,-75.16,62.24,0.21,1.3,-23.97,160.94,1.0
2.0,2.0,2.0,57.41,109.05,-46.21,-1.48,0.34,18.92,72.76,60.27,-7.39,-1.02,-46.35,67.71,0.0
3.0,1.0,2.0,-16.23,76.6,66.31,2.36,0.6,-11.23,95.5,-19.69,144.62,2.99,16.92,28.39,1.0
