cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
1.0,1.0,0.0,86.64,102.28,-14.88,123.68,-27.36,-24.7,-1.04,191.35,50.75,23.42,17.43,25.64,-27.65,-74.52,-0.26,262.64,-143.72,-27.08,-27.27,-5.15,64.21,-29.13,220.03,1.0
2.0,2.0,1.0,-11.56,176.5,20.04,-71.24,-132.49,41.83,321.16,-10.84,-81.49,-0.83,26.73,40.54,103.15,-25.52,-5.31,27.06,48.24,25.94,-228.54,3.1,-35.58,87.21,108.9,0.0
1.0,2.0,1.0,156.26,25.61,9.87,72.39,57.66,-34.19,197.39,91.25,161.5,-7.53,-14.63,41.73,-97.14,60.71,5.61,103.64,146.05,57.39,53.42,-3.79,53.35,38.72,239.65,1.0
1.0,2.0,2.0,25.51,-123.69,14.71,-35.4,34.17,-106.66,136.21,-19.38,-82.04,-9.8,-2.97,-56.66,-110.41,26.04,2.62,155.03,-42.62,-10.75,26.65,-14.85,7.77,-233.65,180.33,0.0
1.0,1.0,2.0,8.22,-6.79,14.65,-69.84,-48.92,63.12,114.13,25.19,58.64,0.42,27.33,-6.16,-90.38,-79.47,-9.34,-36.04,107.69,-2.4,-57.03,0.84,34.04,24.1,-202.2,1.0
1.0,2.0,1.0,-46.43,-13.86,-1.99,45.88,108.22,-24.96,20.99,-38.65,146.11,-5.08,-30.45,5.53,94.25,-158.36,2.5,230.14,178.76,0.45,122.29,-9.74,49.97,11.25,300.53,1.0
2.0,2.0,2.0,12.17,-65.05,13.08,-38.71,82.79,-49.72,0.65,-20.02,-16.88,-13.28,20.87,59.22,-47.16,13.6,-8.72,412.99,-52.36,57.9,-101.15,-12.5,-10.71,81.31,-122.2,1.0
2.0,2.0,1.0,-50.79,82.45,-5.81,54.81,5.5,23.49,115.48,-171.84,-83.97,6.62,-1.2,-18.44,-23.6,67.52,5.58,209.74,-45.49,-29.58,-52.84,-0.34,-19.4,2.89,152.46,1.0
1.0,1.0,1.0,64.91,116.02,-20.95,-117.1,135.04,-43.74,198.45,-85.56,4.27,8.57,-44.31,-33.91,-46.23,-2.53,13.19,237.83,-38.71,58.33,39.28,-12.14,-17.46,15.25,-44.09,0.0
3.0,2.0,2.0,15.1,109.13,5.12,44.52,24.78,-60.72,179.6,-94.92,0.05,15.83,-27.06,-91.55,-145.52,-68.47,12.85,0.5,-6.22,44.13,23.92,2.43,-30.25,71.35,-11.49,0.0
1.0,2.0,0.0,11.44,58.81,26.71,-86.6,-30.0,-48.62,183.35,-67.46,-57.25,24.1,-44.65,17.24,76.3,-159.69,18.95,403.41,-167.28,7.11,-74.9,-20.24,-30.35,3.61,446.17,0.0
1.0,2.0,2.0,128.25,-96.95,-16.07,44.08,-130.93,126.73,-151.38,-19.16,-48.26,9.12,30.88,-16.0,58.16,-212.92,-0.04,45.85,22.84,98.43,-26.89,2.57,37.36,-106.86,111.93,0.0
1.0,2.0,1.0,51.44,-100.88,13.83,-60.72,30.71,71.98,144.86,-42.26,-2.5,-8.42,5.59,22.62,-41.55,80.79,13.15,-26.29,-69.06,-9.97,-19.95,2.49,151.87,-245.07,74.69,1.0
