cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
2.0,2.0,2.0,1.0,1.51,-79.42,39.72,16.91,-52.16,20.27,-65.15,27.14,-9.33,72.3,-34.15,154.9,3.22,-8.32,7.79,-21.65,-18.89,-53.59,-73.65,18.57,2.0
2.0,2.0,1.0,1.0,-137.79,28.04,-90.28,15.41,-9.38,17.75,-29.97,24.25,3.92,104.24,-19.79,-81.25,-3.49,15.86,-14.28,71.93,-0.62,70.18,-82.3,-2.54,1.0
3.0,3.0,1.0,2.0,85.18,-80.69,160.98,-8.2,-12.6,-17.19,64.47,-38.7,-0.65,146.1,-58.74,137.36,4.32,-41.78,4.43,6.12,102.53,-89.17,87.27,12.06,0.0
1.0,2.0,2.0,2.0,-190.12,103.57,298.83,-11.62,31.58,-13.22,-3.81,-72.27,3.69,-25.52,6.16,87.59,1.85,-90.97,6.38,-125.54,245.06,-161.27,-57.42,25.08,2.0
3.0,2.0,2.0,3.0,-157.48,-98.69,126.98,-8.2,56.98,-91.89,-32.91,70.7,-2.35,4.79,-0.39,121.47,-1.96,-95.81,-6.37,-141.45,1.48,72.59,-0.83,25.54,0.0
1.0,3.0,3.0,2.0,-103.71,53.49,10.95,-13.38,-16.93,218.61,11.62,-56.16,-3.81,22.12,23.7,74.86,-2.57,-50.24,16.04,36.46,-44.99,120.56,-25.16,-0.38,0.0
2.0,1.0,1.0,2.0,-62.82,-55.74,-186.6,5.2,9.52,102.33,27.25,34.59,1.18,-4.58,-8.86,158.77,16.73,86.19,-19.54,-60.61,29.89,-26.38,-74.44,-11.43,0.0
2.0,2.0,0.0,2.0,322.18,-83.18,-0.58,-2.84,-1.63,-252.72,-20.36,-3.56,-0.88,-1.7,13.65,13.8,6.7,115.73,27.38,141.47,-127.37,35.24,6.72,-1.19,0.0
2.0,1.0,2.0,1.0,57.3,58.48,133.97,8.92,11.7,-209.59,21.98,20.41,-1.29,92.71,35.71,83.61,-4.64,-29.4,24.8,1.14,-69.01,132.13,69.98,7.23,2.0
2.0,2.0,2.0,0.0,95.73,63.75,-197.29,-22.42,88.6,-8.09,-63.87,43.83,-5.53,-59.84,47.69,154.29,7.3,151.42,-3.88,41.43,7.29,-95.38,-109.77,-11.06,0.0
