cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,target
2.0,1.0,1.0,1.0,99.47,29.42,-13.68,-65.82,82.76,-129.24,23.22,108.53,-121.96,11.61,-197.71,48.79,-7.78,-163.42,-43.2,103.88,-27.17,70.52,0.0
1.0,1.0,1.0,0.0,7.56,-79.74,-22.49,-54.51,-101.01,-138.17,-8.56,-84.93,-33.07,1.73,164.47,-56.47,18.9,-15.4,77.42,-4.6,-66.06,-64.33,2.0
1.0,1.0,1.0,1.0,-56.98,-110.09,26.14,29.6,106.63,-144.28,-9.34,-89.22,179.01,9.26,-122.2,6.96,7.34,-56.35,-164.75,-7.39,21.79,41.53,2.0
1.0,1.0,2.0,1.0,16.06,12.91,-4.59,-91.47,-24.13,23.26,11.71,-214.89,-64.14,16.5,-61.77,-34.0,5.46,103.49,55.81,68.2,22.36,-12.28,1.0
2.0,2.0,2.0,1.0,-65.5,-87.99,-15.28,-117.21,-23.77,80.71,7.74,-41.01,-17.27,4.93,141.83,11.92,12.09,4.43,-23.84,-23.61,-64.28,-242.94,1.0
1.0,1.0,2.0,1.0,-20.55,84.8,9.76,114.76,84.39,-57.49,13.22,144.9,-58.68,-2.76,561.53,-8.39,17.93,23.78,26.32,25.28,94.75,-255.2,0.0
1.0,1.0,1.0,1.0,-43.26,-15.32,-4.15,6.22,70.38,55.38,12.34,31.21,-83.69,-10.27,256.67,-43.59,-2.23,95.75,11.28,-5.83,166.05,-125.75,0.0
1.0,1.0,1.0,1.0,-2.99,-49.89,16.14,-23.55,-36.83,38.47,0.77,-81.02,-141.49,-8.55,376.93,-53.55,8.0,143.55,132.4,-12.05,68.48,-214.46,2.0
0.0,1.0,0.0,1.0,32.94,26.77,8.6,-41.32,179.75,-6.42,-15.38,-229.7,28.43,-6.13,-217.89,21.69,9.04,2.6,-1.02,-11.45,178.79,-45.39,1.0
1.0,2.0,1.0,0.0,53.37,-193.85,-13.91,57.68,21.39,-54.23,-10.51,60.33,-67.4,20.03,0.62,-0.58,19.69,55.54,63.64,90.96,-71.1,-3.67,0.0
1.0,1.0,2.0,1.0,-10.48,-1.69,22.33,-10.6,-20.69,-68.59,-43.11,-94.86,-31.45,8.1,203.82,-14.03,11.22,-127.74,-58.62,67.56,146.8,-134.36,1.0
1.0,1.0,1.0,1.0,103.31,41.97,10.65,30.88,46.75,49.33,-12.39,-52.68,12.51,8.08,-94.48,3.22,8.27,5.5,112.91,-20.81,-133.8,246.09,1.0
1.0,1.0,0.0,2.0,-83.19,-68.91,-3.73,-19.27,-115.82,-103.07,-3.76,-59.49,-116.82,-2.11,242.19,-52.65,13.17,82.33,-225.86,65.9,84.04,-128.3,2.0
1.0,0.0,0.0,1.0,41.64,38.91,-51.17,-15.11,-37.03,-134.02,30.69,121.95,-95.37,7.44,-273.38,41.69,-14.79,99.58,68.07,2.15,157.51,-64.43,2.0
1.0,1.0,1.0,0.0,-64.12,-138.86,-6.52,-101.45,-77.35,-87.72,19.89,-145.14,-71.23,-0.4,-7.29,-57.34,-1.87,142.45,-49.61,6.31,-52.32,-172.61,2.0
1.0,0.0,1.0,1.0,-105.46,-55.7,16.28,20.68,35.13,20.82,9.36,-140.09,-104.15,1.5,-261.26,-12.72,-17.43,16.49,-15.47,-23.84,-47.34,-27.84,2.0
1.0,1.0,1.0,0.0,-43.76,-101.19,30.73,21.21,-110.95,28.04,2.33,-101.58,71.38,-0.98,206.4,-36.7,-1.91,78.69,65.6,-3.83,96.85,-237.63,2.0
1.0,1.0,1.0,1.0,-78.57,-87.42,-26.38,60.37,-22.97,24.49,17.95,-116.07,119.04,15.14,-169.48,23.33,9.17,-61.89,-72.45,6.88,63.78,-106.34,1.0
0.0,1.0,1.0,1.0,9.32,73.28,4.3,57.57,-95.77,79.84,-9.73,9.18,50.31,9.82,278.32,-43.78,16.95,-0.08,-49.48,-1.86,-35.32,129.62,1.0
