cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,target
1.0,2.0,2.0,46.37,105.58,359.53,-157.57,-15.68,-40.43,5.38,3.53,14.3,-308.95,30.79,-5.87,74.44,56.3,0.21,-72.13,-67.79,-127.98,-54.22,-4.82,42.66,-299.43,11.98,73.52,0.0
2.0,1.0,2.0,14.77,-88.4,34.81,-21.16,-2.36,-71.63,7.58,0.73,-29.79,80.72,-1.65,7.75,41.86,-28.92,6.99,6.53,-28.62,47.05,72.32,-3.65,-37.15,-16.13,-15.67,60.47,1.0
1.0,3.0,3.0,-41.01,-9.24,-24.85,83.31,8.38,-47.34,-5.1,0.79,-46.3,-208.88,-19.26,0.06,-26.91,1.98,-10.98,-62.64,-38.44,55.9,-84.99,-2.56,-68.03,-61.39,16.64,169.66,2.0
2.0,1.0,3.0,4.01,168.24,218.01,-25.1,-5.73,-71.36,5.81,-15.19,44.31,25.4,16.73,-0.12,-78.63,-5.19,8.67,-51.36,42.93,-68.94,266.7,-22.37,54.06,100.29,2.39,-53.14,0.0
2.0,2.0,3.0,41.64,32.86,170.46,-135.15,-2.92,-19.76,5.48,4.94,8.37,-151.59,39.92,-1.98,63.6,-101.36,0.45,-19.57,53.79,26.66,111.55,-2.88,-31.03,176.72,4.17,11.16,1.0
1.0,2.0,2.0,-45.53,95.69,5.51,-76.34,-2.01,8.91,-17.93,-15.13,-97.2,80.13,-25.11,-6.33,52.42,-22.12,-10.68,100.32,76.45,-56.26,-64.64,17.7,-12.65,-47.71,13.14,-154.91,0.0
2.0,1.0,2.0,121.59,-109.25,72.86,70.17,1.25,1.64,-4.37,4.87,-0.28,-53.83,-57.58,-2.6,-29.38,81.36,-16.98,-6.34,-10.71,17.94,101.2,73.36,1.11,54.88,7.28,2.49,1.0
2.0,2.0,2.0,27.5,-55.98,93.76,50.03,-21.88,42.45,-5.87,-2.44,-88.23,-174.67,69.28,-1.98,23.91,48.42,2.9,-70.88,-38.73,-2.08,-35.56,-68.52,20.57,-88.43,-1.03,-27.2,1.0
2.0,2.0,1.0,82.21,-182.72,69.76,86.01,-3.38,7.97,-1.51,1.16,-59.69,-46.11,-2.78,-0.14,-35.31,-32.2,-14.01,22.66,-35.22,-23.21,63.08,80.12,49.77,-13.13,-27.33,-20.86,2.0
2.0,2.0,3.0,-51.35,77.56,103.89,73.41,3.83,23.38,-0.59,0.89,70.11,-277.75,10.04,4.28,-67.34,2.54,-4.41,-188.95,59.12,18.19,-114.35,30.28,-26.59,-174.04,-24.02,-14.56,2.0
1.0,2.0,2.0,-64.29,33.95,7.36,-43.67,26.06,55.92,-9.45,6.32,-4.18,-74.51,-90.69,3.37,-71.02,65.29,1.56,-65.93,-3.32,-1.42,119.41,-14.84,-14.98,-93.75,-6.91,-91.92,1.0
1.0,3.0,3.0,58.93,78.65,-33.43,-115.45,15.59,79.02,1.6,-6.07,-8.13,-104.26,-12.14,-5.36,58.51,-151.11,4.23,-53.55,-26.24,108.89,73.02,12.43,15.09,232.27,16.85,139.43,0.0
2.0,1.0,3.0,-44.16,157.73,174.8,7.44,-14.3,-12.79,-6.25,-3.02,-38.66,-192.26,-125.77,-6.24,69.8,19.18,10.34,-68.63,-1.03,-29.04,16.04,-9.59,-1.35,-253.46,-18.71,42.75,0.0
2.0,3.0,1.0,-5.94,-97.81,89.21,-85.86,-2.51,-18.78,4.12,0.62,-88.98,-28.64,87.54,1.52,-28.38,25.06,-8.04,78.34,84.83,134.79,152.48,29.58,0.98,-3.69,-8.76,-127.56,0.0
2.0,3.0,3.0,33.01,92.31,345.67,-37.58,22.24,-12.87,-23.64,2.46,48.38,-281.75,-43.95,-2.82,-38.06,47.78,13.73,-44.64,36.05,-61.28,26.97,-98.58,-25.59,352.13,38.14,12.07,1.0
2.0,3.0,2.0,61.15,51.23,-190.32,-5.3,42.75,0.76,-5.46,-0.95,55.83,61.99,-44.09,-1.21,-60.91,-20.85,-21.24,41.95,-19.3,111.12,-60.61,-56.92,-29.11,-27.78,-29.07,202.98,1.0
2.0,3.0,2.0,-101.29,98.83,75.23,14.43,-20.27,-59.97,3.55,0.57,136.4,-54.98,2.46,1.16,-14.75,37.69,13.07,-31.53,-15.08,-103.61,-45.72,-14.81,12.61,104.43,6.64,-33.52,2.0
2.0,2.0,1.0,-62.99,-134.9,61.8,38.92,21.62,-46.76,-10.85,-2.63,-11.22,-15.72,50.39,12.26,-6.41,60.76,-0.68,28.35,-42.02,18.14,-96.28,-6.12,-75.79,-77.73,-26.61,-65.71,1.0
2.0,2.0,2.0,-15.08,3.09,-26.2,-70.02,35.66,-61.94,1.44,1.94,71.68,26.01,-19.09,2.48,-6.98,-86.9,-3.38,13.26,-36.34,10.43,-1.95,62.99,-9.2,1.82,-21.51,-40.51,0.0
1.0,2.0,1.0,12.71,-95.67,240.57,170.69,21.82,-39.98,0.4,-0.47,-5.38,7.81,-109.68,10.97,-32.8,63.38,-11.18,12.83,-49.12,-158.55,55.12,-124.41,-17.42,364.51,23.65,-14.64,1.0
2.0,2.0,3.0,47.12,118.88,96.68,37.54,12.75,87.77,0.3,1.93,-31.16,-70.42,-7.29,-5.77,-52.44,-58.56,-29.42,-18.49,-14.77,-31.68,79.04,9.21,21.3,-64.36,20.33,77.19,0.0
1.0,2.0,2.0,-19.65,71.16,181.25,-24.54,-26.54,63.76,4.11,2.23,-9.67,-44.51,21.36,-2.57,-16.28,26.81,6.66,27.82,25.09,5.35,-43.52,-51.04,1.0,-7.76,-37.89,22.38,0.0
2.0,1.0,2.0,-32.8,-144.86,-93.91,-93.28,23.58,101.24,9.62,2.39,-120.47,117.47,21.46,-2.07,-29.0,34.95,15.65,54.7,-1.58,9.69,-21.96,33.52,28.35,193.63,10.15,-206.17,2.0
2.0,1.0,3.0,-62.58,-163.93,-71.85,-7.68,-15.14,1.31,-10.5,3.13,36.27,45.81,-7.88,2.44,-135.85,44.96,15.34,-36.57,-18.74,-103.07,-42.06,-88.58,-12.82,423.76,3.91,69.5,0.0
2.0,2.0,3.0,19.12,-158.71,99.2,-37.03,-9.5,-15.1,13.81,4.94,-5.23,-298.2,12.78,-5.44,-6.31,50.65,3.27,-58.12,29.7,108.15,48.78,-11.79,-29.54,163.44,4.53,-82.28,1.0
3.0,2.0,2.0,11.89,29.73,204.96,-103.63,-33.98,53.82,-5.54,-11.5,-35.99,10.73,28.39,0.23,85.71,-5.4,14.34,37.53,-24.08,-148.1,-11.16,-74.36,31.54,181.51,1.25,34.04,2.0
2.0,2.0,2.0,-4.39,-63.77,-237.46,15.13,-5.72,14.66,0.56,-10.65,-2.78,240.15,3.8,8.55,62.37,29.77,-2.66,-44.66,22.37,106.52,-117.22,66.39,28.34,85.75,30.22,-66.58,2.0
2.0,1.0,2.0,-0.24,101.78,226.27,98.79,-10.87,89.17,-0.3,-4.42,54.29,20.54,35.36,-1.53,-50.81,14.61,-11.77,-8.39,-29.31,10.98,187.26,-24.98,51.01,216.03,-34.92,15.98,0.0
2.0,3.0,2.0,-86.23,13.51,247.48,11.88,-30.59,43.81,-0.84,5.82,20.67,-254.32,83.61,5.01,-70.28,-25.35,5.8,-132.18,-28.33,-15.07,114.39,28.97,2.99,321.25,-24.57,10.54,2.0
2.0,2.0,0.0,-47.03,-84.82,277.18,77.05,-11.04,-67.65,-1.21,4.43,39.04,75.32,92.57,5.41,56.41,26.34,-16.05,171.49,-8.38,-13.64,-0.17,-81.79,12.97,-287.74,14.29,34.56,0.0
