cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
2.0,2.0,-8.19,130.22,22.23,-3.46,147.26,32.58,1.25,16.49,-4.04,-46.08,-56.08,56.12,1.11,106.32,267.25,0.17,-77.12,31.14,-24.78,-2.5,2.0
3.0,3.0,73.06,128.79,14.97,-76.36,19.06,-17.08,-8.07,-47.66,-20.69,198.23,-14.6,397.58,-2.16,-355.94,514.1,17.33,-176.1,-34.18,-25.54,16.08,0.0
2.0,2.0,-27.93,-52.66,41.65,146.46,-81.77,11.03,-0.13,-21.06,5.71,-3.32,-36.8,-140.45,-4.57,83.38,-212.71,1.35,-10.76,55.37,0.82,-104.29,1.0
2.0,2.0,2.3,107.88,-0.59,-114.45,8.91,105.51,0.74,14.54,6.88,17.37,41.29,-0.04,0.01,48.94,-223.21,39.92,98.37,-27.42,-26.09,-21.91,2.0
3.0,3.0,6.33,-12.86,-0.81,-68.41,-225.37,-12.93,7.57,119.78,4.3,395.11,54.49,293.06,4.56,-181.39,-180.94,12.4,132.86,10.39,1.2,32.74,2.0
2.0,1.0,59.33,-89.55,-35.0,-67.98,66.13,-88.71,0.09,-33.99,-2.24,343.3,-8.19,-141.95,2.09,254.24,-120.9,-34.96,-70.3,-3.53,-10.79,-75.71,0.0
3.0,2.0,37.78,-11.33,-47.45,35.72,40.67,23.14,1.96,-2.02,8.59,-134.51,25.86,20.01,-4.69,-221.66,262.02,9.18,155.78,-9.39,-105.07,-8.96,2.0
3.0,2.0,60.49,-84.26,-9.7,-101.37,35.33,11.83,-5.86,-18.14,-5.8,289.01,-69.13,39.6,1.04,-45.23,61.48,-17.8,-53.24,19.08,69.43,-113.1,0.0
2.0,1.0,-34.75,-68.71,-30.29,-73.71,88.89,3.48,0.55,96.53,-12.93,-15.76,-46.25,16.57,3.46,162.47,296.69,-17.29,-133.31,83.16,13.9,60.77,0.0
4.0,2.0,-1.56,175.36,-90.85,-42.94,-108.93,-16.1,-2.98,81.06,-10.4,312.01,35.02,-60.55,-4.45,-221.18,4.79,-27.87,44.3,28.93,65.23,56.27,1.0
