cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
2.0,1.0,2.0,2.0,-59.56,29.88,147.88,-21.41,-85.7,-45.64,-23.75,-7.71,16.54,-25.85,11.58,-0.45,12.52,107.43,147.17,70.4,-303.42,-106.56,-19.07,119.72,43.05,-9.4,-26.83,0.0
1.0,1.0,2.0,2.0,-64.35,20.58,43.75,96.83,25.47,26.82,-41.41,1.15,21.75,144.11,36.82,-155.13,35.59,47.83,-79.79,13.22,177.31,-186.72,-0.89,146.48,36.25,67.7,-62.73,1.0
1.0,1.0,2.0,2.0,300.5,-17.15,80.41,-26.8,0.69,-66.09,55.77,3.94,-18.87,-77.07,23.73,-55.59,-0.28,-55.55,-35.21,152.09,151.32,33.72,-10.75,-187.33,72.14,116.19,-14.48,1.0
2.0,1.0,1.0,1.0,25.7,-33.89,-17.11,183.91,-20.54,17.52,48.84,1.03,9.4,-91.49,-3.09,-19.02,26.39,5.08,51.28,20.84,-41.95,-2.3,152.96,-57.08,23.03,124.26,36.05,0.0
2.0,2.0,1.0,1.0,-13.29,-4.57,-31.61,-29.97,-83.46,37.92,9.87,10.06,16.83,-140.87,13.71,-65.57,22.09,-69.76,-20.28,-46.38,83.27,-14.34,75.13,-163.98,-145.57,-184.69,6.75,0.0
2.0,1.0,2.0,2.0,27.6,9.93,-27.05,175.11,-43.23,24.08,11.77,-1.72,10.8,-105.43,13.35,112.6,14.9,47.52,23.9,27.16,-198.03,-100.63,7.71,-82.09,-79.03,13.55,57.98,0.0
2.0,2.0,1.0,1.0,-179.64,9.97,-138.15,-179.29,-10.56,-32.31,19.78,0.67,42.22,-67.28,17.49,-9.42,21.09,90.02,11.03,22.14,-6.14,58.49,120.99,-95.0,-68.22,115.91,-22.96,0.0
2.0,1.0,2.0,2.0,-134.51,18.81,114.62,74.27,-8.56,15.65,-21.09,-1.45,43.63,-141.98,-16.8,77.8,21.24,168.23,12.84,-56.08,239.63,172.14,12.29,153.23,-17.73,-103.83,-19.04,1.0
2.0,1.0,2.0,1.0,-129.76,-12.36,25.96,-198.73,-104.92,-13.23,3.14,19.19,29.12,217.67,1.59,120.63,-25.78,195.02,99.03,-51.02,-28.74,142.62,-67.18,-139.97,-155.83,17.15,15.98,0.0
1.0,1.0,2.0,1.0,112.77,21.89,4.85,176.72,108.78,-4.89,-21.16,8.37,0.81,46.87,11.73,87.61,28.16,159.77,42.46,-26.74,142.03,-7.5,-58.48,106.84,-3.29,60.55,4.2,1.0
2.0,2.0,1.0,1.0,-68.86,7.63,91.49,-78.5,-83.17,-26.91,-18.17,18.92,-19.77,45.38,4.38,-54.55,-9.62,15.92,50.53,-15.62,111.29,60.66,48.84,-208.47,-55.07,-45.43,93.7,0.0
2.0,1.0,1.0,1.0,100.75,13.64,5.92,170.33,-25.21,-41.02,18.34,6.98,-25.4,38.83,2.8,-95.63,7.22,122.5,96.02,48.19,-122.35,-88.81,124.6,83.98,-27.73,-3.65,-23.13,0.0
2.0,2.0,1.0,1.0,-238.41,22.95,-113.87,105.06,53.2,-18.49,7.49,9.56,28.73,14.85,9.89,-195.15,21.75,-30.23,68.21,80.9,59.43,-248.63,-13.86,99.17,-142.84,-63.38,-31.07,1.0
2.0,1.0,1.0,1.0,44.85,5.09,-138.79,94.5,21.15,-59.59,5.76,13.68,-0.12,8.25,1.03,86.77,41.18,64.43,131.95,-63.68,-63.84,-113.25,-45.22,61.39,31.42,134.43,-22.82,0.0
2.0,1.0,1.0,2.0,-282.96,6.72,171.13,-256.72,40.01,-23.39,-8.47,-5.08,-22.58,13.32,3.61,-81.87,52.33,-166.43,-21.24,35.09,-166.03,34.4,125.7,-18.66,-155.15,63.63,32.38,0.0
1.0,1.0,2.0,1.0,82.11,26.0,8.34,161.97,50.27,-4.96,-24.99,14.42,-44.25,-61.67,20.64,39.07,42.16,31.44,-53.65,-0.3,235.04,-31.92,-5.6,58.02,-18.09,-77.12,73.97,1.0
2.0,2.0,1.0,1.0,-32.32,12.54,118.81,136.43,27.46,29.11,16.02,8.38,5.65,-107.63,18.06,68.55,32.03,-74.15,-54.29,105.19,26.41,-35.67,13.89,-52.68,-2.39,-54.36,9.0,1.0
1.0,1.0,2.0,2.0,-27.94,-17.38,41.08,159.88,-1.53,-30.61,1.26,-1.77,11.86,120.73,37.83,-35.23,22.08,-7.95,-15.9,-58.31,255.04,-19.69,-19.63,165.11,-48.03,27.81,-49.13,1.0
3.0,2.0,3.0,2.0,-294.41,-18.96,-62.42,211.87,-63.45,20.37,22.73,-9.8,-10.91,47.89,-21.91,24.27,47.47,-122.84,40.14,-50.95,12.66,25.71,-31.52,-68.92,-35.32,61.95,-33.21,0.0
1.0,2.0,1.0,1.0,53.94,-40.77,6.57,115.59,47.66,50.82,0.03,-1.81,-9.72,83.05,-3.58,178.04,25.24,-123.11,33.02,-49.46,-101.64,-138.75,-17.65,-121.37,57.67,75.43,-22.78,1.0
2.0,1.0,2.0,2.0,-178.62,59.38,-43.33,-66.76,55.68,10.89,-16.31,9.52,-33.53,-133.3,43.53,54.96,18.14,-92.44,172.73,-82.57,139.22,-67.58,-66.89,-69.3,7.45,10.21,4.37,0.0
2.0,2.0,3.0,2.0,-365.0,2.08,102.8,-44.47,-23.15,-11.14,20.9,7.12,-20.73,129.48,22.54,86.34,45.64,-46.19,-42.76,-10.38,95.7,5.55,40.18,-74.34,53.43,14.45,33.86,0.0
1.0,2.0,1.0,1.0,3.19,-20.18,62.03,-54.98,-44.6,-2.82,79.03,8.67,15.37,-212.91,-35.68,71.37,-9.34,49.33,-69.23,102.23,175.69,-15.29,-43.1,-123.56,-3.34,33.6,-1.83,1.0
1.0,1.0,2.0,2.0,178.45,0.69,-64.57,175.97,-3.53,62.7,-73.49,-3.84,18.78,150.36,-24.9,98.95,-10.6,-1.18,-78.49,-45.67,-160.74,-39.54,-3.91,62.99,-84.89,-90.98,10.87,0.0
1.0,1.0,1.0,1.0,206.09,24.98,84.77,243.05,25.25,-10.14,105.4,15.7,7.7,184.62,-13.77,152.9,49.78,-67.14,-83.29,83.9,214.1,-114.38,30.85,-25.13,38.91,-0.18,6.82,1.0
1.0,2.0,2.0,1.0,-51.98,26.78,-54.78,-66.54,14.93,-70.17,2.31,13.04,-10.68,-7.68,-12.13,129.46,-21.19,112.97,51.23,-93.37,130.72,-84.39,-89.16,-27.07,-92.93,39.2,3.76,1.0
2.0,1.0,1.0,2.0,-337.74,5.88,15.44,-58.32,-32.71,17.86,21.72,8.34,-13.57,-20.84,3.86,-45.8,8.78,195.21,-1.64,51.34,-213.16,2.67,58.22,177.27,-50.26,-96.46,-5.36,0.0
0.0,1.0,1.0,1.0,254.25,-4.12,-65.38,236.03,56.89,8.77,-10.21,17.38,26.15,99.8,10.89,106.66,40.21,-118.35,-32.58,103.17,190.62,1.8,27.39,72.81,-73.32,-18.44,3.0,1.0
1.0,2.0,2.0,1.0,11.66,-10.69,-54.1,169.39,1.46,4.99,-13.03,2.59,22.66,103.02,-9.41,9.12,26.83,-24.12,46.77,-107.58,-160.83,-82.18,-51.27,-74.59,57.31,17.99,-33.2,1.0
1.0,2.0,2.0,1.0,122.92,-17.43,15.14,5.35,-0.96,-6.43,53.96,-1.78,-0.73,54.3,-24.17,-93.23,37.97,139.42,-106.76,-26.95,-178.85,-6.88,-67.41,-132.26,21.28,53.73,-18.84,1.0
1.0,1.0,2.0,2.0,39.11,-21.25,-25.57,228.31,16.44,-10.99,6.91,2.45,22.08,34.91,-8.45,-94.54,49.84,61.41,26.13,19.58,373.14,-49.08,-4.2,142.28,-48.35,93.31,15.29,1.0
2.0,1.0,2.0,2.0,-69.32,-3.44,46.22,38.52,-0.14,-72.71,7.71,3.11,-16.83,-177.37,39.38,97.02,22.04,180.06,15.77,-47.92,114.87,107.95,-61.68,19.74,-71.49,-85.24,-32.37,1.0
2.0,2.0,2.0,2.0,-543.39,35.84,-77.57,-161.67,-25.18,22.98,32.09,2.11,23.83,38.11,19.3,-163.7,41.35,23.75,-49.53,-107.45,145.94,-66.77,27.74,44.31,83.98,6.26,93.23,0.0
1.0,1.0,1.0,1.0,45.34,23.54,27.42,166.43,33.21,-41.84,-69.42,9.01,25.17,125.06,-14.83,-14.83,42.11,-16.86,12.8,-15.75,338.48,-6.3,-88.86,48.03,-48.28,-20.87,-24.89,1.0
1.0,2.0,1.0,1.0,-48.15,19.31,66.82,74.76,-46.42,3.4,30.6,-0.33,3.54,-80.25,13.98,134.16,3.65,42.82,-80.92,66.63,-97.4,-60.79,-6.05,31.84,33.08,39.61,6.72,1.0
1.0,1.0,1.0,1.0,59.46,11.34,-8.2,12.77,49.0,-7.8,0.34,3.04,5.8,-38.5,-30.91,-84.53,38.31,-7.29,-167.26,116.88,-209.74,90.2,8.86,-67.37,28.86,67.55,-99.2,1.0
2.0,1.0,2.0,2.0,-157.44,-7.33,-98.28,-108.85,80.37,16.35,48.38,8.23,-33.19,-76.03,5.61,-148.83,30.25,147.3,-59.99,52.75,122.9,-129.66,10.11,-100.67,51.01,-51.07,-83.23,1.0
2.0,2.0,1.0,1.0,-88.14,6.45,-39.12,217.51,11.96,-26.1,-53.61,19.22,-4.55,-96.61,1.88,1.38,31.08,-183.48,1.34,-7.47,-302.81,116.02,5.16,11.76,-103.61,-41.67,6.61,1.0
2.0,2.0,2.0,1.0,-188.6,2.89,-46.92,15.58,23.2,32.65,39.21,7.96,27.44,128.8,-42.09,-36.74,47.84,117.21,4.84,-103.33,112.8,-71.25,-96.08,-156.04,8.66,-16.35,-8.36,0.0
1.0,0.0,1.0,2.0,109.91,-15.62,84.06,54.35,-36.37,40.31,2.86,14.11,56.57,119.28,70.99,-159.18,-32.21,155.22,-113.2,-69.14,-97.93,147.5,19.64,245.82,107.73,23.09,-1.48,1.0
1.0,1.0,1.0,1.0,202.66,9.91,-69.21,232.49,1.62,6.78,-34.22,18.87,12.57,-165.91,-14.16,-31.37,43.99,-42.38,-20.46,21.99,325.81,-17.59,58.29,-59.38,117.16,-189.63,-33.95,1.0
1.0,1.0,2.0,2.0,24.33,-0.27,-6.29,47.26,-64.58,37.59,45.82,-0.69,-18.55,-35.85,-13.36,133.68,-2.1,31.25,-80.74,46.21,-10.61,-71.47,-16.44,163.14,22.03,-23.63,-36.36,0.0
