cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,target
2.0,2.0,2.0,-116.19,-66.86,55.92,17.78,-13.82,110.08,-59.57,-21.37,-99.65,32.96,-16.48,113.67,4.18,-64.77,-14.52,26.25,1.0
2.0,1.0,2.0,175.39,159.15,42.63,-57.2,18.26,93.15,-26.13,33.05,-21.16,-38.34,47.54,434.29,52.24,-3.86,-136.29,69.51,1.0
2.0,0.0,2.0,-73.33,-343.5,-115.6,36.92,-29.56,129.35,-16.92,61.89,176.93,51.52,63.02,-46.77,120.97,2.57,-50.16,-36.83,1.0
2.0,4.0,3.0,-61.5,367.19,84.41,-85.87,30.98,249.17,18.38,-57.66,244.99,46.26,-8.01,-86.09,55.36,-54.25,11.46,-49.49,0.0
1.0,1.0,3.0,-175.79,-95.51,-128.67,-33.26,13.28,307.97,-114.66,32.94,-87.36,-114.83,27.59,66.85,63.16,-19.85,37.23,-15.42,1.0
2.0,1.0,2.0,73.5,165.19,64.86,149.73,54.71,-120.81,-104.28,-38.86,-9.75,15.96,-5.33,410.41,19.7,-7.17,28.31,113.45,0.0
2.0,3.0,0.0,54.66,154.57,-89.87,-22.54,-37.99,110.36,24.57,51.24,65.04,32.65,-73.7,-469.07,-0.72,160.41,-25.9,-135.42,0.0
2.0,2.0,2.0,24.0,95.22,2.8,30.34,3.52,33.48,28.35,-81.5,47.85,46.53,-25.0,-2.92,-37.95,-0.88,66.01,2.14,1.0
2.0,2.0,3.0,125.86,125.01,-51.95,-136.55,-18.98,79.55,-30.03,-7.11,-126.62,9.78,-12.32,80.73,7.83,125.3,-113.55,1.83,1.0
2.0,4.0,2.0,44.68,186.35,-14.75,-17.35,41.11,196.37,30.26,-16.21,-78.27,83.57,-29.32,-237.87,41.89,-41.72,-5.93,-83.3,0.0
3.0,2.0,3.0,-62.22,-414.78,-19.84,21.99,-39.7,-34.74,-6.6,-21.0,305.68,-12.17,42.36,-453.54,12.43,-88.67,-181.3,-104.23,1.0
2.0,2.0,2.0,11.18,56.87,56.57,41.49,17.11,114.4,10.93,17.5,-101.32,40.77,-39.46,135.27,12.09,-4.1,4.99,16.6,0.0
