cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,num_24,num_25,target
1.0,2.0,-39.08,-16.47,-31.02,-326.37,-47.23,-120.48,-66.73,-94.96,21.39,8.39,-193.26,-35.57,-10.96,43.91,-39.13,16.2,2.96,3.56,-40.9,24.11,43.52,200.88,31.76,-13.43,-25.57,-238.63,1.0
3.0,1.0,80.18,37.42,-31.16,-123.6,30.39,-70.72,-88.14,-21.98,51.95,7.31,-152.89,-18.98,-44.3,37.89,7.56,43.47,-1.68,3.98,5.24,11.56,25.75,-84.23,-18.31,-14.26,-19.31,-151.59,0.0
2.0,2.0,75.51,-31.5,8.33,-79.46,20.49,39.94,82.48,-88.31,-18.58,-9.72,71.82,18.82,97.97,-44.61,24.18,1.65,0.59,0.12,-13.33,-13.72,30.34,-44.94,-33.28,-28.99,31.44,-83.3,1.0
2.0,2.0,87.41,-45.66,-9.89,-74.44,17.36,-14.88,-85.01,100.12,-8.43,2.06,24.27,-18.84,-67.86,-29.7,-30.69,-27.74,1.72,5.51,33.75,-5.41,-7.28,-51.82,-84.04,-10.23,-2.92,-32.3,0.0
3.0,2.0,-74.72,71.69,-16.92,138.75,26.42,-61.0,1.02,-55.96,-18.89,9.65,-117.36,-19.61,11.35,35.43,-5.35,26.35,-3.97,1.17,-48.24,10.53,29.61,-129.44,-21.33,7.97,-37.34,-31.94,0.0
1.0,1.0,-84.75,-66.34,-144.56,-409.9,22.13,-64.76,48.16,-47.88,0.51,9.45,105.37,-10.92,83.26,-95.62,9.45,21.95,0.73,0.67,-78.56,-1.22,175.76,-17.84,-81.18,-46.32,-13.48,-30.18,1.0
2.0,3.0,88.11,-97.82,-21.34,99.98,2.21,141.32,-171.15,-44.57,-30.48,11.08,-12.46,15.68,-19.9,-78.99,-22.83,35.66,2.81,2.68,-24.31,13.24,9.27,-61.28,42.42,-42.24,46.27,-35.91,1.0
1.0,2.0,-71.51,-82.28,-148.25,-119.28,-31.28,50.09,91.34,233.77,5.58,0.45,56.22,10.29,-2.13,-53.55,-33.77,-2.31,-0.23,0.09,57.11,9.9,38.13,20.44,-160.62,-2.87,-6.6,146.35,0.0
2.0,1.0,-24.75,66.95,-51.37,-360.06,55.66,-26.8,-78.05,53.9,37.36,7.25,18.17,1.35,22.21,0.11,-20.12,-3.88,2.98,-1.26,-0.08,22.07,21.15,-142.43,3.69,-60.66,-3.65,-191.98,0.0
2.0,2.0,80.34,-68.81,-86.53,-183.5,51.11,-10.33,-87.52,88.44,-6.36,1.61,88.0,27.89,20.48,25.79,11.38,-120.04,2.34,5.16,67.31,4.22,4.14,-23.18,-110.03,47.5,12.16,137.63,0.0
2.0,3.0,15.12,-131.47,-17.12,21.83,13.32,32.06,95.61,-39.95,33.87,-1.44,-65.24,-33.05,43.11,-2.87,-23.99,-61.25,-3.37,-7.8,-14.81,0.69,5.4,56.04,42.28,-0.32,22.03,199.35,0.0
2.0,3.0,-46.71,-120.68,-35.23,6.45,54.62,23.26,-174.88,-103.23,-0.22,-5.67,8.87,-6.33,-3.1,49.3,-25.46,-148.1,-1.99,-1.01,43.79,-5.78,-8.25,71.55,-73.34,56.08,-24.88,81.8,0.0
2.0,2.0,180.81,-34.47,-74.61,-137.41,23.6,75.14,-27.23,30.08,82.19,1.3,-126.13,11.13,-91.87,23.66,10.26,-43.8,-0.98,-3.31,18.67,-3.94,29.37,-26.2,-123.89,17.78,27.26,82.25,0.0
2.0,1.0,-83.68,41.64,-59.71,-318.69,6.43,15.03,75.13,-35.74,23.75,-4.39,50.95,4.86,-15.32,-5.74,41.4,-11.58,-4.43,5.79,-5.06,20.95,47.16,-23.18,-91.94,-58.62,45.23,-353.18,0.0
2.0,2.0,22.94,-72.44,-5.47,75.71,12.33,54.51,-143.38,43.63,72.38,-0.73,9.1,24.66,-7.58,-33.09,23.79,14.09,-1.38,2.47,5.09,15.64,-12.04,-21.79,49.28,30.29,31.64,-57.32,1.0
