cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,num_24,num_25,target
2.0,2.0,2.0,-19.15,3.54,25.62,-3.57,3.87,-8.39,102.34,138.78,13.86,-38.32,99.15,77.32,-11.89,-89.71,-187.0,90.06,358.09,-197.82,-0.35,112.9,-13.52,-0.91,79.53,-13.97,-121.6,5.98,1.0
2.0,2.0,1.0,78.84,2.12,4.14,-0.56,-19.55,63.39,-25.76,132.5,-4.8,-0.5,-17.17,63.73,-7.92,52.35,-192.75,-196.67,-93.6,67.31,0.75,-110.83,-58.12,10.82,-38.06,8.45,-97.93,-5.49,0.0
2.0,1.0,2.0,10.57,-4.62,-40.82,-3.91,24.85,-41.81,72.86,98.85,0.26,45.74,365.69,-2.95,-7.21,-142.07,122.12,-208.53,280.93,-183.39,-2.08,-120.39,32.09,116.56,-69.6,-11.3,-166.46,2.1,0.0
3.0,1.0,2.0,63.89,2.58,10.6,1.62,4.7,-26.54,16.23,27.32,-3.64,0.58,-51.88,-3.47,-25.29,118.96,-89.93,-75.84,-336.64,141.95,-0.79,-22.2,11.45,1.68,-42.65,9.34,-50.09,6.76,1.0
2.0,2.0,2.0,25.09,-4.82,20.33,9.49,-19.9,25.97,-76.35,-76.08,2.81,-23.71,-48.32,-16.44,-14.76,146.32,-25.44,-77.41,-608.83,190.0,-0.99,-145.59,-24.63,92.38,29.24,-26.8,-88.36,9.27,0.0
2.0,1.0,2.0,64.56,2.74,-30.9,-1.88,-9.25,-90.04,-33.15,-43.35,2.55,-59.48,-16.8,-66.02,17.83,-8.39,-21.9,82.28,20.33,-26.03,0.36,-115.11,-3.59,46.87,47.66,12.45,133.96,7.19,0.0
1.0,2.0,1.0,-24.54,9.87,118.12,-3.56,-20.17,-79.23,3.36,-120.22,8.24,23.72,21.09,-78.44,-12.75,57.29,-60.4,162.37,-84.21,14.18,-3.09,-61.69,26.33,17.59,-38.99,47.19,17.18,4.02,1.0
1.0,1.0,1.0,113.75,1.49,-47.9,15.1,-11.03,28.35,81.29,64.85,4.22,19.48,-318.29,-28.53,-20.85,278.95,73.47,98.49,-1010.26,301.27,1.66,74.91,66.93,-108.72,83.98,-6.99,-1.2,-4.26,0.0
1.0,2.0,0.0,-22.75,-0.34,80.28,-6.98,26.91,-27.21,-38.64,-121.76,1.54,20.53,121.76,28.05,7.68,-168.09,-16.82,-103.57,577.03,-137.76,0.94,88.66,-21.3,35.34,-71.44,-32.23,97.68,13.79,1.0
2.0,2.0,3.0,-61.94,0.62,-50.01,-2.36,16.38,-56.98,-161.8,189.62,-0.71,-111.48,106.12,-77.5,-20.07,-61.11,-122.38,133.6,194.47,-114.32,1.93,101.41,17.67,31.02,-126.46,39.31,-103.35,-1.68,1.0
