cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,target
1.0,1.0,1.0,6.97,-99.72,4.32,-21.36,106.62,8.35,-81.37,111.37,-29.6,12.5,46.43,-0.17,-104.28,-81.4,11.48,-7.51,3.77,36.79,-22.45,22.45,-4.83,38.83,0.0
1.0,1.0,2.0,7.11,49.37,7.11,81.01,-117.49,-33.51,93.94,-40.79,-70.89,63.74,40.34,6.56,71.88,-19.81,9.75,49.3,28.71,97.93,-104.58,-76.88,8.11,-156.06,0.0
2.0,2.0,1.0,-5.08,-113.53,2.27,-43.77,-14.59,4.0,127.12,-83.68,102.43,5.21,39.44,-0.36,13.87,-28.16,-12.14,29.49,70.64,-5.27,26.57,47.77,0.06,88.77,0.0
3.0,3.0,2.0,6.74,129.88,-7.16,27.3,58.15,82.52,144.73,-66.13,25.42,-103.66,-19.96,6.37,92.77,168.88,-4.75,73.36,36.22,-120.91,31.77,-6.01,13.13,43.32,0.0
1.0,2.0,3.0,18.93,94.23,4.67,-94.95,-56.02,38.87,93.73,-140.8,-154.5,-71.78,8.53,-29.98,-6.67,-43.07,-9.06,-46.01,-24.97,29.3,-7.51,-28.6,23.91,-39.61,0.0
3.0,2.0,2.0,-12.16,105.54,-6.85,98.4,-56.47,51.18,-22.1,17.83,19.98,-132.97,-32.76,2.0,-6.68,123.46,10.53,-19.32,-19.21,-44.4,-70.83,65.33,-21.22,0.33,1.0
1.0,3.0,1.0,10.21,156.27,-4.42,14.93,12.49,23.43,-221.6,56.04,163.62,-46.38,17.22,-14.3,42.43,78.41,-9.89,-38.14,-21.16,-80.16,-147.48,-42.99,11.13,-96.21,1.0
2.0,3.0,3.0,7.55,102.01,1.42,47.75,-161.11,-84.94,66.35,104.55,-76.7,97.86,-71.06,-16.55,43.23,-100.99,-18.61,80.95,9.65,-12.1,-29.52,-21.94,-2.26,138.69,1.0
0.0,2.0,2.0,14.52,309.79,21.06,24.79,-62.28,-12.55,118.15,8.87,-68.6,-99.16,0.69,-14.62,134.58,43.44,-0.93,56.91,1.48,36.36,28.8,20.13,10.53,-198.28,0.0
3.0,1.0,2.0,7.07,-14.51,-5.24,-18.2,-25.81,-64.01,53.7,37.8,-35.06,66.77,106.04,-39.79,71.6,119.03,2.87,41.26,-64.49,-11.23,-8.35,28.25,35.9,-58.62,1.0
2.0,2.0,2.0,12.89,-27.83,-5.43,-61.53,104.73,-47.6,78.31,106.38,-92.6,68.52,-39.5,-15.51,176.55,-48.01,-11.03,-42.43,-7.91,-44.27,-36.94,64.23,13.03,89.88,0.0
2.0,2.0,2.0,21.4,34.41,1.84,-12.22,33.44,-85.13,105.0,15.64,-111.73,81.44,115.76,-16.51,45.24,8.79,-10.01,18.66,-27.79,-27.83,12.45,-25.85,-9.7,-66.9,0.0
2.0,3.0,3.0,15.07,379.38,-4.6,38.41,-53.28,-64.43,155.54,74.97,-268.28,-126.24,52.43,0.08,62.03,44.52,2.02,-12.85,-15.84,44.56,-2.28,-38.53,-3.96,-28.93,0.0
2.0,2.0,2.0,-0.41,145.7,15.25,18.99,23.84,82.05,-36.88,0.33,-133.99,43.86,-14.77,-15.93,7.36,-17.58,-15.72,124.29,-21.9,-19.53,4.47,-69.77,21.23,60.08,1.0
2.0,3.0,3.0,-2.55,209.52,1.28,-61.34,-47.52,117.49,88.61,-119.17,-262.0,74.63,141.81,24.57,26.19,52.02,0.4,37.79,38.71,-5.9,51.11,-89.63,36.14,-147.78,0.0
2.0,1.0,1.0,-7.48,44.81,3.66,-31.97,-33.05,51.91,0.1,40.04,78.25,-104.91,7.98,36.01,-9.47,32.59,6.52,-23.44,21.31,4.66,17.39,1.71,-7.18,-31.45,0.0
