cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,target
1.0,1.0,2.0,2.0,172.99,21.42,-161.62,-158.34,-13.05,76.37,280.02,112.42,12.43,47.64,-67.51,4.25,0.0
1.0,2.0,1.0,3.0,-344.15,-39.3,20.48,155.41,41.56,63.49,-129.47,126.45,-49.09,16.49,17.49,-94.3,1.0
2.0,1.0,2.0,2.0,-110.49,-15.19,204.3,141.92,-3.05,-83.81,-156.23,-135.35,-29.61,-7.31,-81.12,52.41,2.0
1.0,2.0,1.0,2.0,-152.64,4.25,41.05,54.44,-35.01,-57.33,78.88,-196.9,114.38,63.2,-7.14,20.4,0.0
2.0,2.0,1.0,2.0,-49.12,-4.18,150.11,2.75,46.56,3.54,88.8,-62.45,21.73,119.86,-4.53,135.69,2.0
2.0,1.0,1.0,1.0,-26.15,-19.14,41.55,75.3,43.81,49.8,129.14,-141.2,157.09,20.16,-54.5,-116.16,1.0
2.0,2.0,0.0,2.0,-63.96,-4.29,85.33,15.34,27.15,-63.74,104.01,6.32,-64.65,154.29,30.72,58.92,2.0
2.0,2.0,0.0,1.0,348.6,32.42,-155.41,-77.53,-51.46,-110.41,334.09,92.09,-124.64,164.89,-4.87,-40.2,0.0
2.0,1.0,1.0,1.0,489.11,45.06,-410.73,129.74,28.46,-73.37,-200.53,115.87,179.19,2.34,-49.33,-30.2,2.0
2.0,2.0,1.0,1.0,128.85,9.76,151.29,-163.41,-0.31,-39.03,-19.1,-119.73,-32.44,207.16,-90.11,80.06,0.0
1.0,2.0,3.0,2.0,-55.19,3.03,-184.13,310.58,-58.68,94.3,247.05,-36.77,258.06,26.79,57.83,-6.14,1.0
1.0,1.0,2.0,1.0,-169.19,-1.96,-78.84,182.04,-28.2,1.37,85.08,-23.69,140.0,21.29,-19.35,28.37,1.0
2.0,3.0,0.0,2.0,41.2,-3.84,-82.92,54.56,12.39,-149.38,78.09,39.31,89.79,71.28,-24.69,-42.7,1.0
1.0,1.0,2.0,2.0,-99.92,8.68,-18.63,67.85,28.05,-139.92,48.16,-70.96,70.79,145.84,-17.37,62.74,2.0
1.0,2.0,0.0,2.0,-354.19,-5.63,86.26,-87.33,19.08,-21.03,-64.75,-102.1,94.74,123.48,-10.18,102.32,2.0
1.0,2.0,2.0,2.0,-2.63,-7.34,-70.99,98.67,-19.38,-64.9,143.78,-72.24,137.02,68.31,-15.03,-117.26,1.0
2.0,2.0,2.0,1.0,-160.35,-19.96,-11.99,146.86,-41.18,65.97,-227.32,114.73,-19.88,15.82,-22.35,-11.59,1.0
2.0,2.0,2.0,2.0,228.29,40.38,-511.85,245.49,-20.09,-15.39,-447.57,398.44,78.33,88.17,42.49,95.84,2.0
1.0,2.0,1.0,1.0,-173.15,27.07,-323.38,164.16,1.68,-35.4,-235.37,184.99,130.32,29.25,-9.0,142.06,2.0
2.0,2.0,1.0,1.0,328.26,11.86,54.55,-422.74,-1.99,-17.07,31.11,64.4,-73.28,159.12,-19.36,20.56,0.0
1.0,1.0,1.0,1.0,-210.88,-18.52,99.64,185.15,43.22,-30.61,166.92,-179.22,92.54,-2.22,-42.37,-47.85,1.0
1.0,2.0,1.0,1.0,-396.41,-2.21,175.29,-96.85,13.56,-62.55,-65.73,-348.96,233.3,-3.06,33.82,110.55,0.0
2.0,2.0,1.0,2.0,45.11,-5.03,-13.86,96.47,-17.58,75.59,90.51,8.24,-80.77,202.22,49.62,-104.91,1.0
1.0,2.0,1.0,2.0,117.86,29.58,-330.81,58.53,1.25,-49.37,-218.59,265.54,44.69,141.09,-82.34,80.58,2.0
1.0,2.0,1.0,2.0,363.72,4.19,-348.2,-90.94,-40.87,-94.9,-70.37,26.1,341.95,-179.66,29.98,-281.28,1.0
2.0,0.0,2.0,2.0,-187.56,-0.98,48.96,12.76,16.59,23.78,-179.67,-68.08,86.06,72.84,-31.03,100.64,2.0
2.0,2.0,1.0,3.0,-143.36,-6.43,11.04,235.04,-1.01,21.55,140.58,-17.21,6.44,73.59,-51.68,29.95,1.0
2.0,0.0,2.0,1.0,187.2,-19.86,-23.57,142.42,12.64,-49.43,419.72,-143.11,254.11,-27.24,-108.52,-184.43,1.0
1.0,2.0,1.0,2.0,-371.89,-43.73,55.52,108.43,51.83,-139.97,-36.59,207.58,-54.06,-143.94,44.79,-5.69,1.0
1.0,2.0,1.0,2.0,-116.65,-2.34,-74.6,200.28,4.37,-118.95,202.71,-58.17,141.64,26.95,0.65,-13.1,1.0
2.0,1.0,1.0,2.0,239.65,12.97,-187.35,226.92,76.94,-53.43,-204.07,79.86,122.46,-91.25,12.14,11.65,1.0
2.0,1.0,2.0,0.0,-29.23,-16.76,85.33,124.86,97.94,118.94,132.84,-54.11,61.96,62.35,17.53,-3.02,1.0
2.0,1.0,0.0,2.0,311.94,-29.25,98.77,-109.75,4.83,8.63,379.77,-114.99,162.33,6.88,15.86,-214.21,1.0
2.0,0.0,2.0,2.0,53.11,-27.99,151.9,-155.0,50.56,-5.12,131.63,-143.41,47.28,4.92,-25.44,-186.5,1.0
1.0,2.0,1.0,2.0,-349.3,-4.88,79.58,-18.1,-20.65,115.96,-50.97,-92.93,-172.57,73.58,47.85,-69.98,1.0
2.0,2.0,1.0,2.0,-145.98,28.58,92.38,278.39,-104.08,-78.51,171.42,-149.02,-98.22,-69.22,41.65,240.77,2.0
1.0,3.0,1.0,1.0,11.2,22.91,-341.59,182.01,-32.94,-10.13,-242.63,119.11,205.83,-30.41,37.18,27.56,1.0
2.0,2.0,1.0,2.0,-0.3,-4.43,150.0,-295.7,-15.43,84.79,-102.69,-0.92,-89.31,182.14,-53.9,43.25,0.0
1.0,1.0,1.0,2.0,-202.05,-0.62,-31.64,228.7,-8.5,-99.76,-0.49,47.77,-56.97,103.63,5.29,54.85,1.0
1.0,2.0,1.0,3.0,-440.27,6.23,-215.28,278.22,-28.02,41.87,-296.95,130.48,118.88,-79.14,44.1,141.01,2.0
2.0,2.0,0.0,2.0,-125.3,-1.51,214.47,223.0,-31.76,41.67,-18.57,-94.7,-203.39,20.03,23.0,118.99,2.0
1.0,0.0,1.0,2.0,-152.43,7.11,-94.72,121.1,-19.39,108.96,27.83,112.15,-126.46,111.78,-64.69,14.07,1.0
1.0,1.0,1.0,2.0,-114.87,16.15,-92.13,195.96,30.56,30.79,-163.69,-140.66,225.23,-18.26,-2.81,96.85,0.0
2.0,1.0,1.0,2.0,274.34,19.84,-81.22,56.97,10.56,24.77,290.46,20.7,79.7,120.58,47.67,76.66,0.0
2.0,1.0,2.0,1.0,158.76,0.59,-83.29,-147.06,26.75,137.35,384.89,131.22,30.45,108.08,82.87,-27.03,0.0
1.0,0.0,1.0,2.0,52.41,3.17,-205.14,317.93,37.34,3.31,290.39,-1.38,242.18,33.1,-44.41,-34.16,1.0
2.0,1.0,1.0,2.0,-200.04,-26.72,229.25,124.94,-2.75,-77.39,37.72,-231.59,-36.26,129.08,101.38,-99.21,1.0
1.0,2.0,1.0,1.0,-160.69,25.5,31.1,248.09,-9.99,-29.16,129.48,-264.61,52.26,129.59,40.29,114.52,0.0
2.0,1.0,1.0,2.0,-42.94,-22.23,-130.33,114.44,-7.98,0.61,101.82,365.54,-24.97,-73.78,69.71,21.85,1.0
2.0,2.0,1.0,2.0,-330.86,-30.52,396.74,212.03,-85.33,157.68,63.35,-150.51,-305.18,79.1,13.77,41.69,2.0
1.0,2.0,1.0,2.0,-411.12,3.17,-133.04,221.38,-61.33,-125.19,-155.36,48.51,93.41,53.52,47.3,105.64,2.0
1.0,1.0,2.0,2.0,18.32,10.09,-113.81,-39.46,6.48,-12.91,22.59,35.11,98.34,-10.35,-3.34,21.49,0.0
3.0,2.0,2.0,2.0,8.27,-28.0,331.32,148.69,-19.35,-5.92,-71.53,-147.08,-132.59,-3.45,32.63,6.05,2.0
2.0,1.0,1.0,2.0,-165.97,-8.23,44.95,227.39,55.0,110.23,1.22,-34.91,-52.62,163.12,-18.67,5.3,1.0
2.0,1.0,2.0,3.0,-6.57,9.31,73.7,141.28,16.39,-50.42,429.47,-115.37,7.54,216.69,41.22,94.78,0.0
1.0,3.0,2.0,1.0,280.87,11.69,-289.75,-96.99,67.28,-86.85,-197.73,54.89,106.91,27.43,-3.75,-257.75,1.0
2.0,1.0,2.0,1.0,-131.69,-4.7,166.28,183.02,1.61,-18.2,-108.44,-122.07,-38.98,-28.27,-4.95,109.21,2.0
2.0,1.0,2.0,1.0,201.51,35.71,-155.93,134.47,-35.49,17.05,158.89,20.58,24.71,59.54,10.29,103.36,0.0
2.0,2.0,2.0,1.0,-167.27,-30.62,280.24,112.83,27.12,-99.19,-325.69,-147.6,-57.56,1.26,50.94,3.04,2.0
2.0,1.0,1.0,1.0,243.68,8.72,-96.01,-179.03,23.12,100.21,-77.31,292.07,46.95,197.62,56.75,177.11,2.0
2.0,3.0,1.0,2.0,-92.74,-2.26,34.58,-6.01,37.16,124.5,-100.94,-26.01,49.92,90.65,-39.4,59.28,2.0
2.0,2.0,2.0,2.0,-195.59,1.97,259.97,172.56,-32.93,-60.3,132.84,-237.24,-62.7,-57.26,-99.42,172.57,2.0
2.0,2.0,2.0,2.0,-127.98,-16.0,137.65,147.92,-7.27,34.73,-264.41,-23.6,-78.21,55.68,-31.38,38.45,2.0
2.0,2.0,1.0,1.0,-333.28,-24.0,116.62,354.01,83.61,-47.2,-142.81,52.59,-15.02,-51.41,-20.9,158.01,1.0
1.0,3.0,2.0,2.0,-452.0,-15.98,-24.97,302.05,-94.37,-119.97,-93.6,7.32,72.6,-120.3,6.35,63.69,1.0
1.0,2.0,1.0,1.0,-271.84,30.02,-267.68,359.96,44.35,57.1,-75.26,85.47,45.78,-170.44,-23.64,146.93,1.0
2.0,2.0,1.0,2.0,85.08,-12.9,-117.04,-89.44,22.64,44.67,-470.02,333.64,-290.02,76.4,-31.38,-174.8,1.0
0.0,2.0,1.0,1.0,-884.04,4.09,246.62,27.82,-79.22,-102.0,76.98,-260.8,-219.6,44.07,26.98,170.8,0.0
2.0,1.0,0.0,2.0,191.17,19.55,-150.91,165.63,-16.45,18.58,155.94,13.33,117.89,36.62,-19.75,41.7,0.0
1.0,2.0,0.0,1.0,-452.35,-13.42,69.96,124.56,-23.9,48.66,-2.06,-78.64,67.8,69.92,55.12,86.33,2.0
2.0,2.0,0.0,2.0,-152.18,-15.68,302.11,212.43,-35.93,1.26,132.82,-156.53,-176.89,38.65,-9.0,78.94,2.0
2.0,1.0,2.0,2.0,38.94,2.79,158.76,212.7,-22.01,-48.86,373.72,-345.78,96.0,255.36,-65.84,-11.6,0.0
2.0,1.0,1.0,1.0,113.98,12.89,-124.44,-44.56,17.2,57.29,194.85,115.86,51.21,21.57,-21.38,53.86,0.0
2.0,1.0,1.0,1.0,-15.75,-0.23,52.76,49.05,-1.84,13.18,159.99,-122.19,87.32,76.24,-39.33,20.93,0.0
1.0,2.0,2.0,2.0,-116.35,2.41,-99.85,144.95,-18.57,1.18,-136.21,46.83,50.55,20.48,-84.11,25.48,2.0
2.0,1.0,1.0,1.0,32.37,8.78,-9.58,-215.09,7.7,-8.57,246.87,53.75,48.85,76.89,-21.3,96.44,0.0
1.0,2.0,2.0,2.0,-619.95,-45.38,457.5,-59.9,-16.57,1.67,-90.11,-537.3,68.39,-40.03,52.66,-113.93,1.0
2.0,2.0,0.0,2.0,-11.09,-10.83,-14.58,3.78,4.74,97.65,296.07,115.35,104.49,41.87,75.54,82.47,0.0
1.0,1.0,2.0,1.0,-459.75,1.34,-57.98,252.61,-31.3,-90.33,-34.16,-160.4,69.28,-50.9,-8.98,-19.44,2.0
1.0,1.0,1.0,1.0,-407.77,-3.69,-77.74,372.23,34.62,-124.32,-156.07,94.73,-28.52,-49.76,31.23,115.73,1.0
2.0,1.0,2.0,2.0,-353.16,-13.46,138.14,309.86,38.37,-138.56,-78.88,-106.92,-68.4,135.03,84.53,68.57,1.0
1.0,1.0,1.0,2.0,-375.17,-13.17,141.8,-53.94,31.13,-101.71,74.99,-161.06,154.27,66.87,-18.0,109.3,0.0
1.0,2.0,3.0,2.0,20.11,37.21,-285.33,73.07,-48.54,88.2,-44.79,86.98,16.51,211.42,7.65,29.58,2.0
1.0,1.0,1.0,2.0,88.89,-17.63,-0.26,-123.37,-31.25,2.02,324.96,-211.35,225.3,-55.42,-66.15,-254.93,1.0
2.0,1.0,2.0,0.0,-111.46,15.24,200.61,162.94,99.04,64.93,178.33,-182.31,-113.71,-36.71,-1.0,199.68,2.0
2.0,1.0,2.0,2.0,35.48,-25.44,-60.22,201.48,9.4,-18.88,103.51,197.4,105.15,-57.88,71.0,11.97,1.0
2.0,1.0,1.0,2.0,334.16,-7.93,-123.67,-93.15,34.2,75.81,266.59,38.18,201.86,56.29,-37.56,-157.97,1.0
1.0,1.0,2.0,2.0,299.17,-14.9,-125.36,-46.18,14.94,-144.16,325.78,-109.18,314.73,-40.19,36.9,-271.26,1.0
2.0,1.0,2.0,2.0,-173.34,-9.55,272.37,103.79,-13.77,-73.18,12.11,-147.15,-138.21,38.71,66.06,110.4,2.0
3.0,1.0,1.0,2.0,480.05,6.7,-85.99,44.06,62.53,91.94,-128.79,61.99,99.54,-37.06,-7.24,-33.07,2.0
2.0,1.0,2.0,2.0,-123.71,-25.17,307.97,-275.68,51.61,72.0,-109.27,-133.15,28.01,158.04,-32.53,69.52,0.0
2.0,2.0,2.0,1.0,260.63,26.9,-51.45,-37.65,9.04,-20.18,299.32,-71.07,31.32,102.96,-5.15,32.54,2.0
1.0,2.0,2.0,2.0,5.78,-14.34,-14.8,-112.93,-18.71,81.46,384.29,35.1,108.32,73.61,-46.96,-57.05,0.0
1.0,1.0,1.0,1.0,-52.65,3.07,50.63,-44.71,17.89,-100.21,197.25,-108.2,95.02,125.64,17.47,54.55,0.0
2.0,2.0,2.0,1.0,8.76,11.55,-159.58,139.97,-25.56,19.17,-104.72,70.02,108.26,93.69,6.12,53.26,2.0
1.0,1.0,2.0,2.0,-269.19,20.38,-306.8,116.2,47.87,18.92,-159.8,154.2,37.47,-173.38,56.49,24.07,0.0
2.0,1.0,1.0,2.0,-118.21,-18.8,166.67,73.74,-5.14,26.72,-94.42,-74.99,14.47,59.35,-46.03,49.68,2.0
2.0,1.0,0.0,2.0,273.76,41.73,-148.86,-29.53,-17.66,36.12,259.05,-39.09,-11.64,80.57,-6.74,23.97,0.0
1.0,2.0,1.0,2.0,-207.62,9.22,-3.09,83.74,-60.17,-66.99,-79.79,-67.12,83.24,57.85,14.86,132.96,0.0
2.0,0.0,1.0,2.0,217.61,-22.78,44.89,-46.95,19.94,-148.38,268.49,-87.38,141.0,34.73,31.28,-184.52,1.0
1.0,2.0,1.0,1.0,-349.07,-5.6,64.76,40.55,-34.65,-144.19,70.97,-255.97,214.83,-9.09,8.93,26.54,2.0
2.0,2.0,1.0,1.0,-48.06,-2.73,76.37,-164.87,33.57,-56.67,-61.7,-80.53,38.76,73.26,-17.56,5.08,0.0
2.0,0.0,1.0,2.0,126.42,7.35,18.49,36.88,37.01,19.26,266.71,-64.9,133.94,114.42,-63.56,92.11,0.0
2.0,1.0,2.0,1.0,285.11,21.18,-193.36,107.08,-52.85,97.27,-128.6,-16.0,174.69,-17.94,-10.29,-25.23,2.0
2.0,2.0,1.0,2.0,108.51,-15.11,34.22,-7.57,11.41,-21.79,209.56,-96.38,10.1,104.11,46.31,-203.13,1.0
2.0,3.0,1.0,2.0,239.07,13.72,-151.22,69.02,43.12,44.97,-151.65,56.0,118.54,-72.5,43.14,7.42,2.0
2.0,1.0,1.0,1.0,-382.05,-24.12,180.84,126.28,-40.87,24.7,-311.04,-82.98,-76.3,86.38,25.18,26.95,2.0
2.0,2.0,1.0,2.0,237.53,16.97,-184.49,64.29,-7.65,-44.99,-214.6,151.07,117.1,24.29,-59.99,84.59,2.0
