cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
2.0,2.0,1.0,-37.0,-32.06,29.56,75.48,-61.14,44.88,-132.45,-41.1,-19.75,-25.69,46.7,10.31,-236.13,8.52,-157.84,-24.26,-19.73,25.15,15.53,-20.01,0.0
2.0,1.0,1.0,6.17,70.35,-69.78,-32.67,8.25,118.19,-73.67,-11.18,65.2,-10.08,69.59,-180.07,-159.41,-1.03,-82.88,-28.48,0.01,-21.29,43.44,-19.4,1.0
3.0,2.0,2.0,-0.94,11.73,-9.89,96.68,-32.55,-183.85,42.69,83.19,38.02,93.47,-187.31,103.81,-123.67,-0.23,79.07,7.14,7.45,34.71,39.15,20.4,1.0
2.0,3.0,2.0,46.82,29.23,-16.74,-58.73,27.8,-87.88,-88.75,75.29,35.82,30.85,1.66,-101.27,234.96,26.31,-109.44,-54.6,6.03,-1.65,-28.79,3.71,2.0
2.0,3.0,3.0,23.29,9.04,-253.18,-79.77,-96.31,38.19,69.73,-51.32,-21.45,96.16,-151.84,10.99,-156.28,-9.36,150.05,51.71,-3.81,70.16,50.22,85.39,0.0
3.0,1.0,1.0,-24.26,33.73,111.36,100.11,22.69,187.38,-91.69,-41.68,2.65,-101.49,86.92,-13.84,177.58,18.71,-45.83,-58.47,3.23,27.81,94.09,14.57,1.0
2.0,2.0,2.0,-3.45,-14.89,84.54,87.14,20.34,-186.02,-253.65,96.8,18.38,29.78,6.33,-55.36,-14.97,-15.81,-88.81,-13.33,-24.3,-36.74,-26.39,-3.33,2.0
2.0,2.0,1.0,21.46,117.86,109.0,-132.84,-3.37,153.67,65.74,-12.55,-126.17,53.51,-13.19,147.46,-136.5,10.11,6.36,0.65,-5.17,-23.54,-39.89,83.06,0.0
3.0,2.0,2.0,38.52,-44.71,41.45,96.52,32.15,-209.1,12.47,-38.75,26.7,139.4,-159.57,115.07,-27.63,-8.2,60.82,-72.24,-0.94,-34.43,43.05,118.48,2.0
2.0,1.0,2.0,1.01,92.01,-111.2,2.4,-59.01,73.06,-112.73,114.4,-10.13,-147.09,170.13,36.07,13.69,2.98,-118.12,10.74,-0.35,17.7,-48.6,11.28,0.0
2.0,3.0,2.0,-35.36,68.27,-18.12,-34.06,-17.48,-130.79,-46.13,-76.65,-70.67,87.67,-87.27,58.8,-171.24,15.79,74.52,-8.55,-16.41,63.23,32.88,-66.74,2.0
1.0,1.0,2.0,-38.04,32.16,-90.09,-38.71,-22.72,42.38,39.54,56.38,-19.07,18.16,13.88,-105.91,286.28,-0.42,-75.15,-47.27,-33.94,-38.15,-50.44,34.89,2.0
3.0,2.0,3.0,-16.08,-3.41,-83.77,188.73,-27.29,104.31,-138.01,32.06,-43.74,-2.34,-89.98,131.39,-132.41,12.64,129.31,-25.19,6.31,50.36,87.33,-136.65,2.0
2.0,3.0,3.0,-25.79,-111.6,-151.07,142.15,-34.79,-12.29,96.36,9.43,46.93,96.93,-95.54,-35.44,59.47,5.39,133.42,16.45,5.59,-86.11,-8.38,53.49,0.0
2.0,3.0,2.0,-25.18,0.81,-148.66,74.77,-17.06,164.23,-51.5,-56.1,-96.73,-75.54,115.86,42.71,13.67,-7.7,-61.88,-20.66,-8.26,-5.0,-73.87,7.17,0.0
2.0,1.0,1.0,-32.26,69.56,-45.36,9.45,18.64,87.25,-84.59,35.12,69.16,-34.2,63.77,-76.56,66.31,-1.77,-55.63,-11.34,-3.42,37.45,-83.33,18.81,1.0
4.0,1.0,1.0,20.14,-86.1,-29.27,-58.15,55.24,44.32,-43.9,-37.41,-47.96,-52.99,34.05,-28.58,44.18,-14.96,0.78,-87.59,-14.83,80.95,12.73,53.47,1.0
2.0,2.0,2.0,-9.85,25.22,83.9,-104.57,32.4,-86.7,31.58,75.74,110.92,134.73,-55.55,-23.27,66.9,20.68,-22.02,43.78,21.23,-11.2,-128.49,112.64,2.0
3.0,2.0,1.0,-7.61,-37.19,-97.91,-21.66,-10.52,192.0,-127.96,131.98,-45.91,-136.2,127.55,20.5,-71.0,-10.84,-129.36,4.77,3.04,24.14,-108.45,-149.86,0.0
3.0,3.0,2.0,-2.02,92.31,-7.85,42.56,-30.08,17.75,-276.12,24.49,8.79,-166.49,141.6,-21.12,-45.95,-11.79,-129.17,23.52,-2.35,-94.88,111.08,6.37,0.0
3.0,2.0,2.0,-8.86,101.44,54.54,-75.03,-69.33,-155.75,-431.53,-29.67,-9.37,-168.07,115.36,11.07,-52.38,15.43,-249.52,-56.17,2.8,-38.92,-72.57,37.96,0.0
3.0,2.0,2.0,-15.48,86.28,40.49,-69.72,-19.41,-21.61,34.14,8.96,-67.88,103.92,-128.22,47.15,-201.35,-11.59,101.87,-73.4,2.68,-36.02,-15.73,-60.02,1.0
1.0,3.0,2.0,-43.43,1.54,-59.36,-63.69,-37.83,24.07,15.91,-20.11,35.69,134.66,-70.17,62.54,-152.71,-6.43,21.29,48.76,1.99,-25.51,-14.54,28.64,0.0
3.0,2.0,1.0,-4.15,-113.5,-110.14,-98.89,51.15,32.4,-90.52,-13.14,39.39,-65.76,76.56,-46.71,84.42,10.77,-25.18,-59.24,-0.52,-57.5,-2.27,-60.75,1.0
3.0,2.0,2.0,7.91,-2.29,-217.97,20.23,38.4,-92.96,85.27,-91.04,23.99,189.91,-223.62,-64.25,98.44,-6.9,65.06,-15.46,-21.49,16.12,-7.0,12.24,2.0
2.0,2.0,3.0,-1.59,-36.05,29.44,37.62,-42.34,130.56,-63.19,61.65,-133.3,16.03,-7.09,193.88,-155.22,23.49,81.69,-113.6,-9.74,63.2,103.91,49.6,0.0
3.0,1.0,2.0,-39.71,105.46,63.67,70.67,-50.61,-2.9,-27.3,1.37,12.42,66.33,-158.67,-27.19,-171.94,-7.79,70.83,-20.64,-10.76,7.36,45.58,22.23,1.0
1.0,2.0,2.0,-19.72,-32.31,-45.84,10.87,14.09,178.92,-103.44,-72.05,-41.53,-11.61,72.36,-44.47,183.09,0.1,-86.54,23.27,-14.73,35.55,-56.93,36.5,1.0
3.0,2.0,0.0,-50.42,-87.71,2.08,-53.58,-1.78,271.41,38.16,-30.74,-61.22,-0.24,52.8,-33.41,-222.72,-28.98,-124.87,47.97,-10.52,-91.82,97.99,16.94,0.0
3.0,2.0,1.0,4.93,-28.53,78.85,-90.23,-10.33,-170.36,248.0,-76.08,-40.23,39.29,-8.0,-19.42,26.28,-21.51,8.58,-123.59,40.53,57.11,-38.85,-22.92,1.0
1.0,2.0,2.0,24.42,-229.58,-189.36,20.94,-41.89,169.63,135.13,-90.09,-98.82,-97.28,229.37,-28.26,157.43,8.6,-30.08,2.13,23.65,-86.29,17.56,-74.33,1.0
1.0,3.0,3.0,-4.13,31.6,96.58,45.08,-50.72,47.58,26.33,-40.64,-42.76,-114.95,225.9,30.53,104.88,4.06,35.47,-13.3,-50.45,74.78,111.94,2.35,0.0
2.0,2.0,2.0,-1.86,-132.96,-89.39,102.96,27.53,-51.17,-162.35,-0.94,45.26,71.72,-22.72,79.93,98.56,-6.67,-75.81,-52.2,-27.21,-51.33,-116.1,71.75,2.0
2.0,3.0,2.0,6.7,-27.26,-123.98,-108.06,23.79,-7.55,-113.92,-36.21,-20.4,57.98,4.03,-34.78,52.42,33.08,-43.14,51.28,-3.11,-102.04,-18.53,98.6,2.0
2.0,3.0,2.0,-20.4,1.48,57.01,75.33,-13.28,274.62,102.02,123.19,-50.6,18.0,16.66,-111.89,24.21,-12.16,26.0,23.46,3.49,110.96,76.97,117.46,0.0
2.0,3.0,2.0,18.15,-8.22,30.41,148.43,-46.69,-196.17,92.03,-15.87,-64.63,23.81,32.39,43.2,-145.02,-8.96,39.09,4.97,31.48,-64.89,65.55,-4.35,1.0
3.0,3.0,2.0,-26.96,-96.23,-2.59,9.96,-42.79,-327.79,-375.54,3.28,-141.19,-130.54,44.44,-68.37,-77.6,-36.08,-188.93,21.18,-13.0,13.53,75.35,-62.78,2.0
2.0,1.0,2.0,7.39,-81.62,39.33,2.43,-27.24,-26.51,-25.26,2.96,-23.63,180.24,-166.25,2.31,-381.75,24.48,21.67,17.83,0.11,-7.0,-105.47,133.19,1.0
4.0,2.0,2.0,36.67,13.3,203.01,-45.16,-10.54,60.3,-24.94,79.27,-9.74,30.4,-144.02,83.94,-94.69,-27.68,66.67,58.01,11.65,-47.26,-15.93,-62.19,2.0
2.0,3.0,2.0,-16.63,67.92,44.72,28.18,-14.78,131.94,8.86,70.15,-89.56,-70.42,78.0,79.17,323.7,10.53,-36.76,56.28,25.47,-3.69,90.88,-42.9,1.0
3.0,2.0,2.0,-40.16,-3.49,85.87,-43.46,-24.67,4.61,5.51,52.24,72.03,119.62,-173.1,55.48,-185.73,-1.85,50.21,21.8,5.84,24.82,-36.96,-74.73,1.0
