cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,target
2.0,2.0,-18.36,-6.31,-9.64,139.43,17.07,-72.79,-12.17,-7.61,85.28,-102.49,337.31,-9.44,8.09,-134.14,-46.33,14.66,5.89,34.94,67.61,-146.75,12.51,-130.1,0.0
2.0,2.0,14.7,24.05,23.6,-41.4,-1.46,37.18,-56.29,63.84,49.75,-62.06,-78.29,-13.69,-11.24,24.82,-130.59,-22.07,-2.82,-21.01,-14.19,-72.7,-113.91,-146.06,1.0
2.0,2.0,17.34,-20.59,-13.83,-64.96,-0.44,25.26,8.62,-34.17,75.19,26.47,406.35,15.79,-2.04,8.31,62.96,19.65,-30.03,43.57,45.3,107.71,59.47,-20.92,0.0
2.0,1.0,10.58,-114.21,-16.63,-38.43,-17.13,26.4,2.48,14.16,39.89,-166.52,-182.84,-38.35,-60.7,46.42,87.83,-21.01,-32.49,-22.82,-91.68,-159.14,5.4,-0.94,0.0
1.0,2.0,-24.31,-57.57,6.61,165.13,8.62,96.6,4.6,70.96,83.53,-79.73,138.29,-46.77,-29.9,77.59,53.43,22.46,20.36,23.98,119.27,-77.65,-51.6,46.0,0.0
2.0,2.0,-23.5,210.73,-10.17,-38.74,-7.95,108.09,-22.31,-9.52,-21.23,-99.48,-205.37,-87.19,35.65,-13.28,-148.89,35.36,-16.76,18.62,-81.76,95.47,67.69,-69.71,1.0
2.0,3.0,-2.95,-115.6,12.86,-149.23,19.02,246.3,-46.35,-21.6,-15.47,-106.37,18.86,-92.87,-16.58,48.36,-149.97,1.8,20.29,-12.03,20.93,154.88,26.76,-40.24,1.0
2.0,2.0,-4.19,0.73,4.57,120.54,-10.36,-42.59,-28.95,-57.62,-21.11,82.22,-183.72,-80.05,11.95,81.22,-110.51,-15.78,17.0,-9.54,-53.05,37.22,-74.98,-7.51,1.0
2.0,2.0,-17.14,-211.67,2.13,82.78,-27.15,-93.58,-6.74,-6.49,-14.48,123.38,227.79,51.87,38.05,125.88,32.79,18.88,22.69,-22.4,25.07,50.46,-30.15,-41.29,0.0
0.0,0.0,-3.02,83.9,2.03,8.84,8.95,7.49,15.14,0.73,59.7,-14.55,-316.32,149.47,-24.41,25.84,190.95,2.66,33.0,-57.42,73.09,107.39,-27.1,347.03,1.0
