cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,num_24,target
1.0,0.0,1.0,1.0,79.47,-1.81,19.3,-44.91,72.53,-21.99,-27.36,-21.37,22.26,-13.46,60.35,-47.94,-110.52,27.89,234.36,1.91,36.01,-10.18,48.54,-62.0,26.25,-183.46,-202.15,25.2,154.78,1.0
1.0,2.0,2.0,2.0,-88.04,65.55,17.04,-107.5,35.09,-57.27,-16.79,55.51,-42.67,1.4,-101.48,-46.09,65.3,-10.02,43.4,-7.95,-146.21,-75.43,26.64,-8.29,22.22,-34.0,247.58,28.12,50.06,0.0
1.0,1.0,1.0,1.0,-14.78,20.29,150.67,-46.37,78.66,55.29,-55.83,52.62,-166.09,-0.42,-125.04,-64.77,135.81,-29.5,102.13,-4.19,-3.08,-14.17,51.35,-49.2,-32.14,-26.89,14.56,-105.72,-2.39,1.0
1.0,2.0,2.0,1.0,34.49,-11.73,-123.15,-57.22,-142.96,-29.04,-75.55,-46.67,-87.18,-50.4,43.76,-2.11,92.74,19.59,136.19,29.27,4.09,7.75,17.95,31.14,66.2,14.29,264.61,-63.59,-74.2,0.0
1.0,1.0,2.0,1.0,77.92,25.9,-78.15,36.85,-89.76,111.63,208.55,17.44,-95.75,34.32,107.23,10.31,-6.45,-3.99,42.06,-10.91,24.37,-73.62,-23.7,-19.31,-5.93,163.48,52.45,-40.24,55.59,2.0
2.0,2.0,1.0,2.0,90.74,41.43,-174.57,-18.09,17.84,220.4,-65.43,74.4,-62.5,13.5,26.91,-25.85,82.19,77.76,-96.75,-16.73,-105.54,-61.87,-13.49,51.55,-59.71,-158.62,-175.29,-77.55,62.82,0.0
1.0,2.0,1.0,2.0,52.48,9.87,79.54,1.94,-120.94,41.2,62.06,-19.72,12.47,24.62,-13.14,-4.24,-14.35,-8.48,-49.14,22.06,14.89,85.52,-27.68,48.1,-91.88,31.61,105.21,96.36,-91.98,2.0
2.0,1.0,2.0,1.0,-84.88,43.16,-68.17,1.46,161.72,-177.42,42.96,69.66,76.6,-29.95,82.66,89.53,-96.1,10.88,-5.05,-38.88,-150.45,40.54,-43.42,7.6,136.58,-6.82,44.09,93.05,-1.4,2.0
2.0,3.0,2.0,1.0,42.49,35.62,7.45,157.73,67.57,-89.3,41.79,1.21,-13.9,-17.19,129.7,-68.68,-38.91,78.6,36.28,-19.97,-24.68,125.08,-11.66,-3.77,3.9,108.64,31.5,16.02,148.56,2.0
1.0,2.0,1.0,2.0,51.69,-21.56,-163.93,4.32,-160.22,-54.72,-201.51,59.87,-54.99,0.65,81.24,-0.04,139.73,33.17,61.16,14.58,50.77,90.55,-0.13,12.93,181.81,21.19,202.5,-96.09,-50.37,0.0
1.0,1.0,0.0,2.0,23.83,-10.14,1.01,-7.1,-111.35,129.55,79.29,120.23,-40.03,20.59,26.7,73.19,88.52,7.96,70.43,3.13,15.11,208.35,-33.83,-50.37,6.24,-13.24,66.9,-17.11,54.49,2.0
1.0,1.0,1.0,1.0,-44.46,81.56,-65.37,-28.5,-102.12,-255.38,89.62,38.14,178.39,-9.88,1.41,-19.38,157.43,43.66,67.22,-9.88,97.82,127.52,59.85,-33.98,32.98,-46.71,83.23,181.01,-39.83,1.0
1.0,1.0,2.0,1.0,-26.93,-3.98,153.17,17.57,-71.57,37.9,256.64,-25.87,61.08,-46.65,-33.52,-19.35,60.38,8.77,-53.42,44.21,54.52,16.65,-15.15,14.1,-197.39,17.42,143.42,47.57,145.75,1.0
1.0,1.0,0.0,1.0,36.09,-23.17,-144.15,-31.47,-74.74,26.54,-97.56,-43.0,-61.64,10.22,21.58,107.6,-119.05,53.1,48.71,23.25,-12.15,11.93,-59.28,34.77,-22.15,132.44,31.57,-32.78,-21.72,0.0
1.0,2.0,2.0,1.0,-123.0,-0.92,14.97,-168.62,49.09,-190.6,-156.61,18.3,-4.23,28.53,-2.23,20.51,43.88,62.01,8.61,-15.65,66.6,11.44,15.27,24.61,12.19,21.88,-143.11,90.81,-3.87,0.0
2.0,2.0,1.0,2.0,-89.49,18.99,-21.37,31.74,-269.27,-32.39,101.11,-63.53,-104.01,-12.0,34.07,10.9,29.77,-6.94,103.31,17.7,46.17,125.05,-0.91,-31.0,-59.82,-180.08,316.02,127.41,-6.08,2.0
2.0,2.0,1.0,2.0,8.63,-8.86,25.42,30.1,-113.31,64.7,-93.04,-2.15,66.85,-3.9,43.54,-80.52,81.15,56.93,-25.1,11.02,61.33,-134.83,-22.23,41.29,-57.18,114.54,-91.24,67.94,25.44,1.0
2.0,1.0,2.0,1.0,-50.5,-64.71,235.6,96.52,10.57,-558.91,-182.06,40.03,-5.41,-25.29,35.18,-66.12,-62.47,-8.28,-158.78,-39.06,236.18,-21.68,8.9,-37.69,-160.52,59.93,290.59,45.19,22.2,2.0
2.0,3.0,2.0,1.0,27.5,-39.7,-24.17,-160.19,78.58,0.45,-74.83,-81.95,90.07,-14.88,142.36,55.51,-81.79,24.76,-41.35,2.8,-191.48,68.89,-51.43,-34.47,0.41,30.63,234.63,-54.4,-119.04,0.0
2.0,2.0,1.0,1.0,34.24,30.14,-221.23,44.75,-184.63,114.43,11.74,2.96,18.67,-24.2,-75.32,65.05,-153.51,-55.43,64.75,38.66,115.68,-82.89,38.48,8.45,-42.86,45.86,-71.05,-74.23,-4.29,0.0
1.0,1.0,2.0,1.0,-60.38,40.8,-119.1,49.13,-7.05,115.6,-146.08,-8.91,97.51,19.52,38.1,35.28,-47.08,17.42,27.52,38.67,-5.41,-34.58,31.48,-39.55,135.56,-133.86,-101.19,-121.9,-20.83,2.0
2.0,2.0,2.0,2.0,17.59,20.19,-23.97,27.59,-207.21,84.52,100.54,29.13,147.19,-20.16,66.23,14.87,25.8,38.86,-46.41,31.64,74.81,-246.85,42.37,-6.62,62.42,-106.36,212.93,-36.29,-37.78,1.0
1.0,2.0,1.0,2.0,-22.78,22.21,30.03,57.87,-45.73,65.48,-32.18,-107.72,-31.77,3.93,16.94,-49.24,94.88,92.87,-56.86,-6.95,41.98,148.25,-43.61,1.5,17.53,92.74,40.11,-83.99,-16.04,1.0
1.0,1.0,2.0,2.0,-51.55,-4.75,-16.87,48.18,-83.64,231.29,15.71,5.28,58.98,-22.25,160.83,-75.84,-63.27,-46.81,-45.83,55.63,-5.55,178.11,68.45,29.14,165.97,133.31,-67.27,-43.8,-87.08,2.0
2.0,2.0,3.0,2.0,-53.09,11.13,-261.99,77.19,-303.74,28.36,-342.18,17.73,109.26,20.19,-45.62,4.28,36.99,36.59,-19.81,83.09,104.52,14.29,41.32,16.65,-11.07,102.83,39.67,-10.89,66.64,2.0
2.0,2.0,2.0,2.0,-2.26,-13.19,-34.92,9.64,-124.42,124.51,-50.84,7.44,-5.25,-56.14,-108.96,28.23,209.6,75.84,-27.18,20.36,39.07,-69.57,19.71,32.5,186.17,-5.34,110.41,-117.13,74.03,0.0
1.0,2.0,2.0,2.0,-0.16,-23.11,-69.47,-99.35,-53.69,-54.8,-130.36,-10.65,83.66,49.22,-79.97,60.44,68.28,32.35,42.7,-23.99,-3.02,-3.58,8.21,57.23,63.35,-72.41,-7.93,57.94,-47.83,0.0
1.0,2.0,1.0,2.0,-13.02,-27.32,111.39,86.85,-155.58,260.45,77.97,21.0,96.7,-4.87,32.37,-139.68,-83.0,15.36,28.72,0.75,72.16,224.3,-26.12,-32.63,6.57,-74.44,26.51,-72.21,-20.64,1.0
2.0,2.0,2.0,3.0,-18.41,-25.31,35.77,60.7,-257.37,75.16,118.23,-5.42,66.53,9.62,-9.86,-2.83,68.47,21.89,157.49,28.23,82.01,-3.0,41.76,-5.43,-223.13,-18.2,151.59,118.85,11.82,2.0
1.0,3.0,2.0,1.0,12.88,-7.14,-125.44,51.89,78.33,-165.01,-91.35,-79.51,53.89,-21.7,49.98,17.01,21.84,-1.56,0.12,-24.59,-88.13,-57.56,-0.39,1.59,130.33,134.44,11.62,65.43,3.0,0.0
2.0,1.0,2.0,1.0,-58.5,11.87,169.21,15.61,104.69,-263.52,-23.71,-24.48,3.57,35.38,29.51,41.58,115.11,68.67,57.86,-11.42,82.94,13.86,12.3,23.99,-72.79,9.76,142.54,-31.38,-32.06,2.0
1.0,1.0,1.0,2.0,32.79,46.95,-116.73,82.61,-82.03,-78.25,-168.3,-64.75,87.14,47.51,-56.56,-12.76,144.92,-6.25,111.98,9.49,37.85,40.12,-34.68,-18.99,61.91,-131.88,-12.03,34.26,2.06,0.0
2.0,1.0,2.0,1.0,41.74,-23.43,-10.32,59.34,167.8,-129.8,1.19,-3.54,-24.27,5.73,-58.09,129.5,141.37,-43.93,-61.62,-36.04,-156.51,-83.29,40.51,11.31,-21.68,-28.08,-75.85,158.49,-52.2,2.0
