cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,target
2.0,1.0,-31.58,16.6,236.02,32.02,-10.95,-78.54,-29.98,11.74,62.26,8.27,-11.67,-38.03,55.97,-12.8,-17.69,-12.62,11.96,-39.74,7.61,-65.56,-143.09,-88.74,5.78,149.48,2.0
1.0,1.0,-18.59,43.94,-239.86,-42.91,-210.71,-182.61,-95.78,14.18,13.51,-2.82,-31.55,-42.56,-54.35,19.84,-14.21,-10.56,10.44,15.41,10.82,221.54,146.76,-44.75,-0.97,9.24,1.0
1.0,2.0,103.92,23.79,-702.94,-67.1,-356.72,-19.99,-41.3,45.49,40.9,-2.3,64.89,7.31,16.4,-45.14,-16.91,-11.12,46.82,16.64,-0.86,66.0,-79.71,-48.21,-1.81,-68.68,1.0
2.0,2.0,-106.72,26.73,-112.05,-36.89,-243.44,-194.7,177.18,-11.37,45.64,-7.38,1.47,8.54,-13.24,43.02,-48.01,11.96,-8.76,0.25,1.18,51.93,-125.27,68.11,-3.87,48.88,2.0
0.0,1.0,115.24,34.68,-135.0,-10.19,-40.93,-79.99,-33.11,0.03,77.27,-9.08,8.29,25.17,-22.85,7.96,-9.29,-19.63,9.03,-41.41,-7.82,20.35,-126.88,-0.47,-1.69,87.07,1.0
1.0,1.0,-308.61,22.37,-124.54,3.92,-106.15,-49.43,-91.02,-54.34,14.75,-8.47,-15.3,35.5,-56.03,72.61,23.37,-15.46,17.56,-58.17,9.04,59.9,-4.75,10.62,3.25,-40.36,2.0
2.0,1.0,-276.52,-19.2,-379.55,-33.31,-526.49,-216.66,74.39,-56.14,-38.05,3.26,8.12,8.82,46.02,-92.49,32.72,13.38,17.78,-77.19,-10.67,-93.36,100.18,88.75,11.12,-74.87,2.0
3.0,1.0,-219.99,66.53,211.7,-7.85,-45.72,-86.68,26.76,-35.2,-130.22,14.97,5.48,-39.32,-70.49,13.58,-56.05,-10.04,-3.99,-68.24,-22.23,-9.12,-111.1,-94.94,4.62,213.81,0.0
1.0,1.0,-250.88,-86.73,0.48,55.79,-194.21,-165.17,-55.63,31.86,-48.16,-11.88,-13.16,-51.92,85.82,17.72,-65.66,15.55,6.99,15.22,18.57,-170.94,-94.21,77.4,-9.84,74.61,0.0
0.0,2.0,46.66,-4.24,-344.63,-40.09,-364.65,58.7,70.22,22.7,-19.62,0.75,-29.99,4.75,-36.12,-50.77,109.95,10.18,24.92,-34.08,34.85,-82.27,-28.61,-29.65,13.26,-57.13,2.0
1.0,2.0,-35.7,-23.61,24.02,19.32,-193.73,101.67,61.8,-19.34,-42.14,3.11,-12.96,28.08,24.91,-7.16,109.69,11.78,18.16,12.79,-2.2,-275.58,56.54,112.11,15.64,-25.47,1.0
1.0,2.0,172.04,59.29,-217.68,-31.15,-97.9,-51.18,19.51,-11.84,-27.0,0.89,22.3,25.39,62.39,-20.72,-64.98,-14.72,19.87,41.38,-7.73,85.27,-25.12,148.27,8.01,-83.5,2.0
2.0,1.0,56.53,-62.52,27.79,-3.23,174.14,-44.37,-143.89,-31.0,-14.94,12.92,14.16,-6.83,-25.56,41.7,22.37,2.26,-10.76,-32.22,21.63,216.99,-62.36,7.24,-9.36,-49.68,1.0
1.0,1.0,-326.47,24.3,-244.41,33.44,-352.27,-166.29,-107.59,-2.68,5.6,12.77,16.03,-16.65,13.14,41.49,163.19,17.11,15.09,4.71,2.01,-234.54,63.8,10.92,-3.43,51.49,1.0
1.0,2.0,-51.28,-27.27,-15.82,-27.31,-128.99,-63.99,-27.31,-3.13,-13.67,8.25,-24.53,-12.87,7.27,-65.66,-30.86,-10.57,-1.31,-25.74,-1.66,4.47,-91.44,17.07,-3.25,40.11,2.0
1.0,2.0,67.31,-21.19,-193.87,-14.38,-159.6,161.81,-198.12,-61.11,69.73,1.13,17.31,13.59,0.62,-3.02,29.63,6.48,12.78,52.26,3.82,-244.85,77.46,176.2,1.17,-21.96,1.0
1.0,1.0,207.92,22.24,-277.02,-32.78,-4.58,-0.79,54.21,-37.46,48.93,2.33,48.96,8.69,-3.98,6.1,47.41,-29.4,21.01,-10.8,8.79,62.94,-107.57,179.64,-11.39,113.13,1.0
2.0,2.0,-87.37,110.01,-176.58,-15.64,-208.27,-198.06,-26.15,-55.04,-29.03,-0.93,-1.75,2.34,-58.58,-95.22,70.01,6.31,6.33,1.99,-3.94,108.52,72.89,-37.13,1.95,51.23,2.0
1.0,1.0,285.47,-39.07,-255.94,-43.46,-170.25,34.75,-114.19,35.8,-68.3,14.65,17.03,-11.36,-11.56,5.82,42.0,-3.37,13.97,24.99,-4.23,-63.35,8.85,-14.9,0.75,-102.67,1.0
