cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
2.0,1.0,3.0,-96.48,276.78,-12.64,-14.48,1.14,37.12,5.12,-0.08,30.26,-62.19,-93.86,-30.33,-131.38,12.09,-8.24,-64.89,-5.09,101.37,-58.8,221.78,-50.42,1.0
2.0,2.0,1.0,78.58,38.91,-89.45,-5.22,-17.38,-53.49,-12.11,0.76,147.31,-41.31,74.86,29.74,73.61,-20.02,6.47,284.73,-44.75,18.51,49.99,48.03,-208.3,0.0
2.0,2.0,3.0,-22.19,-37.48,97.12,1.97,53.83,-48.05,-10.01,0.05,-61.97,158.26,64.29,10.79,17.25,6.85,17.17,182.82,-22.11,52.77,120.54,-48.94,107.15,2.0
3.0,2.0,0.0,-29.13,41.7,311.83,37.25,-5.7,71.09,-17.32,-2.01,-19.89,103.08,-42.29,42.91,-58.36,19.03,4.51,156.54,20.87,-70.72,548.39,137.42,418.37,2.0
1.0,1.0,2.0,67.11,-142.41,54.2,-5.85,-12.36,86.5,8.78,1.71,-12.68,-88.39,245.56,-77.44,-106.23,15.08,-10.12,305.37,35.21,169.58,-457.66,-70.64,532.7,1.0
3.0,2.0,3.0,123.29,325.64,51.41,14.39,87.11,-78.99,0.47,-1.43,10.42,-15.68,86.6,-9.53,-71.43,2.83,1.33,-65.15,-7.06,-50.7,267.87,-42.97,-142.1,0.0
0.0,2.0,2.0,2.74,-190.67,107.05,18.26,-60.84,49.23,5.07,0.2,-53.76,-147.32,200.16,-37.79,25.66,-2.96,-12.08,-94.31,49.36,50.01,-451.43,-69.45,522.27,0.0
3.0,2.0,1.0,-111.41,60.52,-76.54,37.57,36.24,72.83,-21.8,-2.09,-7.91,120.65,-91.89,19.59,111.88,14.71,-6.26,-112.21,-21.38,-222.03,79.97,53.56,-206.81,1.0
2.0,2.0,2.0,-19.77,112.8,4.15,7.29,-75.15,-45.5,30.77,0.24,-6.8,35.1,141.06,-19.26,30.16,-12.12,-10.91,43.95,51.71,3.72,-37.23,-84.57,-37.09,0.0
3.0,2.0,2.0,72.1,-83.8,-65.92,-14.35,-20.35,2.81,1.82,2.34,29.85,94.97,89.85,40.34,31.72,-9.27,-35.1,-61.26,-19.04,92.05,86.24,109.69,-29.89,0.0
3.0,3.0,2.0,-60.37,-44.02,-34.88,20.86,-6.25,-26.02,-4.7,-1.69,-64.63,-75.48,66.01,-42.6,-53.88,-13.31,-18.94,-305.45,25.53,-33.91,-175.74,3.63,20.13,2.0
1.0,2.0,2.0,3.35,-42.11,98.18,-2.98,67.82,-53.11,0.72,-0.4,13.78,-184.76,-62.96,17.45,10.52,76.28,13.0,102.93,-0.67,-41.62,32.97,42.02,84.99,2.0
3.0,2.0,3.0,-33.71,-190.89,205.17,-4.23,-89.06,-39.6,37.21,0.9,-68.18,225.24,220.18,-5.82,-73.77,24.5,-22.6,-157.21,-35.74,128.73,246.13,72.18,421.19,2.0
