cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,target
1.0,1.0,194.96,52.24,97.23,-7.94,40.87,23.33,-16.47,-56.22,-56.4,-7.81,-10.47,67.16,-97.92,-85.2,-9.02,150.88,21.16,1.0
1.0,2.0,229.33,-65.31,-102.47,-2.08,-259.37,19.05,11.8,-55.33,34.06,35.48,75.85,-76.62,-59.63,-43.4,-41.61,-82.13,-5.19,2.0
2.0,2.0,-76.07,-69.04,-228.06,11.98,-250.03,-9.65,-7.72,-35.86,-136.26,47.32,-27.56,-7.02,52.03,-58.52,16.58,92.31,-86.33,1.0
2.0,2.0,-97.68,-40.27,32.7,-4.05,-159.52,-8.11,82.47,-161.03,11.68,178.22,22.89,131.78,51.56,118.09,124.48,76.81,21.27,0.0
2.0,1.0,183.77,-23.25,-226.59,-0.52,-153.28,12.96,-113.64,-88.93,8.48,-62.57,41.02,-224.51,-38.86,-77.29,165.55,-269.85,124.81,2.0
2.0,2.0,-98.33,-84.43,-124.56,-3.02,-70.11,-70.79,21.82,-85.94,-11.7,261.72,-21.57,-114.78,18.91,-20.8,-208.88,219.95,15.08,2.0
2.0,2.0,-164.19,-54.44,-151.23,3.62,38.19,-57.83,39.6,-44.69,72.25,114.98,-154.7,-100.44,161.68,105.68,-36.1,-10.66,-101.04,2.0
1.0,1.0,300.97,31.18,-49.78,7.76,-129.91,31.22,-8.61,49.2,81.13,-132.23,-71.83,107.7,-11.24,-73.27,-129.94,106.46,66.66,1.0
2.0,1.0,-142.33,-20.03,-156.53,6.49,-149.97,-18.49,21.44,45.75,89.04,-66.8,-192.34,51.29,-41.62,47.68,-101.21,-12.82,-151.39,0.0
1.0,2.0,63.17,-79.61,-330.39,2.68,-110.12,-24.76,-23.97,103.78,-26.62,-3.73,-66.67,-50.7,56.52,-84.32,51.63,-0.35,41.33,2.0
1.0,1.0,118.34,63.36,-34.09,1.82,270.41,35.63,17.07,34.25,-31.84,12.04,-14.54,21.26,-88.3,-48.69,58.38,-0.09,79.12,0.0
1.0,2.0,233.0,2.5,-29.48,2.26,167.01,-13.28,9.15,85.79,14.85,-179.22,-42.37,-6.32,182.32,-107.39,110.12,60.4,-85.93,1.0
