cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,target
1.0,1.0,-4.63,130.34,75.03,-195.96,-47.65,152.09,30.08,33.98,-0.5,15.38,177.55,18.5,72.0,-241.87,7.79,-32.79,37.1,-49.41,-3.68,2.0
1.0,2.0,63.51,-18.84,19.11,124.44,80.0,-45.74,-47.1,-21.47,-8.72,-74.36,40.81,-20.69,101.93,135.59,-8.55,-6.29,-24.49,-34.88,-8.08,0.0
0.0,2.0,-42.56,154.94,-4.53,18.03,37.43,44.23,-45.16,-106.85,3.83,165.94,16.5,-38.81,72.35,-83.69,5.43,78.08,29.34,71.6,7.73,0.0
1.0,1.0,-53.76,-46.39,-13.23,-130.43,82.93,-109.47,-33.7,-25.76,-6.24,-105.8,132.96,57.13,5.64,293.5,1.0,117.92,0.23,91.88,1.59,0.0
2.0,2.0,-5.96,127.7,22.93,-93.32,10.35,61.3,-1.65,-0.11,6.02,221.87,-38.07,5.42,206.28,-419.36,-7.5,-47.64,31.08,83.8,-49.79,1.0
1.0,2.0,-300.99,-30.97,-33.1,-79.85,82.13,-151.82,25.69,50.15,-6.85,281.28,-174.12,-9.34,269.93,-160.73,8.51,-149.46,-69.65,-2.68,-17.56,2.0
1.0,1.0,-50.26,94.81,-25.94,57.63,96.02,-45.42,10.37,108.55,-1.54,323.46,-22.09,-23.21,12.95,-416.24,6.85,-52.47,-2.82,-17.23,6.43,2.0
1.0,1.0,-71.21,10.73,-59.37,93.61,-15.62,-142.85,33.75,-6.56,-3.67,139.36,-83.6,-45.53,-101.21,-147.67,-5.75,-37.68,8.03,-34.58,-11.46,0.0
3.0,2.0,163.25,-119.51,-17.92,-65.22,-4.98,16.74,18.56,-11.86,5.36,-122.98,129.56,-10.91,-146.89,-175.48,-10.71,-46.84,-44.35,129.22,-19.75,1.0
2.0,2.0,-49.62,-70.77,-20.95,-75.86,10.29,-26.88,30.41,2.74,3.9,-22.05,-4.57,-1.41,-43.29,-122.59,-5.36,-45.33,16.98,-211.3,25.42,1.0
2.0,1.0,127.99,-173.83,30.98,-86.28,12.36,-136.35,85.86,58.32,0.71,221.16,94.79,-45.7,131.59,-454.37,8.26,-41.63,-40.69,25.1,10.75,1.0
1.0,1.0,47.06,69.45,36.21,-285.08,17.23,129.87,-52.03,-27.88,9.36,-137.84,213.76,-10.05,-76.76,230.39,11.37,-82.14,-13.19,39.82,19.87,0.0
2.0,2.0,-579.03,36.3,47.39,-1.22,38.81,-124.31,16.17,-27.39,8.19,348.8,-151.83,-11.23,-57.01,-100.2,-13.81,63.57,3.51,-123.58,3.4,2.0
2.0,1.0,86.63,-90.43,2.27,-12.14,-21.94,-33.41,35.38,19.64,9.78,-24.9,-14.17,38.75,49.55,-121.16,5.37,-5.28,-7.9,-101.41,-7.39,1.0
2.0,2.0,-208.51,93.47,-21.31,-15.03,-73.77,-146.64,46.93,-7.79,-5.72,-102.13,-36.29,-20.45,141.88,-67.59,-8.93,-249.28,31.06,60.26,15.59,0.0
2.0,3.0,266.86,-97.95,-21.69,24.59,169.67,-4.64,-29.82,36.8,-1.62,-74.9,25.15,8.9,26.06,-397.23,-18.49,-14.46,-11.55,-18.58,-10.45,0.0
1.0,2.0,-44.94,186.39,57.81,120.82,19.19,-215.09,24.31,-5.69,2.14,2.02,49.86,89.83,-30.39,-236.18,-7.14,19.82,-5.97,57.53,-41.99,2.0
2.0,2.0,-249.02,103.56,7.62,86.41,18.72,85.55,-14.78,-19.52,5.68,123.12,-66.04,-19.19,142.73,-113.24,-5.87,48.71,-16.15,-26.09,28.34,1.0
1.0,2.0,87.72,-11.82,21.51,-5.93,55.76,233.16,-7.85,21.26,-0.86,149.93,52.42,-33.63,58.55,-276.38,3.41,-89.87,-30.78,136.89,-14.17,2.0
2.0,1.0,-227.77,34.28,20.95,-12.48,-45.44,-127.29,27.66,7.35,0.83,9.52,-41.53,-11.02,70.5,51.29,3.96,-44.03,-11.85,-103.16,32.7,0.0
1.0,1.0,166.79,25.95,-25.62,1.98,3.42,17.57,-47.25,-40.8,-3.11,-100.83,-56.74,8.56,92.79,221.62,19.46,-155.09,65.32,46.27,-3.87,0.0
