cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,target
3.0,2.0,1.0,1.0,53.51,93.47,-3.3,-62.91,63.57,155.76,-0.17,36.32,37.54,41.52,-13.05,0.0
3.0,2.0,3.0,4.0,26.05,-16.63,-22.57,-44.77,0.1,57.35,-24.36,327.42,77.02,46.1,31.29,1.0
2.0,2.0,3.0,3.0,15.17,-263.0,26.36,10.15,10.62,-94.72,-15.3,268.92,-125.29,69.01,-56.09,0.0
2.0,3.0,2.0,2.0,-36.22,320.59,57.3,62.25,55.21,-115.46,14.14,-94.46,-22.79,35.7,-18.62,1.0
2.0,1.0,2.0,2.0,5.04,184.44,-34.23,75.71,18.02,-239.99,-4.94,1.37,97.82,-78.88,-7.05,1.0
3.0,1.0,2.0,3.0,118.11,-368.34,-64.3,27.51,-55.63,26.78,-27.67,130.87,-32.53,-114.07,-19.21,0.0
2.0,3.0,1.0,2.0,57.52,-86.94,-32.38,-7.61,-57.28,-110.16,-5.26,44.09,37.51,-3.87,8.31,0.0
3.0,2.0,2.0,4.0,42.56,9.93,-40.03,66.49,95.96,-158.29,-13.41,79.26,5.01,-24.05,-9.7,0.0
2.0,2.0,3.0,2.0,46.02,169.42,36.19,-13.65,-12.83,22.72,-20.45,359.07,44.49,49.18,4.02,1.0
2.0,1.0,1.0,2.0,-83.04,393.64,-33.67,88.32,-60.11,-74.43,-5.26,63.74,15.22,-40.58,2.74,1.0
3.0,1.0,2.0,4.0,-154.67,31.99,71.59,-69.73,-9.35,-66.85,16.87,49.56,74.63,-11.87,19.44,1.0
2.0,3.0,1.0,2.0,137.21,-30.3,121.97,-111.13,-34.6,156.77,3.55,191.68,-40.07,78.14,16.15,0.0
3.0,2.0,2.0,3.0,75.7,-106.82,-24.15,-68.61,-3.7,201.6,-15.65,132.11,50.31,43.02,36.82,1.0
1.0,2.0,1.0,2.0,6.66,-7.73,13.25,-41.73,87.66,62.35,-1.41,113.63,-28.32,39.88,25.69,0.0
2.0,2.0,2.0,2.0,-17.25,42.19,22.21,26.09,45.62,-50.0,5.37,-41.99,-42.29,25.74,11.74,0.0
0.0,3.0,1.0,2.0,62.51,-136.1,6.74,-62.83,39.41,-2.33,-8.58,227.54,-17.01,27.97,5.31,0.0
3.0,3.0,1.0,0.0,157.51,-60.48,74.85,-76.84,-48.77,50.97,-7.24,277.43,-54.22,90.5,4.45,0.0
2.0,1.0,1.0,2.0,119.04,34.17,115.1,-137.48,-23.72,202.17,4.78,212.0,3.13,47.48,-13.4,1.0
3.0,2.0,2.0,1.0,-55.81,224.3,46.6,79.1,-61.78,-76.11,14.03,-180.22,-20.85,-48.62,19.27,1.0
3.0,1.0,1.0,2.0,104.88,-120.53,-76.05,54.98,-70.83,-50.34,-25.13,197.61,-133.15,104.26,19.2,0.0
3.0,3.0,1.0,3.0,89.71,150.99,90.95,-57.34,-16.15,-84.91,11.61,102.89,22.59,33.26,-18.15,1.0
3.0,2.0,2.0,2.0,36.02,-53.74,44.64,-77.69,-51.96,16.89,18.31,-155.87,48.88,90.54,9.1,1.0
2.0,1.0,2.0,3.0,99.05,112.24,70.1,15.02,-51.69,-32.27,0.76,55.54,-43.64,67.22,19.43,0.0
1.0,3.0,3.0,3.0,-28.86,-329.68,-6.33,-106.98,54.18,45.74,-5.57,116.53,96.77,-2.29,13.4,0.0
2.0,3.0,0.0,2.0,47.04,167.93,70.28,-57.47,-66.71,148.71,14.8,-13.2,-55.39,42.16,-33.63,1.0
1.0,2.0,2.0,3.0,-53.79,-147.24,-16.57,-52.21,28.59,-66.49,4.92,23.45,20.59,32.35,5.91,0.0
2.0,1.0,2.0,2.0,-141.66,-94.13,3.75,-136.96,-46.29,-212.58,4.0,274.81,204.78,-17.63,-19.16,1.0
2.0,1.0,3.0,1.0,-46.01,-358.06,-8.36,-23.78,31.07,-10.37,-5.3,10.74,4.44,-11.11,-11.11,0.0
2.0,1.0,1.0,2.0,127.72,242.37,56.97,34.49,-50.13,116.91,-13.27,259.36,-170.53,117.84,-0.6,0.0
3.0,2.0,1.0,2.0,30.22,-131.67,69.15,-177.09,-36.87,236.08,22.17,-105.47,59.24,86.38,21.29,0.0
1.0,2.0,2.0,2.0,-87.49,203.73,15.76,-34.94,-9.18,249.03,-3.66,162.7,-39.74,20.25,11.75,1.0
1.0,2.0,1.0,2.0,33.31,-129.5,78.55,-170.2,7.95,266.98,11.38,133.76,-59.23,112.67,-30.26,0.0
1.0,2.0,1.0,1.0,67.9,111.82,9.54,21.78,-46.03,102.18,13.36,-245.77,-54.25,-8.43,-12.59,1.0
2.0,2.0,1.0,2.0,-94.47,303.93,15.8,69.42,19.11,-322.19,19.98,-146.62,33.23,47.13,12.75,0.0
2.0,2.0,1.0,1.0,29.11,71.25,11.8,-59.25,-79.82,144.21,6.22,-10.64,11.49,-1.0,-42.72,1.0
3.0,2.0,1.0,3.0,18.3,-19.07,21.91,-74.42,-2.33,71.65,2.66,136.4,-54.46,102.78,4.9,0.0
1.0,1.0,3.0,2.0,33.88,-278.63,-87.88,25.41,71.7,9.82,-27.17,151.98,-44.53,61.45,30.35,0.0
2.0,1.0,1.0,1.0,76.03,236.32,-0.22,15.23,21.36,140.42,-3.37,-7.94,-25.21,66.51,-7.09,0.0
2.0,3.0,1.0,2.0,57.16,-84.45,28.05,-27.72,64.59,-123.49,5.55,2.57,37.58,-24.08,-8.72,1.0
3.0,2.0,2.0,1.0,24.5,-148.54,-136.4,-17.91,3.17,120.83,-29.35,153.85,48.19,76.34,18.25,1.0
3.0,2.0,1.0,1.0,15.0,13.07,12.63,-57.85,3.21,38.5,12.66,-50.7,-22.18,62.85,-20.51,1.0
3.0,2.0,2.0,3.0,-15.99,150.11,69.2,94.72,-45.46,-187.39,11.62,-146.2,-9.31,-77.88,9.43,1.0
1.0,2.0,3.0,2.0,-148.53,58.02,-51.16,22.23,-31.97,-52.38,6.7,-183.16,121.28,-50.35,3.56,0.0
2.0,2.0,1.0,3.0,-10.69,41.12,-46.7,-34.06,16.87,84.03,0.25,-19.53,27.57,26.5,5.37,0.0
2.0,3.0,2.0,2.0,-59.67,20.81,75.8,5.8,-32.12,15.62,27.71,-283.38,-40.96,-71.73,4.83,1.0
3.0,2.0,2.0,3.0,72.49,21.09,-13.06,-34.28,-34.04,195.3,-4.72,-1.64,-14.01,65.24,14.82,1.0
2.0,2.0,1.0,2.0,82.05,79.34,31.01,30.47,-12.74,63.52,-26.81,436.19,-114.67,-50.37,17.15,0.0
2.0,2.0,2.0,1.0,122.04,183.19,6.94,93.92,-7.05,-118.95,-21.3,242.52,-76.71,30.11,-14.54,0.0
1.0,2.0,1.0,3.0,7.64,-73.41,22.45,-91.83,-27.54,-86.87,5.83,117.83,70.05,37.88,12.35,1.0
1.0,2.0,1.0,3.0,81.05,56.32,65.73,-84.63,76.63,169.44,10.0,-18.47,13.31,59.52,-23.23,0.0
3.0,1.0,2.0,2.0,-29.48,-330.09,86.36,-125.15,-59.64,29.88,12.78,64.72,17.26,-37.53,-8.96,0.0
2.0,2.0,2.0,1.0,46.59,-8.64,41.42,22.01,-64.5,-34.58,3.45,-64.49,0.14,-41.39,19.16,1.0
2.0,1.0,1.0,2.0,-90.22,-79.04,45.44,-106.22,-2.1,-23.34,23.78,-32.22,1.85,43.47,-28.88,1.0
3.0,1.0,3.0,2.0,7.17,-294.2,-93.5,11.6,96.9,56.52,-28.32,153.08,4.39,-12.93,-10.64,0.0
2.0,1.0,1.0,2.0,12.74,67.09,36.64,-26.73,99.6,124.68,2.84,57.26,-73.91,58.66,4.02,0.0
2.0,1.0,2.0,1.0,-16.06,378.5,33.82,70.39,-34.29,-271.88,0.75,104.44,49.49,61.15,17.34,1.0
2.0,2.0,2.0,3.0,123.57,-236.79,6.77,-142.85,22.4,186.58,-9.7,169.57,81.6,44.42,-15.66,1.0
1.0,2.0,1.0,3.0,-130.18,87.54,-24.99,-54.59,55.27,-13.62,10.87,1.9,62.6,0.43,7.59,1.0
3.0,2.0,1.0,1.0,-91.81,-280.34,57.41,-170.56,-49.45,214.19,12.92,121.67,-27.88,1.29,12.95,0.0
2.0,1.0,1.0,2.0,-40.5,-214.78,-55.51,-227.0,43.23,213.84,9.45,0.01,206.65,22.17,-0.64,0.0
2.0,3.0,2.0,3.0,-126.59,-155.83,32.02,-121.6,2.8,36.54,-3.85,319.09,76.75,-46.48,-22.12,0.0
2.0,2.0,1.0,2.0,-15.43,39.52,-102.07,-8.02,43.73,25.98,-14.0,86.47,51.53,50.84,-1.03,0.0
2.0,2.0,1.0,3.0,50.79,-110.87,-70.48,-84.66,80.01,103.07,-16.43,230.11,59.55,-27.48,-10.46,0.0
3.0,3.0,2.0,1.0,-15.51,311.88,35.21,22.77,6.23,54.67,-4.25,130.15,18.3,-25.0,-1.45,1.0
3.0,2.0,1.0,2.0,37.18,195.12,-25.71,-15.0,-29.6,263.48,-12.84,146.17,-32.48,-8.46,-7.36,0.0
1.0,3.0,1.0,1.0,43.5,136.74,-98.08,138.66,82.34,-61.41,-16.42,-46.7,-96.14,30.74,24.27,0.0
2.0,3.0,2.0,1.0,128.88,-120.23,18.7,-97.71,-76.12,193.35,-11.39,159.74,40.89,68.86,1.74,1.0
3.0,2.0,3.0,2.0,-92.22,-219.66,19.36,-70.43,-47.37,-16.11,2.65,92.31,26.48,16.18,-29.73,0.0
2.0,3.0,2.0,2.0,-106.06,228.95,36.2,6.77,-36.75,30.38,19.39,-153.89,-2.08,0.16,-14.3,1.0
2.0,1.0,2.0,3.0,97.94,197.56,98.47,115.61,76.48,22.89,17.9,-366.32,-78.33,-86.49,7.54,1.0
2.0,3.0,1.0,1.0,-117.06,441.69,57.28,-4.62,-2.27,103.76,3.48,226.74,-32.72,-36.67,9.2,1.0
4.0,1.0,3.0,3.0,149.0,-367.72,18.76,-142.55,26.78,265.75,-3.49,-6.72,27.62,129.95,-11.49,1.0
2.0,2.0,1.0,3.0,-3.85,169.84,-28.96,-19.82,11.88,-15.65,2.63,38.2,4.21,93.7,12.01,1.0
2.0,2.0,1.0,1.0,61.8,-149.05,59.86,-136.49,18.3,151.12,-1.93,243.9,19.69,-8.88,0.86,0.0
3.0,2.0,1.0,1.0,31.01,268.98,-66.0,25.19,-10.0,141.95,-3.45,-130.79,74.23,-7.64,48.5,0.0
2.0,3.0,1.0,3.0,29.51,228.24,17.12,74.7,5.28,68.31,12.87,-292.88,-26.51,-68.58,12.04,1.0
1.0,2.0,2.0,2.0,-94.87,31.81,21.61,-23.58,15.84,-138.66,12.77,-19.4,68.09,-47.97,21.25,1.0
2.0,2.0,2.0,2.0,-72.13,18.37,-44.09,-31.49,-60.57,108.29,-10.15,132.72,26.26,42.6,9.86,1.0
3.0,3.0,3.0,2.0,20.67,-208.88,93.05,-37.09,-50.15,-179.02,9.69,-19.37,124.08,-163.63,-10.73,1.0
2.0,3.0,2.0,0.0,10.67,96.69,3.85,33.72,38.85,-18.16,1.19,-23.74,-45.76,34.87,-17.37,0.0
2.0,3.0,1.0,1.0,-139.75,158.18,-20.23,99.76,-119.8,16.46,22.56,-421.45,-38.51,-163.01,5.91,1.0
1.0,2.0,1.0,1.0,-36.59,265.36,0.78,99.47,11.44,113.79,20.49,-399.49,-112.22,-40.58,-23.84,1.0
3.0,1.0,2.0,2.0,-39.16,-78.44,68.78,-33.55,-11.01,-138.48,1.79,252.19,-86.64,82.53,21.62,0.0
3.0,1.0,3.0,1.0,-101.37,-118.22,-11.91,-39.8,43.84,-20.11,-1.57,49.28,81.14,1.01,2.73,0.0
2.0,2.0,1.0,1.0,16.58,128.62,-13.0,-20.43,30.75,27.84,-1.48,69.83,24.6,6.08,-49.1,1.0
